order,task,run_id,episode,query,reason,any_goal_release,any_goal_query_minus_release,failed_goal_release,failed_goal_query_minus_release,drop_goal_release,drop_goal_query_minus_release,pair_id,lead,qualified,static_onset
38,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,125,34,stable_grasp_not_observed,18,16,,,,,9,-2,True,36
40,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,358,33,timeout_while_holding_target,19,14,,,,,10,-4,True,37
42,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,358,35,timeout_while_holding_target,19,16,,,,,10,-2,True,37
44,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,327,36,stable_grasp_not_observed,22,14,,,,,11,-4,True,40
46,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,327,38,stable_grasp_not_observed,22,16,,,,,11,-2,True,40
48,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,219,33,stable_grasp_not_observed,20,13,,,,,12,-4,True,37
50,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,219,35,stable_grasp_not_observed,20,15,,,,,12,-2,True,37
52,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,397,31,stable_grasp_not_observed,17,14,,,,,13,-4,True,35
54,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,397,33,stable_grasp_not_observed,17,16,,,,,13,-2,True,35
56,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,175,34,stable_grasp_not_observed,21,13,,,,,14,-4,True,38
58,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,175,36,stable_grasp_not_observed,21,15,,,,,14,-2,True,38
