arm,mains,successes,rescues,harms,delta_vs_native_pp,paired_wins,paired_losses,full_policy_queries,query_cost_ratio
native,100,84,0,0,0.0,0,0,2911,1.0
iid_random,100,83,0,1,-1.0,0,0,4635,1.5922363448986603
iid_v8,100,84,0,0,0.0,1,0,4342,1.4915836482308484
guided_random,100,83,0,1,-1.0,0,0,4588,1.5760906904843697
guided_v8,100,84,0,0,0.0,1,0,4343,1.4919271727928547
