failure_type,prefix_queries,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
loop_or_cycling,1,front_2_5,8,top1_mass,0.5,0.8333333333333334,-0.33333333333333337,-0.5,-0.25,0.21568627450980393,0.9411764705882353,6,6
loop_or_cycling,1,front_2_5,6,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.5686274509803921,1.0,6,6
loop_or_cycling,1,back_12_15,3,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.5882352941176471,1.0,6,6
loop_or_cycling,1,front_2_5,0,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.5882352941176471,1.0,6,6
loop_or_cycling,1,front_2_5,1,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.5882352941176471,1.0,6,6
loop_or_cycling,1,front_2_5,2,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.5882352941176471,1.0,6,6
loop_or_cycling,1,front_2_5,3,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.5882352941176471,1.0,6,6
loop_or_cycling,1,front_2_5,4,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.5882352941176471,1.0,6,6
loop_or_cycling,1,front_2_5,7,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.5882352941176471,1.0,6,6
loop_or_cycling,1,back_12_15,7,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6078431372549019,1.0,6,6
loop_or_cycling,1,front_2_5,0,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6078431372549019,1.0,6,6
loop_or_cycling,1,front_2_5,2,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6078431372549019,1.0,6,6
loop_or_cycling,1,front_2_5,8,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.6078431372549019,1.0,6,6
loop_or_cycling,1,front_2_5,8,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6078431372549019,1.0,6,6
loop_or_cycling,1,back_12_15,0,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,back_12_15,1,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,back_12_15,2,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,back_12_15,3,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,back_12_15,8,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,front_2_5,0,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,front_2_5,0,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,front_2_5,1,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,front_2_5,1,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,front_2_5,1,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,front_2_5,2,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
