row,task,episode,length,original_failure,failure,late_success_plus10_queries,cohort,suite,first_legacy_back_mean_q95_k2_query,first_lock_layer_median_q75_k4_query,first_instability_L5_q80_k8_query,first_dual_regime_or_query,outcome,late_success_first_extra_query,query,anchor,graph_front_response,graph_back_response,graph_query_responsiveness,graph_response_ratio,graph_front_acceleration,graph_back_acceleration,graph_front_absorption,graph_back_structure,graph_flow_handoff,graph_handoff_delay,graph_homeostasis
415,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,15,30,True,True,False,development_main,libero_goal,-1,14,-1,14,persistent,,29,terminal,0.9455128,0.9391026,0.94230765,0.375,0.8942308,0.9519231,0.27884609,0.41346154,0.43910256,0.2980769,0.3771367
417,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,30,True,True,False,development_main,libero_goal,26,26,-1,26,persistent,,29,terminal,0.40064105,0.5608974,0.4807692,0.5673077,0.22115386,0.59294873,0.6442307,0.47115383,0.5224359,0.50961536,0.54594016
425,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,25,30,True,True,False,development_main,libero_goal,29,24,-1,24,persistent,,29,terminal,0.55448717,0.45192304,0.5032051,0.40064105,0.6891026,0.45192304,0.5352564,0.49038458,0.31730768,0.625,0.44764957
433,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,33,30,True,True,False,development_main,libero_goal,-1,24,-1,24,persistent,,29,terminal,0.7724359,0.63782054,0.7051282,0.27884617,0.77243596,0.4967949,0.5032052,0.6826923,0.6762821,0.66346157,0.6207265
437,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,37,30,True,True,False,development_main,libero_goal,-1,24,-1,24,persistent,,29,terminal,0.36217952,0.20833333,0.28525645,0.375,0.48397437,0.3621795,0.092948735,0.7852564,0.45833334,0.43910256,0.4455128
440,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,40,30,True,True,False,development_main,libero_goal,-1,25,-1,25,persistent,,29,terminal,0.7788462,0.7019231,0.7403846,0.42628205,0.6955128,0.7275641,0.7403846,0.5288462,0.7211539,0.6698718,0.6634616
441,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,41,30,True,True,False,development_main,libero_goal,-1,-1,-1,-1,persistent,,29,terminal,0.7916667,0.9391026,0.8653846,0.6891026,0.7275641,0.9198718,0.7660256,0.4647436,0.72756416,0.5480769,0.65277773
443,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,43,30,True,True,False,development_main,libero_goal,-1,26,-1,26,persistent,,29,terminal,0.9583333,0.99038464,0.974359,0.7083333,0.9519231,0.9711539,0.849359,0.8814103,0.99038464,0.8814103,0.9070513
444,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,44,30,True,True,False,development_main,libero_goal,29,25,-1,25,persistent,,29,terminal,0.5032051,0.48397437,0.49358973,0.47115383,0.50961536,0.5929487,0.6378205,0.36858973,0.44551286,0.53525645,0.48397437
445,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,45,30,True,True,False,development_main,libero_goal,28,25,-1,25,persistent,,29,terminal,0.29166666,0.24038462,0.26602563,0.5032051,0.39423075,0.44551286,0.49679488,0.28525642,0.3173077,0.375,0.36645302
446,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,46,30,True,True,False,development_main,libero_goal,28,25,-1,25,persistent,,29,terminal,0.32371795,0.45833334,0.39102566,0.599359,0.34935895,0.21474357,0.7019231,0.2275641,0.55448717,0.45192304,0.4946581
460,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,60,30,True,True,False,development_main,libero_goal,-1,24,-1,24,persistent,,29,terminal,0.7083333,0.7788462,0.7435897,0.6442308,0.7275641,0.69551283,0.2275641,0.4198718,0.48397437,0.29166666,0.37713674
470,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,70,30,True,True,False,development_main,libero_goal,8,8,-1,8,persistent,,29,terminal,0.5224359,0.8878205,0.7051282,0.84294873,0.48397437,0.7339744,0.8621795,0.05448718,0.49679485,0.599359,0.47115386
