cohort,offset_queries,score,n,late_n,late_prevalence,auc,average_precision
development_main,1,conditional_front_release,360,20,0.05555555555555555,0.44544117647058823,0.05568083150626255
development_main,1,conditional_gap_release,360,20,0.05555555555555555,0.4230882352941176,0.04953077015682835
development_main,1,graph_front_response_release,360,20,0.05555555555555555,0.4622794117647059,0.05131572748788979
development_main,1,graph_back_response_release,360,20,0.05555555555555555,0.44073529411764706,0.047882549659804985
development_main,1,graph_query_responsiveness_release,360,20,0.05555555555555555,0.4433088235294117,0.048846276284073446
development_main,1,graph_homeostasis_release,360,20,0.05555555555555555,0.4919117647058824,0.05249981779968045
external_8b,1,conditional_front_release,390,27,0.06923076923076923,0.530182115817475,0.08968453388223036
external_8b,1,conditional_gap_release,390,27,0.06923076923076923,0.517341927562922,0.08387528951475377
external_8b,1,graph_front_response_release,390,27,0.06923076923076923,0.5708000818498056,0.10685423790928271
external_8b,1,graph_back_response_release,390,27,0.06923076923076923,0.42398199304276646,0.060770540282877025
external_8b,1,graph_query_responsiveness_release,390,27,0.06923076923076923,0.488182934315531,0.0758550115872945
external_8b,1,graph_homeostasis_release,390,27,0.06923076923076923,0.5224063842848372,0.07099867580881605
development_main,2,conditional_front_release,339,19,0.05604719764011799,0.4392269736842105,0.050999572516682426
development_main,2,conditional_gap_release,339,19,0.05604719764011799,0.41578947368421054,0.047087892236036905
development_main,2,graph_front_response_release,339,19,0.05604719764011799,0.5354440789473685,0.05910737882607682
development_main,2,graph_back_response_release,339,19,0.05604719764011799,0.48363486842105263,0.05522980568818579
development_main,2,graph_query_responsiveness_release,339,19,0.05604719764011799,0.5210526315789473,0.058647444126164294
development_main,2,graph_homeostasis_release,339,19,0.05604719764011799,0.5217927631578947,0.059271762519281956
external_8b,2,conditional_front_release,364,26,0.07142857142857142,0.5767518831317051,0.09121357830478058
external_8b,2,conditional_gap_release,364,26,0.07142857142857142,0.5499885870805752,0.08499331323839876
external_8b,2,graph_front_response_release,364,26,0.07142857142857142,0.6308491212052042,0.1455374462999933
external_8b,2,graph_back_response_release,364,26,0.07142857142857142,0.4960054782013239,0.07576253765600954
external_8b,2,graph_query_responsiveness_release,364,26,0.07142857142857142,0.5745263638438712,0.10551140856820315
external_8b,2,graph_homeostasis_release,364,26,0.07142857142857142,0.4936087651221182,0.08033458223636115
development_main,4,conditional_front_release,301,18,0.059800664451827246,0.571456615626227,0.08350845229080306
development_main,4,conditional_gap_release,301,18,0.059800664451827246,0.5830388692579506,0.07782077523999884
development_main,4,graph_front_response_release,301,18,0.059800664451827246,0.48596387907341976,0.07226864558529986
development_main,4,graph_back_response_release,301,18,0.059800664451827246,0.49548488417746367,0.09313446092606334
development_main,4,graph_query_responsiveness_release,301,18,0.059800664451827246,0.5102080879466039,0.11763366827622623
development_main,4,graph_homeostasis_release,301,18,0.059800664451827246,0.5939340400471143,0.07969823502185831
external_8b,4,conditional_front_release,330,25,0.07575757575757576,0.5625657894736842,0.10031890040600225
external_8b,4,conditional_gap_release,330,25,0.07575757575757576,0.5484868421052631,0.09583467221776029
external_8b,4,graph_front_response_release,330,25,0.07575757575757576,0.55625,0.08707424111102147
external_8b,4,graph_back_response_release,330,25,0.07575757575757576,0.5576315789473684,0.08185763357329891
external_8b,4,graph_query_responsiveness_release,330,25,0.07575757575757576,0.5692105263157895,0.08578066684887956
external_8b,4,graph_homeostasis_release,330,25,0.07575757575757576,0.6382236842105263,0.12226670040959545
development_main,8,conditional_front_release,198,10,0.050505050505050504,0.6202127659574468,0.06881770269435569
development_main,8,conditional_gap_release,198,10,0.050505050505050504,0.6127659574468085,0.06704238879370635
development_main,8,graph_front_response_release,198,10,0.050505050505050504,0.45744680851063835,0.05112267263047339
development_main,8,graph_back_response_release,198,10,0.050505050505050504,0.5563829787234043,0.10768090221309123
development_main,8,graph_query_responsiveness_release,198,10,0.050505050505050504,0.5143617021276596,0.06864021940840373
development_main,8,graph_homeostasis_release,198,10,0.050505050505050504,0.6734042553191489,0.08577505615940326
external_8b,8,conditional_front_release,229,15,0.06550218340611354,0.6123052959501557,0.17973409044920266
external_8b,8,conditional_gap_release,229,15,0.06550218340611354,0.6154205607476635,0.18028446622947975
external_8b,8,graph_front_response_release,229,15,0.06550218340611354,0.5317757009345794,0.08479779353018685
external_8b,8,graph_back_response_release,229,15,0.06550218340611354,0.5841121495327103,0.09044531309818338
external_8b,8,graph_query_responsiveness_release,229,15,0.06550218340611354,0.5613707165109034,0.09631886183378913
external_8b,8,graph_homeostasis_release,229,15,0.06550218340611354,0.5482866043613708,0.0762608067678287
