record_index,candidate,episode_id,outcome,relative_query,previous_query,current_query,layer_group,flow_range,token_class,draw_ablation,input_version_effect_h,input_version_effect_min_h,input_version_effect_max_h,noise_effect_h,noise_effect_min_h,noise_effect_max_h,input_to_noise_ratio,log_input_to_noise_ratio
0,6,100000006,failed_grasp,-3,27,28,front,full,state,m4,0.06594546139240265,0.06593409925699234,0.06596136093139648,9.642540680943057e-05,0.0,0.0002025854482781142,683.901303343561,6.527813613853896
0,6,100000006,failed_grasp,-3,27,28,front,full,state,m2,0.06594157963991165,0.06593409925699234,0.06594906002283096,9.877924458123744e-05,3.729158197529614e-05,0.00016026690718717873,667.5651339455261,6.503636964458497
0,6,100000006,failed_grasp,-3,27,28,front,full,action,m4,0.010590556543320417,0.009898976422846317,0.012188277207314968,0.035169873386621475,0.031909093260765076,0.03915530815720558,0.3011258080715479,-1.2002271345420334
0,6,100000006,failed_grasp,-3,27,28,front,full,action,m2,0.010498903691768646,0.009898976422846317,0.011098830960690975,0.03815092705190182,0.03714654594659805,0.03915530815720558,0.2751939337538399,-1.29027921621154
0,6,100000006,failed_grasp,-3,27,28,front,late,state,m4,0.06593509390950203,0.0659259781241417,0.06595055758953094,9.322895493824035e-05,0.0,0.00018361145339440554,707.2383676635743,6.5613677627697475
0,6,100000006,failed_grasp,-3,27,28,front,late,state,m2,0.0659317672252655,0.0659259781241417,0.06593755632638931,0.00013842020416632295,9.322895493824035e-05,0.00018361145339440554,476.3160668802598,6.166081639927907
0,6,100000006,failed_grasp,-3,27,28,front,late,action,m4,0.013701599091291428,0.012119444087147713,0.017555758357048035,0.033364223316311836,0.029138360172510147,0.03734167665243149,0.41066740746195307,-0.8899716196737827
0,6,100000006,failed_grasp,-3,27,28,front,late,action,m2,0.013664606492966413,0.012119444087147713,0.015209768898785114,0.03534507192671299,0.03334846720099449,0.03734167665243149,0.3866057062014074,-0.9503499523545798
0,6,100000006,failed_grasp,-3,27,28,front,final,state,m4,0.06591299921274185,0.06591299921274185,0.06591366231441498,0.0,0.0,0.0,65912.99921274185,11.096090957680582
0,6,100000006,failed_grasp,-3,27,28,front,final,state,m2,0.06591299921274185,0.06591299921274185,0.06591299921274185,0.0,0.0,0.0,65912.99921274185,11.096090957680582
