relative_query,failed_alarm_m4,success_alarms_m4,success_controls,failed_alarm_m2,success_alarms_m2,failed_ratio_m4,success_ratio_m4_mean,success_ratio_m4_min,success_ratio_m4_max
-3,False,1,7,False,2,1.20820995943177,1.1592385790936672,0.9450110917582927,1.4123900751677336
-2,False,0,7,False,1,1.1676252639199798,1.2776727737231444,1.114503772437456,1.3816309402408715
-1,True,0,7,True,0,0.5387363432385541,1.7588359367918065,1.5933014208294296,2.1316572205441315
0,False,0,7,False,0,1.2300537288844335,1.6968886622225654,1.5814300765094975,1.8348450452311427
1,False,0,7,False,0,1.9665382364990465,1.9973681609433396,1.7865865298081083,2.2366638512917127
2,False,0,7,False,0,2.1704218848611783,1.6899175223840552,1.3413902444153236,1.8754374452096096
3,False,0,7,False,1,1.5477155928290505,1.218554503501979,1.02075827104594,1.4190871271483567
4,False,1,7,False,1,1.2424331149813728,1.2160793237340586,0.963865454835472,1.4395946348642454
5,False,1,7,False,1,1.2288327047051317,1.2351590280249847,0.8709554999855675,1.4493733865361924
6,False,0,7,False,0,1.154835323151183,1.2278103536802583,1.0336235690116846,1.4925618757891312
7,False,1,7,True,1,1.0137582670554302,1.2010211466450067,0.9706390256413984,1.4314164944709422
8,False,0,7,False,1,1.1583194926853617,1.3916686292937512,1.0709607961320349,1.6020805385998103
