relative_query,metric,failed_value,success_mean,success_min,success_max,failed_over_success_mean,failed_rank_high_of_8,relation_to_success_range,n_success_controls
-3,front_state_input_effect_h,0.06594546139240265,0.08055254870227405,0.05402632802724838,0.10509874671697617,0.8186638716565026,3,inside,7
-3,back_action_input_effect_h,0.0213659405708313,0.018964069496308054,0.016731631010770798,0.02281415183097124,1.1266537794006104,7,inside,7
-3,back_action_noise_effect_h,0.017683963291347027,0.01643551673207964,0.01550083002075553,0.01844675187021494,1.0759602864709819,7,inside,7
-3,back_action_input_to_noise_ratio,1.20820995943177,1.1592385790936672,0.9450110917582927,1.4123900751677336,1.0422444363233583,5,inside,7
-3,back_action_noise_dominance,0.8276707141781114,0.8802432873547935,0.7080197019093619,1.0581886379125929,0.9402749513322991,4,inside,7
-3,input_transmission_back_action_over_front_state,0.32399410239463117,0.24700296503179847,0.15919914873797641,0.3136554580418852,1.3117012678488336,8,above_all,7
-2,front_state_input_effect_h,0.08558034151792526,0.07722994259425572,0.06590873003005981,0.11931657791137695,1.1081238525262174,7,inside,7
-2,back_action_input_effect_h,0.023119136691093445,0.021428484469652176,0.018398861400783062,0.02441361453384161,1.0788974238395457,5,inside,7
-2,back_action_noise_effect_h,0.019800134003162384,0.016776817850768566,0.01552588865160942,0.017983241006731987,1.1802079619202228,8,above_all,7
-2,back_action_input_to_noise_ratio,1.1676252639199798,1.2776727737231444,1.114503772437456,1.3816309402408715,0.9138687838808011,3,inside,7
-2,back_action_noise_dominance,0.8564391598060972,0.7884221097828654,0.7237822857569052,0.897260309682907,1.0862698409636988,6,inside,7
-2,input_transmission_back_action_over_front_state,0.27014541284870913,0.28639576305432995,0.2046120913053252,0.35371732183149224,0.9432591109857372,4,inside,7
-1,front_state_input_effect_h,0.041332900524139404,0.11927281373313495,0.07745371758937836,0.18474186211824417,0.34654083550522286,1,below_all,7
-1,back_action_input_effect_h,0.010667982511222363,0.03256726823747158,0.028633533976972103,0.037312647327780724,0.32756761891830666,1,below_all,7
-1,back_action_noise_effect_h,0.019801861606538296,0.018568730780056546,0.01597791723906994,0.020798277109861374,1.0664089991442052,6,inside,7
-1,back_action_input_to_noise_ratio,0.5387363432385541,1.7588359367918065,1.5933014208294296,2.1316572205441315,0.30630278354513996,1,below_all,7
-1,back_action_noise_dominance,1.8561955445378164,0.5728874964223046,0.46911857608360585,0.6276276333698536,3.240069919713381,8,above_all,7
-1,input_transmission_back_action_over_front_state,0.2580990536822357,0.29141822765728065,0.2019718048738663,0.3696857280469488,0.8856654429515314,4,inside,7
0,front_state_input_effect_h,0.14166957139968872,0.1961643025279045,0.13972678780555725,0.2236928939819336,0.7221985324242983,2,inside,7
0,back_action_input_effect_h,0.028727219440042973,0.03287743524249111,0.029796761460602283,0.03607040457427502,0.8737670450314093,1,below_all,7
0,back_action_noise_effect_h,0.023354442790150642,0.019382470420428684,0.01859324239194393,0.020900954492390156,1.20492601219376,8,above_all,7
0,back_action_input_to_noise_ratio,1.2300537288844335,1.6968886622225654,1.5814300765094975,1.8348450452311427,0.7248877055217773,1,below_all,7
0,back_action_noise_dominance,0.8129726177952609,0.5909414965343716,0.5450051504888938,0.6323390549186854,1.375724369608515,8,above_all,7
0,input_transmission_back_action_over_front_state,0.2027762147948878,0.17155262988732525,0.15174433000509382,0.21325017148513592,1.1820058656522492,6,inside,7
1,front_state_input_effect_h,0.31676262617111206,0.2431294715830258,0.2021816521883011,0.28402453660964966,1.3028557340607776,8,above_all,7
1,back_action_input_effect_h,0.04576962627470493,0.03728761364306722,0.03538043610751629,0.040415020659565926,1.2274753410832646,8,above_all,7
1,back_action_noise_effect_h,0.023274211212992668,0.018722917485449995,0.017545247450470924,0.01982777565717697,1.243086780202903,8,above_all,7
1,back_action_input_to_noise_ratio,1.9665382364990465,1.9973681609433396,1.7865865298081083,2.2366638512917127,0.9845647261996344,4,inside,7
1,back_action_noise_dominance,0.5085077835965509,0.5040105470202607,0.44709445249114316,0.5597265977973129,1.0089229017187797,5,inside,7
1,input_transmission_back_action_over_front_state,0.1444918765447431,0.1545807690009883,0.13317116429503345,0.17628517227180268,0.9347338448278731,2,inside,7
2,front_state_input_effect_h,0.20742349326610565,0.1711114929722888,0.0605222936719656,0.29244838654994965,1.2122125151447163,5,inside,7
2,back_action_input_effect_h,0.03881203942000866,0.030097863769956996,0.02334771491587162,0.0330759696662426,1.2895280448026334,8,above_all,7
2,back_action_noise_effect_h,0.01788225583732128,0.017814195980983123,0.016396290622651577,0.018674311228096485,1.0038205404504819,5,inside,7
2,back_action_input_to_noise_ratio,2.1704218848611783,1.6899175223840552,1.3413902444153236,1.8754374452096096,1.2843359845155344,8,above_all,7
2,back_action_noise_dominance,0.46073991742115183,0.5977687271947073,0.5332089334967044,0.7454952085445302,0.7707661783903895,1,below_all,7
2,input_transmission_back_action_over_front_state,0.18711496373371897,0.216966345545055,0.11310019541035589,0.3857704904975613,0.8624146904611197,5,inside,7
3,front_state_input_effect_h,0.0588788166642189,0.07332536312086242,0.05773679539561272,0.10385166108608246,0.8029802261895215,2,inside,7
3,back_action_input_effect_h,0.02514714002609253,0.020283174301896776,0.01715379487723112,0.0229873089119792,1.2398029840793166,8,above_all,7
3,back_action_noise_effect_h,0.016247907653450966,0.016640185910676206,0.01531936228275299,0.017973968759179115,0.9764258488858855,3,inside,7
3,back_action_input_to_noise_ratio,1.5477155928290505,1.218554503501979,1.02075827104594,1.4190871271483567,1.2701242237266386,8,above_all,7
3,back_action_noise_dominance,0.6461135396149316,0.8299697677167719,0.7046783674301178,0.9796638718149503,0.7784784033668785,1,below_all,7
3,input_transmission_back_action_over_front_state,0.42709995633072284,0.2851885374772381,0.19718570746812444,0.3981396742661258,1.497605619457308,8,above_all,7
4,front_state_input_effect_h,0.05032034404575825,0.07516805082559586,0.05920470878481865,0.09878545999526978,0.6694379259947952,1,below_all,7
4,back_action_input_effect_h,0.021830519661307335,0.019276649025934085,0.01517223659902811,0.021611427888274193,1.1324851965680014,8,above_all,7
4,back_action_noise_effect_h,0.017570780590176582,0.01587332845000284,0.014408508315682411,0.01725771091878414,1.1069373789826316,8,above_all,7
4,back_action_input_to_noise_ratio,1.2424331149813728,1.2160793237340586,0.963865454835472,1.4395946348642454,1.0216711120179176,5,inside,7
4,back_action_noise_dominance,0.8048723009246196,0.8338234627422991,0.6946399880785195,1.0374892003684228,0.9652790271426709,4,inside,7
4,input_transmission_back_action_over_front_state,0.43383089037419925,0.26256714616397625,0.2127413909125203,0.33637973046293324,1.65226646483512,8,above_all,7
5,front_state_input_effect_h,0.0566388163715601,0.065423206027065,0.05230569839477539,0.07856820151209831,0.8657297587667764,2,inside,7
5,back_action_input_effect_h,0.02214862871915102,0.0206032547700618,0.014387841802090406,0.023638912476599216,1.075006301981703,6,inside,7
5,back_action_noise_effect_h,0.01802412047982216,0.016686561783509597,0.015300950966775417,0.017837656661868095,1.0801578368070046,8,above_all,7
5,back_action_input_to_noise_ratio,1.2288327047051317,1.2351590280249847,0.8709554999855675,1.4493733865361924,0.9948781305270717,5,inside,7
5,back_action_noise_dominance,0.8137804244394342,0.8285155763212527,0.6899533338264653,1.1481642862540862,0.9822149971552194,4,inside,7
5,input_transmission_back_action_over_front_state,0.39105034564727337,0.3151016263974609,0.27507216696541714,0.3537628766914336,1.2410292835303005,8,above_all,7
6,front_state_input_effect_h,0.0677327960729599,0.0708867178431579,0.04281594604253769,0.08500498533248901,0.9555075779192331,2,inside,7
6,back_action_input_effect_h,0.022319350391626358,0.020693788437971046,0.016254469752311707,0.027738154865801334,1.0785531348466175,7,inside,7
6,back_action_noise_effect_h,0.01932686846703291,0.01679257270214813,0.015725715085864067,0.018584257923066616,1.150917659243517,8,above_all,7
6,back_action_input_to_noise_ratio,1.154835323151183,1.2278103536802583,1.0336235690116846,1.4925618757891312,0.9405649005073635,3,inside,7
6,back_action_noise_dominance,0.8659243270038831,0.8239865247559807,0.6699889741397091,0.9674701989972672,1.0508962234064716,6,inside,7
6,input_transmission_back_action_over_front_state,0.3295205821354927,0.3011318599485948,0.21621393945124082,0.45257733667510114,1.0942733930303623,7,inside,7
7,front_state_input_effect_h,0.0856173112988472,0.06089272935475622,0.04687605798244476,0.08250570297241211,1.4060350423783359,8,above_all,7
7,back_action_input_effect_h,0.018254038877785206,0.019992182031273842,0.015669766813516617,0.02518031094223261,0.9130588571687847,4,inside,7
7,back_action_noise_effect_h,0.01800630334764719,0.01660908612289599,0.01593183074146509,0.017591184005141258,1.084123666673334,8,above_all,7
7,back_action_input_to_noise_ratio,1.0137582670554302,1.2010211466450067,0.9706390256413984,1.4314164944709422,0.8440802810902321,2,inside,7
7,back_action_noise_dominance,0.9864284539001664,0.8495854511293529,0.6986086885701316,1.0302491179346513,1.161070322695508,7,inside,7
7,input_transmission_back_action_over_front_state,0.21320500026063058,0.34414542346256244,0.22662943771058852,0.5371678427324823,0.6195200799577796,1,below_all,7
8,front_state_input_effect_h,0.04149438068270683,0.07086604354637009,0.051373234018683434,0.08822594583034515,0.5855326275630955,1,below_all,7
8,back_action_input_effect_h,0.02249473799020052,0.02350883638220174,0.016996555030345917,0.02814419288188219,0.9568630971131782,4,inside,7
8,back_action_noise_effect_h,0.019420149736106396,0.016836138043020452,0.015870380215346813,0.018063167110085487,1.1534800728339933,8,above_all,7
8,back_action_input_to_noise_ratio,1.1583194926853617,1.3916686292937512,1.0709607961320349,1.6020805385998103,0.8323242101628673,2,inside,7
8,back_action_noise_dominance,0.8633196681182274,0.7313910483263957,0.624188345034128,0.9337409955730197,1.1803804135882126,7,inside,7
8,input_transmission_back_action_over_front_state,0.5421152845299704,0.3416808063098907,0.24118717528234138,0.47702674499590547,1.5866132206393055,8,above_all,7
