record_index,candidate,outcome,relative_query,current_query,stored_layer,model_layer,route_replay_mean_h,route_replay_max_h,route_replay_state_h,route_replay_action_h,action_replay_rms
0,6,failed_grasp,-3,28,0,2,0.0017714167479425669,0.010803050361573696,0.0025952502619475126,0.0016890333499759436,0.0023170202039182186
0,6,failed_grasp,-3,28,1,3,0.0021164503414183855,0.01752718910574913,0.0029730317182838917,0.0020307921804487705,0.0023170202039182186
0,6,failed_grasp,-3,28,2,4,0.0023028538562357426,0.011845224536955357,0.0043357983231544495,0.002099559409543872,0.0023170202039182186
0,6,failed_grasp,-3,28,3,5,0.0030077502597123384,0.02531539276242256,0.003490408416837454,0.0029594842344522476,0.0023170202039182186
0,6,failed_grasp,-3,28,4,12,0.0023365109227597713,0.016302671283483505,0.0026961376424878836,0.002300548367202282,0.0023170202039182186
0,6,failed_grasp,-3,28,5,13,0.0026244770269840956,0.023033473640680313,0.002637348370626569,0.002623189939185977,0.0023170202039182186
0,6,failed_grasp,-3,28,6,14,0.0025462836492806673,0.014381520450115204,0.0020997202955186367,0.002590940101072192,0.0023170202039182186
0,6,failed_grasp,-3,28,7,15,0.003564300248399377,0.04521745443344116,0.002879645675420761,0.0036327659618109465,0.0023170202039182186
1,6,failed_grasp,-2,29,0,2,0.009831130504608154,0.053095392882823944,0.03080045059323311,0.007734198588877916,0.23486557602882385
1,6,failed_grasp,-2,29,1,3,0.012774662114679813,0.059869732707738876,0.04865080118179321,0.009187048301100731,0.23486557602882385
1,6,failed_grasp,-2,29,2,4,0.015461146831512451,0.07838549464941025,0.07837830483913422,0.009169431403279305,0.23486557602882385
1,6,failed_grasp,-2,29,3,5,0.022358892485499382,0.18945060670375824,0.08341777324676514,0.016253001987934113,0.23486557602882385
1,6,failed_grasp,-2,29,4,12,0.014343984425067902,0.08790859580039978,0.03180646151304245,0.012597736902534962,0.23486557602882385
1,6,failed_grasp,-2,29,5,13,0.01587403193116188,0.07679532468318939,0.036210693418979645,0.013840366154909134,0.23486557602882385
1,6,failed_grasp,-2,29,6,14,0.012878372333943844,0.06277073174715042,0.023033952340483665,0.01186281442642212,0.23486557602882385
1,6,failed_grasp,-2,29,7,15,0.020736994221806526,0.05376417934894562,0.027455508708953857,0.02006513997912407,0.23486557602882385
2,6,failed_grasp,-1,30,0,2,0.0029357571620494127,0.01131506823003292,0.01131506823003292,0.002097825752571225,0.003002940444275737
2,6,failed_grasp,-1,30,1,3,0.0040074922144412994,0.018422508612275124,0.018419921398162842,0.002566249342635274,0.003002940444275737
2,6,failed_grasp,-1,30,2,4,0.007077638525515795,0.05107150971889496,0.05104243755340576,0.002681158250197768,0.003002940444275737
2,6,failed_grasp,-1,30,3,5,0.005364098120480776,0.02294532209634781,0.022930601611733437,0.0036074472591280937,0.003002940444275737
2,6,failed_grasp,-1,30,4,12,0.004259683191776276,0.01182507909834385,0.011722249910235405,0.003513426287099719,0.003002940444275737
2,6,failed_grasp,-1,30,5,13,0.0049841199070215225,0.015006210654973984,0.014830844476819038,0.003999447915703058,0.003002940444275737
2,6,failed_grasp,-1,30,6,14,0.004458353854715824,0.01265769638121128,0.012373536825180054,0.0036668358370661736,0.003002940444275737
2,6,failed_grasp,-1,30,7,15,0.007765968795865774,0.01777370646595955,0.010572297498583794,0.0074853356927633286,0.003002940444275737
3,6,failed_grasp,0,31,0,2,0.004323356319218874,0.01714729517698288,0.010800289921462536,0.003675662912428379,0.013479351997375488
3,6,failed_grasp,0,31,1,3,0.005511020310223103,0.023326611146330833,0.015863506123423576,0.0044757709838449955,0.013479351997375488
3,6,failed_grasp,0,31,2,4,0.0054209278896451,0.018838420510292053,0.01371974777430296,0.004591045901179314,0.013479351997375488
3,6,failed_grasp,0,31,3,5,0.0068969582207500935,0.036510247737169266,0.012001343071460724,0.006386518944054842,0.013479351997375488
