task,episode,init_state_id,flow_noise_seed,episode_length,failure,consensus_votes,route_speed_norm_early,route_speed_norm_middle,route_speed_norm_late,hard_expert_overlap_early,hard_expert_overlap_middle,hard_expert_overlap_late,hard_expert_entropy_early,hard_expert_entropy_middle,hard_expert_entropy_late,same_task_init_successes,route_speed_norm_early_success_percentile,route_speed_norm_middle_success_percentile,route_speed_norm_late_success_percentile,hard_expert_overlap_late_success_percentile,hard_expert_entropy_late_success_percentile
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,179,16,1019,30,True,1,1.0377675557912598,0.8265450487621889,1.0394740546042995,0.6389330426851908,0.6921813984711965,0.6322402159372965,0.8798777571498618,0.8753885054798999,0.8834338309562421,5,1.0,0.0,0.4,1.0,0.8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,449,46,1001,22,True,1,0.9936550952623794,1.0520448879075714,0.8810338015317324,0.6831871171792349,0.676249623298645,0.7209371427694956,0.8336940348368507,0.8527383215682077,0.8106063786561588,28,0.17857142857142858,1.0,0.0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,76,7,1012,22,True,1,1.0879652074407804,0.9841711009690061,0.8370091934117392,0.6523033380508423,0.6702828903992971,0.6767797470092773,0.8476966902874497,0.8601274759039579,0.8324909187372299,31,1.0,0.9032258064516129,0.0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,106,10,1010,22,True,0,1.1076154067435413,0.902614871303181,0.9142402818799024,0.626582662264506,0.7103661199410757,0.6825844049453735,0.8421161800339882,0.8414092740113918,0.8473170615166902,30,0.9333333333333333,0.3333333333333333,0.43333333333333335,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,122,10,1026,22,True,0,1.051970642081897,0.8500621066613171,1.0188979239679246,0.6476993560791016,0.7136208514372507,0.667885442574819,0.8434122928856856,0.8444292664295227,0.8471991731422787,30,0.7,0.06666666666666667,0.9333333333333333,0.0,0.0
