comparison,signal,signal_block,window,matched_initial_states,effect_sd,ci95_low,ci95_high,separated,earliest_separation
active_return_minus_stagnation_core,eef_step_m,physical,lead_-6_-2,7,-1.5659292851614843,-2.954747467249834,0.11922516477824326,False,sync_-1_+1
active_return_minus_stagnation_core,eef_step_m,physical,sync_-1_+1,7,5.915344226701864,4.4352571608954845,7.625126814448846,True,sync_-1_+1
active_return_minus_stagnation_core,eef_step_m,physical,after_+2_+6,7,6.368800717348513,5.0581095446879045,7.857136667099497,True,sync_-1_+1
active_return_minus_stagnation_core,eef_pot1_distance_m,physical,lead_-6_-2,7,1.588058080656933,1.3165459191271554,1.910832686137924,True,lead_-6_-2
active_return_minus_stagnation_core,eef_pot1_distance_m,physical,sync_-1_+1,7,4.738220956366815,4.614948678503231,4.876724889142762,True,lead_-6_-2
active_return_minus_stagnation_core,eef_pot1_distance_m,physical,after_+2_+6,7,6.117597033932784,5.989530708912819,6.258687342661751,True,lead_-6_-2
active_return_minus_stagnation_core,eef_pot2_distance_m,physical,lead_-6_-2,7,-1.9710486819165705,-2.094726752215911,-1.8331861285701851,True,lead_-6_-2
active_return_minus_stagnation_core,eef_pot2_distance_m,physical,sync_-1_+1,7,-4.567988156294287,-4.779558950967701,-4.291161894744892,True,lead_-6_-2
active_return_minus_stagnation_core,eef_pot2_distance_m,physical,after_+2_+6,7,-6.145821246179791,-6.40721245606814,-5.796730429387859,True,lead_-6_-2
active_return_minus_stagnation_core,pot1_step_m,physical,lead_-6_-2,7,0.20477845111830725,-0.0074894387103921255,0.4138855202993935,False,sync_-1_+1
active_return_minus_stagnation_core,pot1_step_m,physical,sync_-1_+1,7,-0.728444728887596,-0.9265000116345793,-0.5677154515675011,True,sync_-1_+1
active_return_minus_stagnation_core,pot1_step_m,physical,after_+2_+6,7,-0.6370741925662117,-0.8086543989225445,-0.47924395789589136,True,sync_-1_+1
active_return_minus_stagnation_core,pot2_step_m,physical,lead_-6_-2,7,1.7508054574593503,1.0074208059942635,2.5566375615475403,True,lead_-6_-2
active_return_minus_stagnation_core,pot2_step_m,physical,sync_-1_+1,7,1.7511052813015549,1.0080840457337243,2.558277002129393,True,lead_-6_-2
active_return_minus_stagnation_core,pot2_step_m,physical,after_+2_+6,7,1.8439504544521992,1.0624163548039471,2.6341243135315993,True,lead_-6_-2
active_return_minus_stagnation_core,pot1_goal_distance_m,physical,lead_-6_-2,7,-0.012961580611571861,-0.05975342561237701,0.03190893874476022,False,none
active_return_minus_stagnation_core,pot1_goal_distance_m,physical,sync_-1_+1,7,0.036260862535633105,-0.06845581342860561,0.1310529995437734,False,none
active_return_minus_stagnation_core,pot1_goal_distance_m,physical,after_+2_+6,7,0.1809894489129337,0.06092278667376245,0.30989483865182677,False,none
active_return_minus_stagnation_core,pot2_goal_distance_m,physical,lead_-6_-2,7,0.7475988584079373,0.2276290292536181,1.4502333980655142,True,lead_-6_-2
active_return_minus_stagnation_core,pot2_goal_distance_m,physical,sync_-1_+1,7,0.7475984330410002,0.23299007062931057,1.3995663459227232,True,lead_-6_-2
active_return_minus_stagnation_core,pot2_goal_distance_m,physical,after_+2_+6,7,0.8018407531254702,0.32016964139099857,1.4211907716681478,True,lead_-6_-2
active_return_minus_stagnation_core,eef_pot1_distance_change_m,physical,lead_-6_-2,7,8.149358504238362,6.116028639224571,9.599573218857588,True,lead_-6_-2
active_return_minus_stagnation_core,eef_pot1_distance_change_m,physical,sync_-1_+1,7,9.255256136895836,6.779872556067919,11.104197486392465,True,lead_-6_-2
active_return_minus_stagnation_core,eef_pot1_distance_change_m,physical,after_+2_+6,7,3.5090603147959176,1.6894205767798796,4.868531366684521,True,lead_-6_-2
active_return_minus_stagnation_core,action_translation,action,lead_-6_-2,7,0.7633736993056968,-0.9320276939549157,2.9162330696371943,False,sync_-1_+1
active_return_minus_stagnation_core,action_translation,action,sync_-1_+1,7,6.549782318602523,4.969762900172293,8.444358749158344,True,sync_-1_+1
active_return_minus_stagnation_core,action_translation,action,after_+2_+6,7,5.994848703486886,4.747105320986008,7.5325713874524665,True,sync_-1_+1
active_return_minus_stagnation_core,action_rotation,action,lead_-6_-2,7,0.43451824186347116,-0.3229390786888918,1.2060163695840977,False,sync_-1_+1
active_return_minus_stagnation_core,action_rotation,action,sync_-1_+1,7,5.338823971731794,4.6310660641365455,6.115217397536009,True,sync_-1_+1
