target,band,split,model,variant,rows,positives,mixed_strata,mixed_snapshots,macro_snapshot_auc,auc_ci95_low,auc_ci95_high,pair_weighted_auc,brier
trap,next_1_4,heldout_snapshot,rate_only,aligned,2004.0,168.0,42,17,0.5,0.5,0.5,0.5,0.07685606193109473
trap,next_1_4,heldout_snapshot,physical_action,aligned,2004.0,168.0,42,17,0.9066792378680195,0.8546859758806522,0.9519671166459037,0.912739965095986,0.02301780180450891
trap,next_1_4,heldout_snapshot,physical,aligned,2004.0,168.0,42,17,0.8969017469093046,0.8500173451441112,0.9402391663963012,0.8900523560209425,0.0304164178982106
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,2004.0,168.0,42,17,0.7651684112843086,0.7191747586143376,0.8109355024956093,0.7722513089005235,0.0699120558548392
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,2004.0,168.0,42,17,0.8968188063877381,0.8422977064075327,0.9428050968795163,0.9048865619546248,0.023365287538354918
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,2004.0,168.0,42,17,0.9007177254389638,0.8606575655279411,0.9381567131561807,0.9040139616055847,0.028884256673348742
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,2004.0,168.0,42,17,0.860030264458474,0.8042867271653653,0.9128576952624504,0.8586387434554974,0.026726127099237714
trap,next_1_4,heldout_snapshot,physical+aggregate_current,shift_1,2004.0,168.0,42,17,0.8193874108503286,0.7618564274584008,0.872174906695386,0.8115183246073299,0.035475038176699655
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_2,2004.0,168.0,42,17,0.8755139415723322,0.8066542985460111,0.9362387391630261,0.8734729493891797,0.026873604579437906
trap,next_1_4,heldout_snapshot,physical+aggregate_current,shift_2,2004.0,168.0,42,17,0.8536534209038359,0.794555199444438,0.9083717782521814,0.8429319371727748,0.034435695878079174
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_3,2004.0,168.0,42,17,0.8703290134538201,0.8096944895568409,0.9244659024147915,0.8699825479930192,0.027088937216665405
