target,band,split,model,variant,snapshot_key,worker,mixed_strata,pairs,auc
trap,next_1_4,heldout_snapshot,rate_only,aligned,w00_s000,0,1,55,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w00_s005,0,3,69,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w01_s003,1,3,62,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w02_s001,2,2,59,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w00_s001,0,3,62,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w01_s004,1,3,77,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w02_s002,2,3,87,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w03_s005,3,1,15,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w00_s002,0,2,80,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w01_s000,1,3,69,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w02_s003,2,3,86,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w00_s003,0,3,81,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w01_s001,1,3,62,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w02_s004,2,3,87,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w00_s004,0,1,63,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w01_s002,1,2,61,0.5
trap,next_1_4,heldout_snapshot,rate_only,aligned,w02_s000,2,3,71,0.5
trap,next_1_4,heldout_snapshot,physical_action,aligned,w00_s000,0,1,55,1.0
trap,next_1_4,heldout_snapshot,physical_action,aligned,w00_s005,0,3,69,0.9710144927536232
trap,next_1_4,heldout_snapshot,physical_action,aligned,w01_s003,1,3,62,0.8064516129032258
trap,next_1_4,heldout_snapshot,physical_action,aligned,w02_s001,2,2,59,0.9152542372881356
trap,next_1_4,heldout_snapshot,physical_action,aligned,w00_s001,0,3,62,1.0
trap,next_1_4,heldout_snapshot,physical_action,aligned,w01_s004,1,3,77,0.974025974025974
trap,next_1_4,heldout_snapshot,physical_action,aligned,w02_s002,2,3,87,0.8275862068965517
trap,next_1_4,heldout_snapshot,physical_action,aligned,w03_s005,3,1,15,0.6666666666666667
trap,next_1_4,heldout_snapshot,physical_action,aligned,w00_s002,0,2,80,0.95
trap,next_1_4,heldout_snapshot,physical_action,aligned,w01_s000,1,3,69,0.9710144927536232
trap,next_1_4,heldout_snapshot,physical_action,aligned,w02_s003,2,3,86,0.872093023255814
trap,next_1_4,heldout_snapshot,physical_action,aligned,w00_s003,0,3,81,0.9506172839506173
trap,next_1_4,heldout_snapshot,physical_action,aligned,w01_s001,1,3,62,1.0
trap,next_1_4,heldout_snapshot,physical_action,aligned,w02_s004,2,3,87,0.8045977011494253
trap,next_1_4,heldout_snapshot,physical_action,aligned,w00_s004,0,1,63,1.0
trap,next_1_4,heldout_snapshot,physical_action,aligned,w01_s002,1,2,61,1.0
trap,next_1_4,heldout_snapshot,physical_action,aligned,w02_s000,2,3,71,0.704225352112676
trap,next_1_4,heldout_snapshot,physical,aligned,w00_s000,0,1,55,1.0
trap,next_1_4,heldout_snapshot,physical,aligned,w00_s005,0,3,69,0.9420289855072463
trap,next_1_4,heldout_snapshot,physical,aligned,w01_s003,1,3,62,0.7903225806451613
trap,next_1_4,heldout_snapshot,physical,aligned,w02_s001,2,2,59,0.9661016949152542
trap,next_1_4,heldout_snapshot,physical,aligned,w00_s001,0,3,62,0.9838709677419355
trap,next_1_4,heldout_snapshot,physical,aligned,w01_s004,1,3,77,0.961038961038961
trap,next_1_4,heldout_snapshot,physical,aligned,w02_s002,2,3,87,0.735632183908046
trap,next_1_4,heldout_snapshot,physical,aligned,w03_s005,3,1,15,0.8666666666666667
trap,next_1_4,heldout_snapshot,physical,aligned,w00_s002,0,2,80,0.9625
trap,next_1_4,heldout_snapshot,physical,aligned,w01_s000,1,3,69,0.8695652173913043
trap,next_1_4,heldout_snapshot,physical,aligned,w02_s003,2,3,86,0.8837209302325582
trap,next_1_4,heldout_snapshot,physical,aligned,w00_s003,0,3,81,0.8641975308641975
trap,next_1_4,heldout_snapshot,physical,aligned,w01_s001,1,3,62,0.967741935483871
trap,next_1_4,heldout_snapshot,physical,aligned,w02_s004,2,3,87,0.735632183908046
trap,next_1_4,heldout_snapshot,physical,aligned,w00_s004,0,1,63,1.0
trap,next_1_4,heldout_snapshot,physical,aligned,w01_s002,1,2,61,1.0
trap,next_1_4,heldout_snapshot,physical,aligned,w02_s000,2,3,71,0.7183098591549296
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w00_s000,0,1,55,0.7272727272727273
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w00_s005,0,3,69,0.6521739130434783
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w01_s003,1,3,62,0.6129032258064516
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w02_s001,2,2,59,0.6610169491525424
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w00_s001,0,3,62,0.6612903225806451
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w01_s004,1,3,77,0.8441558441558441
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w02_s002,2,3,87,0.8505747126436781
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w03_s005,3,1,15,0.8
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w00_s002,0,2,80,0.85
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w01_s000,1,3,69,0.927536231884058
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w02_s003,2,3,86,0.813953488372093
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w00_s003,0,3,81,0.8395061728395061
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w01_s001,1,3,62,0.8709677419354839
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w02_s004,2,3,87,0.8045977011494253
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w00_s004,0,1,63,0.6825396825396826
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w01_s002,1,2,61,0.6065573770491803
trap,next_1_4,heldout_snapshot,moe_aggregate_current,aligned,w02_s000,2,3,71,0.8028169014084507
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w00_s000,0,1,55,1.0
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w00_s005,0,3,69,0.9710144927536232
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w01_s003,1,3,62,0.8870967741935484
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w02_s001,2,2,59,0.9322033898305084
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w00_s001,0,3,62,1.0
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w01_s004,1,3,77,0.9090909090909091
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w02_s002,2,3,87,0.7701149425287356
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w03_s005,3,1,15,0.6
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w00_s002,0,2,80,0.95
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w01_s000,1,3,69,0.9130434782608695
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w02_s003,2,3,86,0.8953488372093024
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w00_s003,0,3,81,0.9259259259259259
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w01_s001,1,3,62,0.9838709677419355
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w02_s004,2,3,87,0.8390804597701149
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w00_s004,0,1,63,1.0
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w01_s002,1,2,61,0.9508196721311475
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,aligned,w02_s000,2,3,71,0.7183098591549296
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w00_s000,0,1,55,1.0
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w00_s005,0,3,69,0.8840579710144928
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w01_s003,1,3,62,0.8225806451612904
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w02_s001,2,2,59,0.9491525423728814
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w00_s001,0,3,62,1.0
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w01_s004,1,3,77,0.922077922077922
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w02_s002,2,3,87,0.8390804597701149
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w03_s005,3,1,15,0.7333333333333333
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w00_s002,0,2,80,0.9625
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w01_s000,1,3,69,0.9130434782608695
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w02_s003,2,3,86,0.9418604651162791
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w00_s003,0,3,81,0.8148148148148148
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w01_s001,1,3,62,0.967741935483871
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w02_s004,2,3,87,0.8505747126436781
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w00_s004,0,1,63,1.0
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w01_s002,1,2,61,0.9508196721311475
trap,next_1_4,heldout_snapshot,physical+aggregate_current,aligned,w02_s000,2,3,71,0.7605633802816901
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w00_s000,0,1,55,1.0
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w00_s005,0,3,69,0.9130434782608695
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w01_s003,1,3,62,0.8548387096774194
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w02_s001,2,2,59,0.9152542372881356
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w00_s001,0,3,62,1.0
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w01_s004,1,3,77,0.8311688311688312
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w02_s002,2,3,87,0.6896551724137931
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w03_s005,3,1,15,0.6666666666666667
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w00_s002,0,2,80,0.9125
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w01_s000,1,3,69,0.8115942028985508
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w02_s003,2,3,86,0.7558139534883721
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w00_s003,0,3,81,0.9259259259259259
trap,next_1_4,heldout_snapshot,physical_action+aggregate_current,shift_1,w01_s001,1,3,62,0.967741935483871
