target,band,split,comparison,snapshots,auc_gain,auc_gain_ci95_low,auc_gain_ci95_high,auc_gain_9test_low,auc_gain_9test_high
trap,next_1_4,heldout_snapshot,action_increment,17,0.009777490958715006,-0.023926579402290583,0.038576774713066295,-0.03918635019891681,0.050211426149488494
trap,next_1_4,heldout_snapshot,aggregate_moe_over_physical,17,0.003815978529659255,-0.02409371386459123,0.03236947057530609,-0.036771355106364076,0.04247726977071043
trap,next_1_4,heldout_snapshot,token_current_moe_over_physical,17,-0.00426597765993663,-0.033619734065617315,0.024423954648125103,-0.044563083744807976,0.036406903037183865
trap,next_1_4,heldout_snapshot,token_history_moe_over_physical,17,0.005462007875987385,-0.021576675047966187,0.030181396325340233,-0.03285443009923188,0.039173484489283615
trap,next_1_4,heldout_snapshot,aggregate_moe_increment,17,-0.00986043148028134,-0.02820515331649429,0.009233964740266887,-0.03431931889574357,0.015793690566705338
trap,next_1_4,heldout_snapshot,token_position_increment,17,-0.0008613072242596867,-0.019025746743236434,0.018791000113475176,-0.026717687687284497,0.02732383522372027
trap,next_1_4,heldout_snapshot,token_current_total_moe_increment,17,-0.010721738704541028,-0.03438365652338441,0.01866854566424472,-0.04351551389670255,0.03400613580131531
trap,next_1_4,heldout_snapshot,history_increment,17,-0.011499635452397117,-0.024047288398473816,-0.0007105121417357079,-0.029412135692807023,0.002659551225602279
trap,next_1_4,heldout_snapshot,total_moe_increment,17,-0.022221374156938145,-0.04705429173133903,0.00273566523097176,-0.0569933533403287,0.013960695450337731
trap,next_1_4,heldout_snapshot,aligned_vs_shifted_aggregate_current,17,0.028194399892862758,0.005157855437818898,0.0518437514753159,,
trap,next_1_4,heldout_snapshot,aligned_vs_shifted_physical_aggregate_current,17,0.05495595082585781,0.012544805139784294,0.0963802519842074,,
trap,next_1_4,heldout_snapshot,aligned_vs_shifted_token_current,17,-0.00529056645033781,-0.02998515637485638,0.019407416560068474,,
trap,next_1_4,heldout_snapshot,aligned_vs_shifted_physical_token_current,17,0.04030985188597517,0.0011854133211737109,0.07607165123164451,,
trap,next_1_4,heldout_snapshot,aligned_vs_shifted_token_history,17,0.010025866346235186,-0.03424295586538037,0.05069855720161557,,
trap,next_1_4,heldout_snapshot,aligned_vs_shifted_physical_token_history,17,0.08989787285392277,0.03954120206193587,0.13700074156624442,,
