feature
query_fraction
eef_path
eef_net
eef_efficiency
eef_step_mean
eef_step_std
eef_recent_mean
eef_recent_std
eef_last_step
goal_current
goal_progress
goal_delta_mean
goal_recent_delta
object_path
object_recent_step
gripper_current
gripper_std
gripper_total_change
action_mean_0
action_mean_1
action_mean_2
action_mean_3
action_mean_4
action_mean_5
action_mean_6
action_std_0
action_std_1
action_std_2
action_std_3
action_std_4
action_std_5
action_std_6
action_abs_mean_0
action_abs_mean_1
action_abs_mean_2
action_abs_mean_3
action_abs_mean_4
action_abs_mean_5
action_abs_mean_6
action_delta_mean_0
action_delta_mean_1
action_delta_mean_2
action_delta_mean_3
action_delta_mean_4
action_delta_mean_5
action_delta_mean_6
action_delta_abs_mean_0
action_delta_abs_mean_1
action_delta_abs_mean_2
action_delta_abs_mean_3
action_delta_abs_mean_4
action_delta_abs_mean_5
action_delta_abs_mean_6
action_token_norm_mean
action_token_norm_std
action_adjacent_change_mean
action_adjacent_change_std
action_first_last_change
