target,band,risk_rows,events,mixed_strata,mixed_snapshots,workers_with_mixed_strata
trap,next_1_4,2004,168,42,17,4
trap,next_5_8,1836,190,47,18,4
trap,next_9_12,1646,198,51,20,4
loop,next_1_4,2005,156,40,17,4
loop,next_5_8,1849,158,41,18,4
loop,next_9_12,1691,161,44,20,4
static,next_1_4,2463,16,7,7,3
static,next_5_8,2447,43,14,10,3
static,next_9_12,2404,51,19,12,3
