task,suite,fold,failure,episodes,knn20_q10,knn20_q25,knn20_q50,knn20_q75,knn20_q90,norm_only_q10,norm_only_q25,norm_only_q50,norm_only_q75,norm_only_q90,c1_centroid_distance_q10,c1_centroid_distance_q25,c1_centroid_distance_q50,c1_centroid_distance_q75,c1_centroid_distance_q90,c4_centroid_distance_q10,c4_centroid_distance_q25,c4_centroid_distance_q50,c4_centroid_distance_q75,c4_centroid_distance_q90,c4_assigned_radius_q10,c4_assigned_radius_q25,c4_assigned_radius_q50,c4_assigned_radius_q75,c4_assigned_radius_q90,c8_centroid_distance_q10,c8_centroid_distance_q25,c8_centroid_distance_q50,c8_centroid_distance_q75,c8_centroid_distance_q90,c32_centroid_distance_q10,c32_centroid_distance_q25,c32_centroid_distance_q50,c32_centroid_distance_q75,c32_centroid_distance_q90,c32_union_radius_q10,c32_union_radius_q25,c32_union_radius_q50,c32_union_radius_q75,c32_union_radius_q90,raw_c4_over_knn20_q10,raw_c4_over_knn20_q25,raw_c4_over_knn20_q50,raw_c4_over_knn20_q75,raw_c4_over_knn20_q90,tau_c4_over_knn20,raw_c4_over_c32_centroid_distance_q10,raw_c4_over_c32_centroid_distance_q25,raw_c4_over_c32_centroid_distance_q50,raw_c4_over_c32_centroid_distance_q75,raw_c4_over_c32_centroid_distance_q90,tau_c4_over_c32_centroid_distance
libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,libero_goal_full_0,False,800,0.6812385564275472,0.7792176634992432,0.8952303080537936,1.0452701096685324,1.1897340420096798,0.48033822761529354,0.5686970082703853,0.6666383696501854,0.7862438944728258,0.880044176061651,0.5317687921918632,0.6239451008752638,0.7203739770053676,0.8487752741004289,0.9455368165358649,0.5264556338213968,0.5961075992095446,0.6741979316504141,0.7679916293765475,0.8711947633582154,0.5029869938386861,0.5560263341586468,0.6217138828719218,0.7189901030328232,0.8202432138123597,0.5971326850214701,0.6728559701223252,0.7701960451773535,0.8636279543896366,0.9806052249846643,0.6757032155989782,0.7877686313780085,0.90241983634273,1.0369207274236827,1.160227587701345,0.6169281014688092,0.6896336252973554,0.8029251499683064,0.9184148649501269,1.0297991756885037,1.2588741421699523,1.3553341925144196,1.5491393208503723,1.7104395031929016,1.8452985763549805,2.037871139109563,1.0298537373542787,1.1034111976623535,1.2328106760978699,1.3701070547103882,1.5348501443862914,1.64488644424875
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,libero_goal_full_3,False,697,0.5166479598148833,0.5772007794739279,0.6661242332756546,0.7480530225887334,0.8631688940415925,0.32636580028725604,0.3706094707484275,0.4197823498720994,0.4693486098378778,0.5293432844276115,0.3544428237522135,0.3962936292079099,0.44767242079176717,0.505285658656054,0.5644139317178681,0.4982518164928294,0.5556525806758279,0.6209501858202439,0.6902730673026254,0.7672290528046799,0.5860669826203535,0.6458455188844164,0.7216319685241902,0.8020037502018929,0.8982285670724266,0.5666677029034902,0.6354596005299481,0.7031302520944842,0.7896894587334191,0.8643529691891242,0.5746087378129554,0.6331202533067022,0.7187128023724195,0.8040568403812586,0.8975825493620244,0.7159572462091947,0.777883445815703,0.8650835736926056,0.9513772074894533,1.024254637111262,1.4656795978546142,1.5514252185821533,1.661938190460205,1.7811387777328491,1.8759825229644775,1.778350397154394,1.1620627641677856,1.2146044969558716,1.2880853414535522,1.3751411437988281,1.5006805419921874,1.4988637472428814
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,libero_goal_full_3,True,103,1.1425201460198071,1.4430378322518815,1.8492880106900562,2.4851243301220993,3.5912511720938927,1.1164696958647713,1.3187638319041997,1.4972610834416515,1.7480699886919147,2.1775762200322433,1.112534436984682,1.3244472279908455,1.5086356025177496,1.7738378904980534,2.2195603626371767,1.024325774397918,1.1486110542741175,1.4081915783734575,1.8182853038002018,2.4386450704278557,0.98384784808995,1.0933080381173634,1.3116901493033362,1.7026228516067925,2.241297247374845,1.1211551151221293,1.2746495023491564,1.5746098076714201,2.0506054194732046,2.7820859613660653,1.1469740535017363,1.3929815702652628,1.7747511256366593,2.3315201667170893,3.2816154285025148,1.2556281572560701,1.4449600869856667,1.8124873788434537,2.381094936798493,3.351391828361712,1.2132697343826293,1.2658912539482117,1.3470630645751953,1.4148852229118347,1.6033021211624146,1.778350397154394,1.1135656833648682,1.1355275511741638,1.16867995262146,1.2263120412826538,1.4209637403488158,1.4988637472428814
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,libero_goal_full_2,False,797,1.169974456346882,1.442388448542342,1.839426342050571,2.1889947013178346,2.5105470325383767,0.9047003046998566,1.031270755433099,1.1966389801961048,1.3227072304927698,1.4348910630631144,0.9779069486869002,1.1117495947795806,1.2834021673989982,1.4155321983949043,1.5331791827326189,0.8684784522742216,1.0195981173237616,1.2458471212448428,1.4414559605844806,1.6120414540313932,0.9132228101208788,1.058220884921897,1.289256774099201,1.4904021942989336,1.6664290865773506,1.0495209029695938,1.2294263453115144,1.5083018982525618,1.745098320737136,1.953702065898974,1.180010154303761,1.4054236900530743,1.7886882810042086,2.11005706968313,2.392667348061318,1.0449232840785923,1.2310432571122758,1.533397590419437,1.7444791099791916,1.956368836877551,1.2861429452896118,1.3142609596252441,1.3565058708190918,1.4173637628555298,1.4924154043197633,2.0026118873606675,1.0513908386230468,1.0643515586853027,1.0892151594161987,1.130617380142212,1.2041049242019652,1.5735435273649716
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,libero_goal_full_2,True,3,4.114068025832551,4.262037830191048,4.508654170788543,5.765489475074816,6.51959065764658,1.889621080089401,1.9349650706194752,2.010538388169599,2.4070101945222184,2.6448932783337904,1.9908993976336293,2.039126343298392,2.1195045860729955,2.5295228602986555,2.7755338248340515,2.475937337726888,2.544477770626671,2.658711825459643,3.2906226839657955,3.6697691990694867,2.5594714872738304,2.630324335033119,2.748412414631933,3.401642901525978,3.7935811936624058,3.0439366325937365,3.1281678591960684,3.2685532368666226,4.0480197338181485,4.515699631989063,3.5580218957550507,3.650508630104146,3.8046531873526384,4.796691393574051,5.391914317306899,2.875759104516136,2.950511213854261,3.075098062751136,3.8769096252361885,4.3579965627272195,1.1310802936553954,1.1497708559036255,1.1809217929840088,1.1964788436889648,1.2058130741119384,2.0026118873606675,1.0717530965805053,1.0799961686134338,1.093734622001648,1.0966675877571106,1.0984273672103881,1.5735435273649716
libero_goal/put_the_bowl_on_the_plate,libero_goal,libero_goal_full_2,False,770,0.40291658251205226,0.43366932398499874,0.4741308536465223,0.5240891286976429,0.5651875916355213,0.21871495019850198,0.2522282208104143,0.2887640629462747,0.33293264294011976,0.3718801429260325,0.22694880930514538,0.26047220691964035,0.3000862533321074,0.35557135956032115,0.3944484468385491,0.3520743574587622,0.39591844772990464,0.44661156325040846,0.49842722688949537,0.5526819347858357,0.3982730263219631,0.4489091452469356,0.5092811556989381,0.5750270575099614,0.6420894816271306,0.33912895587276204,0.40009162394510556,0.4609436723800848,0.5219481296521168,0.5943187331600145,0.3140887338750255,0.36875237741157335,0.42702494331104,0.49388266863063035,0.5422329652953355,0.3349688130518897,0.39522917458223117,0.4554768486471868,0.5198218520420427,0.58004491076959,1.5791220664978027,1.7018424272537231,1.869917869567871,2.0516762733459473,2.213432788848877,2.0026118873606675,1.2268008232116698,1.4188876152038574,1.6729950904846191,1.9524825811386108,2.189434766769409,1.5735435273649716
libero_goal/put_the_bowl_on_the_plate,libero_goal,libero_goal_full_2,True,30,1.459200469276894,1.6048955073348123,1.8856954254732101,2.221660947014681,2.604706226525692,0.8182002578892794,0.8626035560966889,0.9767802225413533,1.0597251706549347,1.2513405917902465,0.8213369822223588,0.8666275404406145,0.9995618744373502,1.1190182899132002,1.3401443661716699,1.1361168704017592,1.1958763270557808,1.354254322058104,1.584678042106741,1.7786969278166327,1.1945244473245065,1.2904227788012057,1.4515715051332507,1.6847132144171693,1.9120816539610042,1.348627073274609,1.4517751246149833,1.6444684590457572,1.8986363461630456,2.151949460210707,1.4615240512046073,1.565165510007538,1.8381135661312735,2.0780553707218923,2.39372433333606,1.304051039259094,1.4238316626791776,1.6484820015480663,1.7868840863535818,2.070124877148935,1.3028301000595093,1.3723681271076202,1.425654947757721,1.509108304977417,1.6091692090034484,2.0026118873606675,1.1097256779670714,1.1319600045681,1.1697086095809937,1.2251200079917908,1.2589540362358094,1.5735435273649716
libero_goal/put_the_bowl_on_the_stove,libero_goal,libero_goal_full_2,False,785,0.39508139799183656,0.4276604967114773,0.474272029495933,0.5277680178696108,0.582136044796798,0.2663125763896682,0.3082938498505422,0.3755464600239369,0.4209906027851309,0.4597828640971835,0.29820253852539796,0.35152161753594047,0.42558418324510205,0.4717456145059237,0.511069803715105,0.3410282535407357,0.37681361387345685,0.42701759904655084,0.4748032091023527,0.5314634254825792,0.3848788963884108,0.43072203932811043,0.4856161098428679,0.5456620113310854,0.6043646351644707,0.3370862672392854,0.37921875898383434,0.43874987569433355,0.5085959973542329,0.5806338024208492,0.37274284508210676,0.4201221754495379,0.46915893745271003,0.5315549922333321,0.5942127889079453,0.4237618853799185,0.47290613200920417,0.5241841365619511,0.5827768371855998,0.656341220770321,1.5678675413131713,1.6971055269241333,1.7952849864959717,1.9115896224975586,2.0191893577575684,2.0026118873606675,1.2263437747955321,1.3290644884109497,1.4347933530807495,1.5402517318725586,1.6522666454315185,1.5735435273649716
libero_goal/put_the_bowl_on_the_stove,libero_goal,libero_goal_full_2,True,15,2.421962519233935,2.5257988535512244,2.7525747019316893,3.6129180355876898,3.882891547542725,1.1352921268546952,1.2211834053347221,1.372964749768442,1.6474659116144341,1.7655666282881035,1.1756640243830805,1.2594124010216459,1.3896277782862354,1.7385483594455842,1.8563776006406707,1.6626898819817295,1.7812796110750577,1.942707523363309,2.2804264798637988,2.361449272721719,1.771905097186702,1.8292635650331015,1.942707519671825,2.4041783536767323,2.484435196015585,2.0010082074491033,2.085181289104181,2.2827174333544638,2.773805105785363,2.9194513969971987,2.22775298884536,2.362943419143468,2.5790762821621467,3.226263303069708,3.4384523296251266,1.710805629233605,1.8517127100576478,2.007366701893749,2.6303000438909594,2.8460032002194846,1.2166226625442504,1.266265869140625,1.3166277408599854,1.3998783826828003,1.4136648416519164,2.0026118873606675,1.0763403654098511,1.1105206608772278,1.137932300567627,1.1657208800315857,1.198643732070923,1.5735435273649716
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,libero_goal_full_1,False,769,0.33727121307558255,0.36982642212510736,0.42418007027643184,0.4863323124525997,0.543913121176126,0.25282224459856767,0.2774260453934885,0.3084816326750248,0.3425183691186702,0.37692276259527047,0.2551495234800056,0.28328451772258956,0.3131459072461062,0.34932266266302,0.3815151306082175,0.30523049842328687,0.36400283901212155,0.4270599322581665,0.5036360370945131,0.5715900266211748,0.29678139403889586,0.34229268652953604,0.40538473405030595,0.4809732585696861,0.5494849745299923,0.33218099068310075,0.37703084109782586,0.44086304076976357,0.5135113296061802,0.6018416434487993,0.4355234172623293,0.47952350537382094,0.5317869206517749,0.5835888239906684,0.648135205217171,0.44839187928076324,0.48893996921732535,0.5316832429288908,0.5958674792156051,0.652192877357988,1.4030256748199463,1.5173580646514893,1.6477253437042236,1.7685267925262451,1.9430835962295534,1.6517143603469229,0.9900418639183044,1.1280770301818848,1.2623957395553589,1.435964822769165,1.6603904008865358,1.5882262512695196
