method,tasks,mean_auc,mean_ap
c1_centroid_distance,37,0.9874393126456514,0.8806532616931814
c32_centroid_distance,37,0.9923457799516653,0.8899405162158698
c32_union_radius,37,0.9868276941202972,0.8823750904125002
c4_assigned_radius,37,0.9926476971967304,0.9130207970437619
c4_centroid_distance,37,0.9938044906695888,0.9157723810837328
c8_centroid_distance,37,0.9920198775824189,0.8883385011272706
final_duration_diagnostic_only,37,1.0,1.0
knn20,37,0.9944606425008055,0.911328882453071
norm_only,37,0.9867208646571752,0.8804285345346967
