fold,suite,clusters,reference_points,weighted_task_purity,task_adjusted_mutual_information,single_task_clusters
libero_goal_full_0,libero_goal,1,4096,0.322021484375,0.0,0
libero_goal_full_0,libero_goal,2,4096,0.564697265625,0.3315422373469469,0
libero_goal_full_0,libero_goal,4,4096,0.632568359375,0.41947445400363226,1
libero_goal_full_0,libero_goal,8,4096,0.681884765625,0.4718797003646506,2
libero_goal_full_0,libero_goal,16,4096,0.814453125,0.4986439594229267,3
libero_goal_full_0,libero_goal,32,4096,0.822021484375,0.4709909499255617,9
libero_goal_full_0,libero_goal,64,4096,0.8779296875,0.4574449828724758,24
libero_goal_full_1,libero_goal,1,4096,0.220703125,0.0,0
libero_goal_full_1,libero_goal,2,4096,0.40234375,0.31804015367658484,0
libero_goal_full_1,libero_goal,4,4096,0.52783203125,0.3873270665067287,0
libero_goal_full_1,libero_goal,8,4096,0.61474609375,0.4219628570607672,1
libero_goal_full_1,libero_goal,16,4096,0.652587890625,0.41214355382281087,1
libero_goal_full_1,libero_goal,32,4096,0.71728515625,0.4153747302118189,3
libero_goal_full_1,libero_goal,64,4096,0.788818359375,0.4132200910030841,12
libero_goal_full_2,libero_goal,1,4096,0.259521484375,0.0,0
libero_goal_full_2,libero_goal,2,4096,0.423095703125,0.22773258480594605,0
libero_goal_full_2,libero_goal,4,4096,0.48095703125,0.32404750637274443,0
libero_goal_full_2,libero_goal,8,4096,0.57177734375,0.3942427027840819,0
libero_goal_full_2,libero_goal,16,4096,0.630859375,0.40573617018329033,0
libero_goal_full_2,libero_goal,32,4096,0.71435546875,0.41430167290258596,1
libero_goal_full_2,libero_goal,64,4096,0.7802734375,0.40679242578858643,8
libero_goal_full_3,libero_goal,1,4096,0.311279296875,0.0,0
libero_goal_full_3,libero_goal,2,4096,0.59765625,0.41303975048219094,0
libero_goal_full_3,libero_goal,4,4096,0.621337890625,0.484527544208189,1
libero_goal_full_3,libero_goal,8,4096,0.646484375,0.4763656485361471,3
libero_goal_full_3,libero_goal,16,4096,0.794921875,0.5151127644987329,4
libero_goal_full_3,libero_goal,32,4096,0.848388671875,0.5062043115862602,10
libero_goal_full_3,libero_goal,64,4096,0.886474609375,0.47707423521045544,35
libero_long_full_0,libero_long,1,4096,0.15673828125,0.0,0
libero_long_full_0,libero_long,2,4096,0.227294921875,0.048501097768696474,0
libero_long_full_0,libero_long,4,4096,0.288330078125,0.12301577592413773,0
libero_long_full_0,libero_long,8,4096,0.364990234375,0.22038272403227016,0
libero_long_full_0,libero_long,16,4096,0.4111328125,0.2401916139375996,0
libero_long_full_0,libero_long,32,4096,0.50634765625,0.2584653876786217,0
libero_long_full_0,libero_long,64,4096,0.58251953125,0.2760342861259568,2
libero_long_full_1,libero_long,1,4096,0.152587890625,0.0,0
libero_long_full_1,libero_long,2,4096,0.212158203125,0.06046387749920423,0
libero_long_full_1,libero_long,4,4096,0.283203125,0.1129300410993012,0
libero_long_full_1,libero_long,8,4096,0.38623046875,0.22485814291228065,0
libero_long_full_1,libero_long,16,4096,0.444091796875,0.2577215169186988,0
libero_long_full_1,libero_long,32,4096,0.49560546875,0.25997094228778805,0
libero_long_full_1,libero_long,64,4096,0.590087890625,0.28523527073295807,1
libero_long_full_2,libero_long,1,4096,0.15869140625,0.0,0
libero_long_full_2,libero_long,2,4096,0.247314453125,0.10137800358474666,0
libero_long_full_2,libero_long,4,4096,0.308349609375,0.13104503914238708,0
libero_long_full_2,libero_long,8,4096,0.41064453125,0.21114045590868996,0
libero_long_full_2,libero_long,16,4096,0.46337890625,0.24256830679295632,0
libero_long_full_2,libero_long,32,4096,0.521240234375,0.2636612230833478,0
libero_long_full_2,libero_long,64,4096,0.57421875,0.2758839642375354,2
libero_long_full_3,libero_long,1,4096,0.16064453125,0.0,0
libero_long_full_3,libero_long,2,4096,0.242919921875,0.07549262715759095,0
libero_long_full_3,libero_long,4,4096,0.3310546875,0.15826735453708185,0
libero_long_full_3,libero_long,8,4096,0.38134765625,0.22555192491272183,0
libero_long_full_3,libero_long,16,4096,0.45947265625,0.2551931351685786,0
libero_long_full_3,libero_long,32,4096,0.498291015625,0.26638222868385913,0
libero_long_full_3,libero_long,64,4096,0.5791015625,0.28663816515109575,3
libero_object_full_0,libero_object,1,4096,0.168212890625,0.0,0
libero_object_full_0,libero_object,2,4096,0.224609375,0.0864874089616412,0
libero_object_full_0,libero_object,4,4096,0.251953125,0.08649022413393842,0
libero_object_full_0,libero_object,8,4096,0.251708984375,0.0814438904980334,0
libero_object_full_0,libero_object,16,4096,0.286865234375,0.0925722663543845,0
libero_object_full_0,libero_object,32,4096,0.3251953125,0.10979701370278579,0
libero_object_full_0,libero_object,64,4096,0.37060546875,0.12677065287831732,1
libero_object_full_1,libero_object,1,4096,0.1669921875,0.0,0
libero_object_full_1,libero_object,2,4096,0.203369140625,0.0398113203044252,0
libero_object_full_1,libero_object,4,4096,0.220947265625,0.053799473624472335,0
libero_object_full_1,libero_object,8,4096,0.23046875,0.05221098043700705,0
libero_object_full_1,libero_object,16,4096,0.24853515625,0.05611172724755197,0
libero_object_full_1,libero_object,32,4096,0.288330078125,0.07390996030320497,0
libero_object_full_1,libero_object,64,4096,0.33740234375,0.09393269509535292,0
libero_object_full_2,libero_object,1,4096,0.16796875,0.0,0
libero_object_full_2,libero_object,2,4096,0.221435546875,0.08980371470424452,0
libero_object_full_2,libero_object,4,4096,0.24462890625,0.11049833906004689,0
libero_object_full_2,libero_object,8,4096,0.269775390625,0.11301174182948884,0
libero_object_full_2,libero_object,16,4096,0.309326171875,0.12341434030102566,0
libero_object_full_2,libero_object,32,4096,0.3466796875,0.13699752568357554,0
libero_object_full_2,libero_object,64,4096,0.39599609375,0.15204639955163118,1
libero_object_full_3,libero_object,1,4096,0.17529296875,0.0,0
libero_object_full_3,libero_object,2,4096,0.223388671875,0.07871863234286106,0
libero_object_full_3,libero_object,4,4096,0.255126953125,0.09871113098556229,0
libero_object_full_3,libero_object,8,4096,0.282958984375,0.09357670928495822,0
libero_object_full_3,libero_object,16,4096,0.3017578125,0.10432203261247242,0
libero_object_full_3,libero_object,32,4096,0.323974609375,0.11351898090424023,1
libero_object_full_3,libero_object,64,4096,0.393798828125,0.1415401397901777,1
libero_spatial_full_0,libero_spatial,1,4096,0.2412109375,0.0,0
libero_spatial_full_0,libero_spatial,2,4096,0.353759765625,0.3121068336714852,0
libero_spatial_full_0,libero_spatial,4,4096,0.48681640625,0.39912295469796993,0
libero_spatial_full_0,libero_spatial,8,4096,0.599853515625,0.41816878907783805,0
libero_spatial_full_0,libero_spatial,16,4096,0.67138671875,0.4350994900807625,0
libero_spatial_full_0,libero_spatial,32,4096,0.70361328125,0.40566547581752965,3
libero_spatial_full_0,libero_spatial,64,4096,0.75341796875,0.39915534313530965,7
libero_spatial_full_1,libero_spatial,1,4096,0.2158203125,0.0,0
libero_spatial_full_1,libero_spatial,2,4096,0.390625,0.3985977389851631,0
libero_spatial_full_1,libero_spatial,4,4096,0.461181640625,0.4581182113677531,0
libero_spatial_full_1,libero_spatial,8,4096,0.58984375,0.4350330457467532,0
libero_spatial_full_1,libero_spatial,16,4096,0.65478515625,0.4351436794355057,0
libero_spatial_full_1,libero_spatial,32,4096,0.687744140625,0.4142406491681816,0
libero_spatial_full_1,libero_spatial,64,4096,0.7626953125,0.4269862520526126,6
libero_spatial_full_2,libero_spatial,1,4096,0.24072265625,0.0,0
libero_spatial_full_2,libero_spatial,2,4096,0.335205078125,0.2722728057785669,0
libero_spatial_full_2,libero_spatial,4,4096,0.41455078125,0.3304573245245011,0
libero_spatial_full_2,libero_spatial,8,4096,0.507568359375,0.39252599203597355,0
libero_spatial_full_2,libero_spatial,16,4096,0.623779296875,0.4068117786056647,0
libero_spatial_full_2,libero_spatial,32,4096,0.65869140625,0.3959068929774079,0
libero_spatial_full_2,libero_spatial,64,4096,0.70458984375,0.37761157140789153,10
libero_spatial_full_3,libero_spatial,1,4096,0.23291015625,0.0,0
libero_spatial_full_3,libero_spatial,2,4096,0.339599609375,0.34376484801074203,0
libero_spatial_full_3,libero_spatial,4,4096,0.466796875,0.41741535585399486,0
libero_spatial_full_3,libero_spatial,8,4096,0.5546875,0.42432273544292515,0
libero_spatial_full_3,libero_spatial,16,4096,0.643310546875,0.43541014215279294,0
libero_spatial_full_3,libero_spatial,32,4096,0.6728515625,0.4060185664870764,0
libero_spatial_full_3,libero_spatial,64,4096,0.71044921875,0.3909351452382076,6
