fold,method,alpha,units,ascending_rank,descending_rank,threshold,tau_over_alpha005
libero_goal_full_0,knn20,0.02,70,70,1,2.1338112354278564,1.0886876560984784
libero_goal_full_0,knn20,0.03,70,69,2,2.048833131790161,1.0453311440823319
libero_goal_full_0,knn20,0.05,70,68,3,1.9599847793579102,1.0
libero_goal_full_0,knn20,0.1,70,64,7,1.8313120603561401,0.9343501437577882
libero_goal_full_0,norm_only,0.02,70,70,1,7.359172821044922,1.0519063612533668
libero_goal_full_0,norm_only,0.03,70,69,2,7.051754474639893,1.007964559367061
libero_goal_full_0,norm_only,0.05,70,68,3,6.996034145355225,1.0
libero_goal_full_0,norm_only,0.1,70,64,7,5.8004961013793945,0.8291120341701639
libero_goal_full_0,c1_centroid_distance,0.02,70,70,1,7.242669582366943,1.083502884280248
libero_goal_full_0,c1_centroid_distance,0.03,70,69,2,7.0924811363220215,1.0610347028142009
libero_goal_full_0,c1_centroid_distance,0.05,70,68,3,6.684494972229004,1.0
libero_goal_full_0,c1_centroid_distance,0.1,70,64,7,5.855499267578125,0.8759822981249932
libero_goal_full_0,c4_centroid_distance,0.02,70,70,1,5.4769697189331055,1.3712319450382067
libero_goal_full_0,c4_centroid_distance,0.03,70,69,2,4.243650436401367,1.062454119812517
libero_goal_full_0,c4_centroid_distance,0.05,70,68,3,3.9941964149475098,1.0
libero_goal_full_0,c4_centroid_distance,0.1,70,64,7,3.5923924446105957,0.8994030516793715
libero_goal_full_0,c4_assigned_radius,0.02,70,70,1,2.2266225814819336,1.4101191948346792
libero_goal_full_0,c4_assigned_radius,0.03,70,69,2,1.7879477739334106,1.1323066137717128
libero_goal_full_0,c4_assigned_radius,0.05,70,68,3,1.5790314674377441,1.0
libero_goal_full_0,c4_assigned_radius,0.1,70,64,7,1.393744707107544,0.8826579684122062
libero_goal_full_0,c8_centroid_distance,0.02,70,70,1,3.381636142730713,1.0236069714574387
libero_goal_full_0,c8_centroid_distance,0.03,70,69,2,3.323284149169922,1.0059440695702377
libero_goal_full_0,c8_centroid_distance,0.05,70,68,3,3.303647041320801,1.0
libero_goal_full_0,c8_centroid_distance,0.1,70,64,7,2.961409091949463,0.8964060188359254
libero_goal_full_0,c32_centroid_distance,0.02,70,70,1,2.703861713409424,1.1135019456895707
libero_goal_full_0,c32_centroid_distance,0.03,70,69,2,2.59146785736084,1.0672160070363534
libero_goal_full_0,c32_centroid_distance,0.05,70,68,3,2.428250551223755,1.0
libero_goal_full_0,c32_centroid_distance,0.1,70,64,7,2.2865426540374756,0.9416419787839178
libero_goal_full_0,c32_union_radius,0.02,70,70,1,1.7954775094985962,1.1326486205111688
libero_goal_full_0,c32_union_radius,0.03,70,69,2,1.599932074546814,1.0092918722513455
libero_goal_full_0,c32_union_radius,0.05,70,68,3,1.5852025747299194,1.0
libero_goal_full_0,c32_union_radius,0.1,70,64,7,1.2513757944107056,0.7894106496918288
libero_goal_full_1,knn20,0.02,70,70,1,2.8088362216949463,1.1435876468868962
libero_goal_full_1,knn20,0.03,70,69,2,2.6236047744750977,1.068172642900734
libero_goal_full_1,knn20,0.05,70,68,3,2.4561617374420166,1.0
libero_goal_full_1,knn20,0.1,70,64,7,1.816449761390686,0.7395481061774205
libero_goal_full_1,norm_only,0.02,70,70,1,9.165897369384766,1.0774658766336918
libero_goal_full_1,norm_only,0.03,70,69,2,9.068696975708008,1.0660398150969481
libero_goal_full_1,norm_only,0.05,70,68,3,8.506902694702148,1.0
libero_goal_full_1,norm_only,0.1,70,64,7,7.971059799194336,0.9370108117209899
libero_goal_full_1,c1_centroid_distance,0.02,70,70,1,8.980452537536621,1.0774201970885233
libero_goal_full_1,c1_centroid_distance,0.03,70,69,2,8.863945007324219,1.063442330645929
libero_goal_full_1,c1_centroid_distance,0.05,70,68,3,8.33514404296875,1.0
libero_goal_full_1,c1_centroid_distance,0.1,70,64,7,7.7571611404418945,0.9306571188755373
libero_goal_full_1,c4_centroid_distance,0.02,70,70,1,4.83763313293457,1.1924523227794814
libero_goal_full_1,c4_centroid_distance,0.03,70,69,2,4.455231189727783,1.0981921602409246
libero_goal_full_1,c4_centroid_distance,0.05,70,68,3,4.056877613067627,1.0
