clusters,mean_task_purity,min_task_purity,max_task_purity,mean_task_ami,single_task_clusters
1,0.2094573974609375,0.152587890625,0.322021484375,0.0,0
2,0.325592041015625,0.203369140625,0.59765625,0.19985960219256477,0
4,0.3922271728515625,0.220947265625,0.632568359375,0.2559529872526526,2
8,0.4590606689453125,0.23046875,0.681884765625,0.29104237755403667,6
16,0.525665283203125,0.24853515625,0.814453125,0.30726227984598464,8
32,0.5706634521484375,0.288330078125,0.848388671875,0.30696290696274037,27
64,0.630523681640625,0.33740234375,0.886474609375,0.31170635126697804,119
