reason,failures,knn_detected,c4_detected,lost,gained,missed
approached_target_without_observed_contact,29,23,25,3,5,4
goal_predicate_regressed,54,48,41,8,1,13
mechanism_threshold_not_reached,7,6,6,0,0,1
no_meaningful_target_progress,4,4,4,0,0,0
object_moved_but_goal_unmet,174,148,138,12,2,36
object_released_or_dropped_before_goal,470,435,420,22,7,50
object_released_outside_goal,45,39,40,1,2,5
stable_grasp_not_observed,273,239,235,12,8,38
timeout_while_holding_target,40,35,33,2,0,7
