level,group,method,episodes,failures,auc,ap
all,all,knn20,32000,1096,0.9646630264005698,0.6220273562565188
all,all,norm_only,32000,1096,0.9403738632090711,0.6263742588347448
all,all,c1_centroid_distance,32000,1096,0.9365655958834611,0.5839750925633762
all,all,c4_centroid_distance,32000,1096,0.9708873582613263,0.7356298671340912
all,all,c4_assigned_radius,32000,1096,0.9771541751144587,0.6889364069680324
all,all,c8_centroid_distance,32000,1096,0.9585720838348472,0.6308700714161198
all,all,c32_centroid_distance,32000,1096,0.9676162795641222,0.6196614307055054
all,all,c32_union_radius,32000,1096,0.9651296822654002,0.6744276066256748
all,all,final_duration_diagnostic_only,32000,1096,0.9498229358966123,0.6708259484610845
suite,libero_goal,knn20,8000,208,0.9550105631021957,0.5360489908389664
suite,libero_goal,norm_only,8000,208,0.9616581602432476,0.6245534702959804
suite,libero_goal,c1_centroid_distance,8000,208,0.9529176867793397,0.5677438867858098
suite,libero_goal,c4_centroid_distance,8000,208,0.9710248923945664,0.6384961942107101
suite,libero_goal,c4_assigned_radius,8000,208,0.9679404912336124,0.5825120824222949
suite,libero_goal,c8_centroid_distance,8000,208,0.9624750730532301,0.5672242893127079
suite,libero_goal,c32_centroid_distance,8000,208,0.9525863558284632,0.5434188004506955
suite,libero_goal,c32_union_radius,8000,208,0.9745325580477018,0.6396464641872898
suite,libero_goal,final_duration_diagnostic_only,8000,208,1.0,1.0
suite,libero_long,knn20,8000,541,0.9815883205268282,0.8501132183621329
suite,libero_long,norm_only,8000,541,0.9541701659769648,0.7794325402726692
suite,libero_long,c1_centroid_distance,8000,541,0.9529353193638471,0.778849415685189
suite,libero_long,c4_centroid_distance,8000,541,0.9820601543521095,0.8623710887077787
suite,libero_long,c4_assigned_radius,8000,541,0.9844302272013686,0.8630524004050798
suite,libero_long,c8_centroid_distance,8000,541,0.9640786763078707,0.7813016268585611
suite,libero_long,c32_centroid_distance,8000,541,0.977474891080482,0.8114073091395279
suite,libero_long,c32_union_radius,8000,541,0.964743059966263,0.7949097982347809
suite,libero_long,final_duration_diagnostic_only,8000,541,1.0,1.0
suite,libero_object,knn20,8000,81,0.9930141447588936,0.779459458746405
suite,libero_object,norm_only,8000,81,0.9749376012372182,0.5456055937781513
suite,libero_object,c1_centroid_distance,8000,81,0.9765106268873579,0.5293231524975662
