task,suite,success_episodes,success_min,success_max,success_q10,success_q25,success_q50,success_q75,success_q90,failure_episodes,failure_min,failure_max,failure_q10,failure_q25,failure_q50,failure_q75,failure_q90
libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,800,109,159,115.0,118.0,123.0,126.0,129.0,0,,,,,,,
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,697,165,293,172.0,176.0,181.0,186.0,192.0,103,300.0,300.0,300.0,300.0,300.0,300.0,300.0
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,797,112,225,120.0,124.0,129.0,136.0,147.39999999999998,3,300.0,300.0,300.0,300.0,300.0,300.0,300.0
libero_goal/put_the_bowl_on_the_plate,libero_goal,770,65,262,71.0,73.0,75.0,77.0,79.0,30,300.0,300.0,300.0,300.0,300.0,300.0,300.0
libero_goal/put_the_bowl_on_the_stove,libero_goal,785,73,98,83.0,85.0,87.0,89.0,91.0,15,300.0,300.0,300.0,300.0,300.0,300.0,300.0
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,769,76,95,80.0,82.0,84.0,87.0,89.0,31,300.0,300.0,300.0,300.0,300.0,300.0,300.0
libero_goal/put_the_cream_cheese_in_the_bowl,libero_goal,781,77,218,83.0,87.0,89.0,93.0,97.0,19,300.0,300.0,300.0,300.0,300.0,300.0,300.0
libero_goal/put_the_wine_bottle_on_the_rack,libero_goal,796,114,248,119.0,122.0,129.0,137.0,146.0,4,300.0,300.0,300.0,300.0,300.0,300.0,300.0
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,libero_goal,797,81,104,84.0,86.0,90.0,93.0,96.0,3,300.0,300.0,300.0,300.0,300.0,300.0,300.0
libero_goal/turn_on_the_stove,libero_goal,800,66,88,68.0,70.0,73.0,76.0,80.0,0,,,,,,,
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,libero_long,790,216,321,228.0,235.0,244.0,252.75,263.0,10,520.0,520.0,520.0,520.0,520.0,520.0,520.0
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,libero_long,795,197,351,205.0,210.0,216.0,222.0,230.0,5,520.0,520.0,520.0,520.0,520.0,520.0,520.0
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,libero_long,793,218,485,234.0,239.0,248.0,259.0,275.0,7,520.0,520.0,520.0,520.0,520.0,520.0,520.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_long,511,345,506,367.0,377.0,386.0,396.0,410.0,289,520.0,520.0,520.0,520.0,520.0,520.0,520.0
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,libero_long,744,212,517,231.0,239.0,245.0,256.0,263.0,56,520.0,520.0,520.0,520.0,520.0,520.0,520.0
libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,libero_long,777,231,500,241.0,250.0,259.0,269.0,277.0,23,520.0,520.0,520.0,520.0,520.0,520.0,520.0
libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,libero_long,790,221,471,232.0,238.0,242.0,249.0,259.0,10,520.0,520.0,520.0,520.0,520.0,520.0,520.0
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,libero_long,763,195,408,211.0,217.0,224.0,229.0,237.0,37,520.0,520.0,520.0,520.0,520.0,520.0,520.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,libero_long,710,193,509,206.0,213.0,221.0,237.75,263.0,90,520.0,520.0,520.0,520.0,520.0,520.0,520.0
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,libero_long,786,140,446,155.0,163.0,175.0,189.0,223.5,14,520.0,520.0,520.0,520.0,520.0,520.0,520.0
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,libero_object,794,123,275,130.0,136.0,139.0,141.0,147.0,6,280.0,280.0,280.0,280.0,280.0,280.0,280.0
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,libero_object,779,111,251,121.0,124.0,127.0,133.0,166.0,21,280.0,280.0,280.0,280.0,280.0,280.0,280.0
libero_object/pick_up_the_butter_and_place_it_in_the_basket,libero_object,798,128,164,142.0,144.0,149.0,151.0,153.0,2,280.0,280.0,280.0,280.0,280.0,280.0,280.0
libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,libero_object,800,136,204,140.0,143.0,147.0,150.0,152.0,0,,,,,,,
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object,788,112,222,119.0,122.0,125.0,129.0,133.0,12,280.0,280.0,280.0,280.0,280.0,280.0,280.0
libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,libero_object,799,122,154,133.0,136.0,139.0,143.0,146.0,1,280.0,280.0,280.0,280.0,280.0,280.0,280.0
libero_object/pick_up_the_milk_and_place_it_in_the_basket,libero_object,785,116,242,122.0,125.0,128.0,133.0,143.0,15,280.0,280.0,280.0,280.0,280.0,280.0,280.0
libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,libero_object,792,107,223,114.0,117.0,121.0,126.0,132.0,8,280.0,280.0,280.0,280.0,280.0,280.0,280.0
libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,libero_object,795,103,210,113.4,117.0,119.0,122.0,126.0,5,280.0,280.0,280.0,280.0,280.0,280.0,280.0
libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,libero_object,789,114,258,121.0,125.0,128.0,136.0,165.0,11,280.0,280.0,280.0,280.0,280.0,280.0,280.0
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,libero_spatial,799,66,211,73.0,76.0,78.0,81.0,83.0,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0
libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,libero_spatial,789,85,110,92.0,94.0,97.0,99.0,101.20000000000005,11,220.0,220.0,220.0,220.0,220.0,220.0,220.0
libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,libero_spatial,774,110,154,119.0,123.0,128.0,132.0,135.0,26,220.0,220.0,220.0,220.0,220.0,220.0,220.0
libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,libero_spatial,794,90,144,96.0,100.0,105.0,109.0,112.0,6,220.0,220.0,220.0,220.0,220.0,220.0,220.0
libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,libero_spatial,762,79,213,89.0,91.0,94.0,97.0,101.0,38,220.0,220.0,220.0,220.0,220.0,220.0,220.0
libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,libero_spatial,783,94,143,101.0,105.0,110.0,113.0,115.0,17,220.0,220.0,220.0,220.0,220.0,220.0,220.0
