method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
knn20,0,knn20,episode,0.02,2.034867286682129,542,533,9
knn20,0,knn20,episode,0.03,1.9075477123260498,542,527,15
knn20,0,knn20,episode,0.05,1.7363826036453247,542,516,26
knn20,0,knn20,episode,0.1,1.5622060298919678,542,489,53
knn20,0,knn20,task_init,0.02,3.829882860183716,70,70,0
knn20,0,knn20,task_init,0.03,2.5446343421936035,70,69,1
knn20,0,knn20,task_init,0.05,2.3054089546203613,70,68,2
knn20,0,knn20,task_init,0.1,2.0104196071624756,70,64,6
norm_only,0,norm_only,episode,0.02,7.2308502197265625,542,533,9
norm_only,0,norm_only,episode,0.03,6.945096492767334,542,527,15
norm_only,0,norm_only,episode,0.05,6.527319431304932,542,516,26
norm_only,0,norm_only,episode,0.1,5.818289756774902,542,489,53
norm_only,0,norm_only,task_init,0.02,8.330849647521973,70,70,0
norm_only,0,norm_only,task_init,0.03,8.229586601257324,70,69,1
norm_only,0,norm_only,task_init,0.05,7.897656440734863,70,68,2
norm_only,0,norm_only,task_init,0.1,6.970236778259277,70,64,6
c1_centroid_distance,1,centroid_distance,episode,0.02,6.9228386878967285,542,533,9
c1_centroid_distance,1,centroid_distance,episode,0.03,6.622907638549805,542,527,15
c1_centroid_distance,1,centroid_distance,episode,0.05,6.217508792877197,542,516,26
c1_centroid_distance,1,centroid_distance,episode,0.1,5.565163612365723,542,489,53
c1_centroid_distance,1,centroid_distance,task_init,0.02,8.18405818939209,70,70,0
c1_centroid_distance,1,centroid_distance,task_init,0.03,7.919337272644043,70,69,1
c1_centroid_distance,1,centroid_distance,task_init,0.05,7.622419357299805,70,68,2
c1_centroid_distance,1,centroid_distance,task_init,0.1,6.639970779418945,70,64,6
c1_assigned_radius,1,assigned_radius,episode,0.02,1.487587571144104,542,533,9
c1_assigned_radius,1,assigned_radius,episode,0.03,1.42313814163208,542,527,15
c1_assigned_radius,1,assigned_radius,episode,0.05,1.336025595664978,542,516,26
c1_assigned_radius,1,assigned_radius,episode,0.1,1.195848822593689,542,489,53
c1_assigned_radius,1,assigned_radius,task_init,0.02,1.758599877357483,70,70,0
c1_assigned_radius,1,assigned_radius,task_init,0.03,1.7017163038253784,70,69,1
c1_assigned_radius,1,assigned_radius,task_init,0.05,1.6379142999649048,70,68,2
c1_assigned_radius,1,assigned_radius,task_init,0.1,1.4268046617507935,70,64,6
c1_union_radius,1,union_radius,episode,0.02,1.487587571144104,542,533,9
c1_union_radius,1,union_radius,episode,0.03,1.42313814163208,542,527,15
c1_union_radius,1,union_radius,episode,0.05,1.336025595664978,542,516,26
c1_union_radius,1,union_radius,episode,0.1,1.195848822593689,542,489,53
c1_union_radius,1,union_radius,task_init,0.02,1.758599877357483,70,70,0
c1_union_radius,1,union_radius,task_init,0.03,1.7017163038253784,70,69,1
c1_union_radius,1,union_radius,task_init,0.05,1.6379142999649048,70,68,2
c1_union_radius,1,union_radius,task_init,0.1,1.4268046617507935,70,64,6
c2_centroid_distance,2,centroid_distance,episode,0.02,4.529821872711182,542,533,9
c2_centroid_distance,2,centroid_distance,episode,0.03,4.192789077758789,542,527,15
c2_centroid_distance,2,centroid_distance,episode,0.05,3.872775077819824,542,516,26
c2_centroid_distance,2,centroid_distance,episode,0.1,3.5419111251831055,542,489,53
c2_centroid_distance,2,centroid_distance,task_init,0.02,6.417299270629883,70,70,0
c2_centroid_distance,2,centroid_distance,task_init,0.03,5.206759452819824,70,69,1
c2_centroid_distance,2,centroid_distance,task_init,0.05,5.186063766479492,70,68,2
c2_centroid_distance,2,centroid_distance,task_init,0.1,4.334524154663086,70,64,6
c2_assigned_radius,2,assigned_radius,episode,0.02,1.472536563873291,542,533,9
c2_assigned_radius,2,assigned_radius,episode,0.03,1.4338958263397217,542,527,15
c2_assigned_radius,2,assigned_radius,episode,0.05,1.3226141929626465,542,516,26
c2_assigned_radius,2,assigned_radius,episode,0.1,1.1984093189239502,542,489,53
c2_assigned_radius,2,assigned_radius,task_init,0.02,2.0422468185424805,70,70,0
c2_assigned_radius,2,assigned_radius,task_init,0.03,1.7864657640457153,70,69,1
c2_assigned_radius,2,assigned_radius,task_init,0.05,1.6855978965759277,70,68,2
c2_assigned_radius,2,assigned_radius,task_init,0.1,1.4353216886520386,70,64,6
c2_union_radius,2,union_radius,episode,0.02,1.472536563873291,542,533,9
c2_union_radius,2,union_radius,episode,0.03,1.4338958263397217,542,527,15
c2_union_radius,2,union_radius,episode,0.05,1.3071939945220947,542,516,26
c2_union_radius,2,union_radius,episode,0.1,1.177374005317688,542,489,53
c2_union_radius,2,union_radius,task_init,0.02,2.0422468185424805,70,70,0
c2_union_radius,2,union_radius,task_init,0.03,1.7864657640457153,70,69,1
c2_union_radius,2,union_radius,task_init,0.05,1.6855978965759277,70,68,2
c2_union_radius,2,union_radius,task_init,0.1,1.4353216886520386,70,64,6
c4_centroid_distance,4,centroid_distance,episode,0.02,3.7583937644958496,542,533,9
c4_centroid_distance,4,centroid_distance,episode,0.03,3.494095802307129,542,527,15
c4_centroid_distance,4,centroid_distance,episode,0.05,3.3345274925231934,542,516,26
c4_centroid_distance,4,centroid_distance,episode,0.1,2.8456671237945557,542,489,53
c4_centroid_distance,4,centroid_distance,task_init,0.02,5.633427619934082,70,70,0
c4_centroid_distance,4,centroid_distance,task_init,0.03,4.2638373374938965,70,69,1
c4_centroid_distance,4,centroid_distance,task_init,0.05,4.0728654861450195,70,68,2
c4_centroid_distance,4,centroid_distance,task_init,0.1,3.8800337314605713,70,64,6
c4_assigned_radius,4,assigned_radius,episode,0.02,1.475720763206482,542,533,9
c4_assigned_radius,4,assigned_radius,episode,0.03,1.4310868978500366,542,527,15
c4_assigned_radius,4,assigned_radius,episode,0.05,1.3308541774749756,542,516,26
c4_assigned_radius,4,assigned_radius,episode,0.1,1.1568092107772827,542,489,53
c4_assigned_radius,4,assigned_radius,task_init,0.02,2.022775173187256,70,70,0
c4_assigned_radius,4,assigned_radius,task_init,0.03,1.776572823524475,70,69,1
