method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
knn20,0,knn20,episode,0.02,1.7984974384307861,540,531,9
knn20,0,knn20,episode,0.03,1.7034168243408203,540,525,15
knn20,0,knn20,episode,0.05,1.6210957765579224,540,514,26
knn20,0,knn20,episode,0.1,1.4215459823608398,540,487,53
knn20,0,knn20,task_init,0.02,2.1338112354278564,70,70,0
knn20,0,knn20,task_init,0.03,2.048833131790161,70,69,1
knn20,0,knn20,task_init,0.05,1.9599847793579102,70,68,2
knn20,0,knn20,task_init,0.1,1.8313120603561401,70,64,6
norm_only,0,norm_only,episode,0.02,6.6492204666137695,540,531,9
norm_only,0,norm_only,episode,0.03,6.356774806976318,540,525,15
norm_only,0,norm_only,episode,0.05,5.7772603034973145,540,514,26
norm_only,0,norm_only,episode,0.1,5.2921142578125,540,487,53
norm_only,0,norm_only,task_init,0.02,7.359172821044922,70,70,0
norm_only,0,norm_only,task_init,0.03,7.051754474639893,70,69,1
norm_only,0,norm_only,task_init,0.05,6.996034145355225,70,68,2
norm_only,0,norm_only,task_init,0.1,5.8004961013793945,70,64,6
c1_centroid_distance,1,centroid_distance,episode,0.02,6.376410484313965,540,531,9
c1_centroid_distance,1,centroid_distance,episode,0.03,6.073183536529541,540,525,15
c1_centroid_distance,1,centroid_distance,episode,0.05,5.767582893371582,540,514,26
c1_centroid_distance,1,centroid_distance,episode,0.1,5.137012004852295,540,487,53
c1_centroid_distance,1,centroid_distance,task_init,0.02,7.242669582366943,70,70,0
c1_centroid_distance,1,centroid_distance,task_init,0.03,7.0924811363220215,70,69,1
c1_centroid_distance,1,centroid_distance,task_init,0.05,6.684494972229004,70,68,2
c1_centroid_distance,1,centroid_distance,task_init,0.1,5.855499267578125,70,64,6
c1_assigned_radius,1,assigned_radius,episode,0.02,1.1575942039489746,540,531,9
c1_assigned_radius,1,assigned_radius,episode,0.03,1.1025453805923462,540,525,15
c1_assigned_radius,1,assigned_radius,episode,0.05,1.0470657348632812,540,514,26
c1_assigned_radius,1,assigned_radius,episode,0.1,0.9325897693634033,540,487,53
c1_assigned_radius,1,assigned_radius,task_init,0.02,1.3148576021194458,70,70,0
c1_assigned_radius,1,assigned_radius,task_init,0.03,1.2875919342041016,70,69,1
c1_assigned_radius,1,assigned_radius,task_init,0.05,1.2135248184204102,70,68,2
c1_assigned_radius,1,assigned_radius,task_init,0.1,1.0630263090133667,70,64,6
c1_union_radius,1,union_radius,episode,0.02,1.1575942039489746,540,531,9
c1_union_radius,1,union_radius,episode,0.03,1.1025453805923462,540,525,15
c1_union_radius,1,union_radius,episode,0.05,1.0470657348632812,540,514,26
c1_union_radius,1,union_radius,episode,0.1,0.9325897693634033,540,487,53
c1_union_radius,1,union_radius,task_init,0.02,1.3148576021194458,70,70,0
c1_union_radius,1,union_radius,task_init,0.03,1.2875919342041016,70,69,1
c1_union_radius,1,union_radius,task_init,0.05,1.2135248184204102,70,68,2
c1_union_radius,1,union_radius,task_init,0.1,1.0630263090133667,70,64,6
c2_centroid_distance,2,centroid_distance,episode,0.02,4.322200298309326,540,531,9
c2_centroid_distance,2,centroid_distance,episode,0.03,4.137221813201904,540,525,15
c2_centroid_distance,2,centroid_distance,episode,0.05,3.6833770275115967,540,514,26
c2_centroid_distance,2,centroid_distance,episode,0.1,3.3912835121154785,540,487,53
c2_centroid_distance,2,centroid_distance,task_init,0.02,5.772807598114014,70,70,0
c2_centroid_distance,2,centroid_distance,task_init,0.03,5.417797565460205,70,69,1
c2_centroid_distance,2,centroid_distance,task_init,0.05,4.738711833953857,70,68,2
c2_centroid_distance,2,centroid_distance,task_init,0.1,4.15349817276001,70,64,6
c2_assigned_radius,2,assigned_radius,episode,0.02,1.2591700553894043,540,531,9
