method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
knn20,0,knn20,episode,0.02,2.19114089012146,557,547,10
knn20,0,knn20,episode,0.03,1.8922436237335205,557,542,15
knn20,0,knn20,episode,0.05,1.575398564338684,557,531,26
knn20,0,knn20,episode,0.1,1.3289672136306763,557,503,54
knn20,0,knn20,task_init,0.02,3.4803082942962646,70,70,0
knn20,0,knn20,task_init,0.03,2.8221895694732666,70,69,1
knn20,0,knn20,task_init,0.05,2.761309862136841,70,68,2
knn20,0,knn20,task_init,0.1,1.7281146049499512,70,64,6
norm_only,0,norm_only,episode,0.02,7.981597900390625,557,547,10
norm_only,0,norm_only,episode,0.03,6.995975494384766,557,542,15
norm_only,0,norm_only,episode,0.05,6.202128887176514,557,531,26
norm_only,0,norm_only,episode,0.1,5.395779609680176,557,503,54
norm_only,0,norm_only,task_init,0.02,9.546978950500488,70,70,0
norm_only,0,norm_only,task_init,0.03,8.6682767868042,70,69,1
norm_only,0,norm_only,task_init,0.05,7.221375465393066,70,68,2
norm_only,0,norm_only,task_init,0.1,6.3874030113220215,70,64,6
c1_centroid_distance,1,centroid_distance,episode,0.02,7.710229873657227,557,547,10
c1_centroid_distance,1,centroid_distance,episode,0.03,6.812895774841309,557,542,15
c1_centroid_distance,1,centroid_distance,episode,0.05,5.941274642944336,557,531,26
c1_centroid_distance,1,centroid_distance,episode,0.1,5.250001430511475,557,503,54
c1_centroid_distance,1,centroid_distance,task_init,0.02,9.814672470092773,70,70,0
c1_centroid_distance,1,centroid_distance,task_init,0.03,8.402195930480957,70,69,1
c1_centroid_distance,1,centroid_distance,task_init,0.05,7.504998683929443,70,68,2
c1_centroid_distance,1,centroid_distance,task_init,0.1,6.213924884796143,70,64,6
c1_assigned_radius,1,assigned_radius,episode,0.02,1.921002984046936,557,547,10
c1_assigned_radius,1,assigned_radius,episode,0.03,1.697432279586792,557,542,15
c1_assigned_radius,1,assigned_radius,episode,0.05,1.4802680015563965,557,531,26
c1_assigned_radius,1,assigned_radius,episode,0.1,1.308037281036377,557,503,54
c1_assigned_radius,1,assigned_radius,task_init,0.02,2.445324659347534,70,70,0
c1_assigned_radius,1,assigned_radius,task_init,0.03,2.0934062004089355,70,69,1
c1_assigned_radius,1,assigned_radius,task_init,0.05,1.8698697090148926,70,68,2
c1_assigned_radius,1,assigned_radius,task_init,0.1,1.5481986999511719,70,64,6
c1_union_radius,1,union_radius,episode,0.02,1.921002984046936,557,547,10
c1_union_radius,1,union_radius,episode,0.03,1.697432279586792,557,542,15
c1_union_radius,1,union_radius,episode,0.05,1.4802680015563965,557,531,26
c1_union_radius,1,union_radius,episode,0.1,1.308037281036377,557,503,54
c1_union_radius,1,union_radius,task_init,0.02,2.445324659347534,70,70,0
c1_union_radius,1,union_radius,task_init,0.03,2.0934062004089355,70,69,1
c1_union_radius,1,union_radius,task_init,0.05,1.8698697090148926,70,68,2
c1_union_radius,1,union_radius,task_init,0.1,1.5481986999511719,70,64,6
c2_centroid_distance,2,centroid_distance,episode,0.02,5.632144451141357,557,547,10
c2_centroid_distance,2,centroid_distance,episode,0.03,4.860342979431152,557,542,15
c2_centroid_distance,2,centroid_distance,episode,0.05,4.023988246917725,557,531,26
c2_centroid_distance,2,centroid_distance,episode,0.1,3.3186094760894775,557,503,54
c2_centroid_distance,2,centroid_distance,task_init,0.02,8.016225814819336,70,70,0
c2_centroid_distance,2,centroid_distance,task_init,0.03,6.2974019050598145,70,69,1
c2_centroid_distance,2,centroid_distance,task_init,0.05,5.632144451141357,70,68,2
c2_centroid_distance,2,centroid_distance,task_init,0.1,4.066841125488281,70,64,6
c2_assigned_radius,2,assigned_radius,episode,0.02,2.257554054260254,557,547,10
c2_assigned_radius,2,assigned_radius,episode,0.03,1.898891806602478,557,542,15
c2_assigned_radius,2,assigned_radius,episode,0.05,1.5619757175445557,557,531,26
c2_assigned_radius,2,assigned_radius,episode,0.1,1.258479356765747,557,503,54
c2_assigned_radius,2,assigned_radius,task_init,0.02,3.2639057636260986,70,70,0
c2_assigned_radius,2,assigned_radius,task_init,0.03,2.3530468940734863,70,69,1
c2_assigned_radius,2,assigned_radius,task_init,0.05,2.2931973934173584,70,68,2
c2_assigned_radius,2,assigned_radius,task_init,0.1,1.6506009101867676,70,64,6
c2_union_radius,2,union_radius,episode,0.02,2.257554054260254,557,547,10
c2_union_radius,2,union_radius,episode,0.03,1.898891806602478,557,542,15
c2_union_radius,2,union_radius,episode,0.05,1.5619757175445557,557,531,26
c2_union_radius,2,union_radius,episode,0.1,1.2579960823059082,557,503,54
c2_union_radius,2,union_radius,task_init,0.02,3.2639057636260986,70,70,0
c2_union_radius,2,union_radius,task_init,0.03,2.3530468940734863,70,69,1
c2_union_radius,2,union_radius,task_init,0.05,2.2931973934173584,70,68,2
c2_union_radius,2,union_radius,task_init,0.1,1.6506009101867676,70,64,6
c4_centroid_distance,4,centroid_distance,episode,0.02,4.671993255615234,557,547,10
c4_centroid_distance,4,centroid_distance,episode,0.03,3.911442279815674,557,542,15
c4_centroid_distance,4,centroid_distance,episode,0.05,3.0856540203094482,557,531,26
c4_centroid_distance,4,centroid_distance,episode,0.1,2.5951526165008545,557,503,54
c4_centroid_distance,4,centroid_distance,task_init,0.02,7.109585285186768,70,70,0
c4_centroid_distance,4,centroid_distance,task_init,0.03,4.968348979949951,70,69,1
c4_centroid_distance,4,centroid_distance,task_init,0.05,4.767452716827393,70,68,2
c4_centroid_distance,4,centroid_distance,task_init,0.1,3.344017505645752,70,64,6
c4_assigned_radius,4,assigned_radius,episode,0.02,2.3635544776916504,557,547,10
c4_assigned_radius,4,assigned_radius,episode,0.03,1.9459260702133179,557,542,15
c4_assigned_radius,4,assigned_radius,episode,0.05,1.509481430053711,557,531,26
c4_assigned_radius,4,assigned_radius,episode,0.1,1.269247055053711,557,503,54
c4_assigned_radius,4,assigned_radius,task_init,0.02,3.6170480251312256,70,70,0
c4_assigned_radius,4,assigned_radius,task_init,0.03,2.4254727363586426,70,69,1
c4_assigned_radius,4,assigned_radius,task_init,0.05,2.3769071102142334,70,68,2
c4_assigned_radius,4,assigned_radius,task_init,0.1,1.7012908458709717,70,64,6
c4_union_radius,4,union_radius,episode,0.02,2.3635544776916504,557,547,10
c4_union_radius,4,union_radius,episode,0.03,1.9459260702133179,557,542,15
c4_union_radius,4,union_radius,episode,0.05,1.509481430053711,557,531,26
c4_union_radius,4,union_radius,episode,0.1,1.2678837776184082,557,503,54
c4_union_radius,4,union_radius,task_init,0.02,3.6170480251312256,70,70,0
c4_union_radius,4,union_radius,task_init,0.03,2.4254727363586426,70,69,1
c4_union_radius,4,union_radius,task_init,0.05,2.3769071102142334,70,68,2
c4_union_radius,4,union_radius,task_init,0.1,1.7012908458709717,70,64,6
c8_centroid_distance,8,centroid_distance,episode,0.02,3.7547242641448975,557,547,10
c8_centroid_distance,8,centroid_distance,episode,0.03,3.3904078006744385,557,542,15
c8_centroid_distance,8,centroid_distance,episode,0.05,2.332975387573242,557,531,26
c8_centroid_distance,8,centroid_distance,episode,0.1,2.096040964126587,557,503,54
c8_centroid_distance,8,centroid_distance,task_init,0.02,5.963254451751709,70,70,0
c8_centroid_distance,8,centroid_distance,task_init,0.03,4.363513946533203,70,69,1
c8_centroid_distance,8,centroid_distance,task_init,0.05,3.7547242641448975,70,68,2
c8_centroid_distance,8,centroid_distance,task_init,0.1,2.6253035068511963,70,64,6
c8_assigned_radius,8,assigned_radius,episode,0.02,1.9327083826065063,557,547,10
c8_assigned_radius,8,assigned_radius,episode,0.03,1.824836015701294,557,542,15
c8_assigned_radius,8,assigned_radius,episode,0.05,1.3794280290603638,557,531,26
c8_assigned_radius,8,assigned_radius,episode,0.1,1.2147833108901978,557,503,54
c8_assigned_radius,8,assigned_radius,task_init,0.02,2.9305615425109863,70,70,0
c8_assigned_radius,8,assigned_radius,task_init,0.03,2.3607418537139893,70,69,1
c8_assigned_radius,8,assigned_radius,task_init,0.05,1.8789738416671753,70,68,2
c8_assigned_radius,8,assigned_radius,task_init,0.1,1.5749188661575317,70,64,6
c8_union_radius,8,union_radius,episode,0.02,1.9327083826065063,557,547,10
c8_union_radius,8,union_radius,episode,0.03,1.8225138187408447,557,542,15
c8_union_radius,8,union_radius,episode,0.05,1.3085623979568481,557,531,26
c8_union_radius,8,union_radius,episode,0.1,1.1825417280197144,557,503,54
c8_union_radius,8,union_radius,task_init,0.02,2.9305615425109863,70,70,0
c8_union_radius,8,union_radius,task_init,0.03,2.3607418537139893,70,69,1
c8_union_radius,8,union_radius,task_init,0.05,1.845209002494812,70,68,2
c8_union_radius,8,union_radius,task_init,0.1,1.4679814577102661,70,64,6
c16_centroid_distance,16,centroid_distance,episode,0.02,3.047701835632324,557,547,10
c16_centroid_distance,16,centroid_distance,episode,0.03,2.604323625564575,557,542,15
c16_centroid_distance,16,centroid_distance,episode,0.05,2.1166882514953613,557,531,26
c16_centroid_distance,16,centroid_distance,episode,0.1,1.8734524250030518,557,503,54
c16_centroid_distance,16,centroid_distance,task_init,0.02,4.435565948486328,70,70,0
