method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
knn20,0,knn20,episode,0.02,1.6891483068466187,549,539,10
knn20,0,knn20,episode,0.03,1.6399723291397095,549,534,15
knn20,0,knn20,episode,0.05,1.524238109588623,549,523,26
knn20,0,knn20,episode,0.1,1.3457127809524536,549,495,54
knn20,0,knn20,task_init,0.02,2.4401607513427734,70,70,0
knn20,0,knn20,task_init,0.03,2.3634958267211914,70,69,1
knn20,0,knn20,task_init,0.05,2.192049026489258,70,68,2
knn20,0,knn20,task_init,0.1,1.6891483068466187,70,64,6
norm_only,0,norm_only,episode,0.02,5.441494464874268,549,539,10
norm_only,0,norm_only,episode,0.03,5.304134845733643,549,534,15
norm_only,0,norm_only,episode,0.05,5.04538106918335,549,523,26
norm_only,0,norm_only,episode,0.1,4.670223236083984,549,495,54
norm_only,0,norm_only,task_init,0.02,6.581629753112793,70,70,0
norm_only,0,norm_only,task_init,0.03,5.991518974304199,70,69,1
norm_only,0,norm_only,task_init,0.05,5.962634086608887,70,68,2
norm_only,0,norm_only,task_init,0.1,5.459599494934082,70,64,6
c1_centroid_distance,1,centroid_distance,episode,0.02,5.508016586303711,549,539,10
c1_centroid_distance,1,centroid_distance,episode,0.03,5.386274337768555,549,534,15
c1_centroid_distance,1,centroid_distance,episode,0.05,5.124327659606934,549,523,26
c1_centroid_distance,1,centroid_distance,episode,0.1,4.6944403648376465,549,495,54
c1_centroid_distance,1,centroid_distance,task_init,0.02,6.525491237640381,70,70,0
c1_centroid_distance,1,centroid_distance,task_init,0.03,6.062056541442871,70,69,1
c1_centroid_distance,1,centroid_distance,task_init,0.05,5.909800052642822,70,68,2
c1_centroid_distance,1,centroid_distance,task_init,0.1,5.533951282501221,70,64,6
c1_assigned_radius,1,assigned_radius,episode,0.02,1.3316116333007812,549,539,10
c1_assigned_radius,1,assigned_radius,episode,0.03,1.3021793365478516,549,534,15
c1_assigned_radius,1,assigned_radius,episode,0.05,1.2388514280319214,549,523,26
c1_assigned_radius,1,assigned_radius,episode,0.1,1.1349223852157593,549,495,54
c1_assigned_radius,1,assigned_radius,task_init,0.02,1.5775951147079468,70,70,0
c1_assigned_radius,1,assigned_radius,task_init,0.03,1.4655556678771973,70,69,1
c1_assigned_radius,1,assigned_radius,task_init,0.05,1.4287463426589966,70,68,2
c1_assigned_radius,1,assigned_radius,task_init,0.1,1.3378815650939941,70,64,6
c1_union_radius,1,union_radius,episode,0.02,1.3316116333007812,549,539,10
c1_union_radius,1,union_radius,episode,0.03,1.3021793365478516,549,534,15
c1_union_radius,1,union_radius,episode,0.05,1.2388514280319214,549,523,26
c1_union_radius,1,union_radius,episode,0.1,1.1349223852157593,549,495,54
c1_union_radius,1,union_radius,task_init,0.02,1.5775951147079468,70,70,0
c1_union_radius,1,union_radius,task_init,0.03,1.4655556678771973,70,69,1
c1_union_radius,1,union_radius,task_init,0.05,1.4287463426589966,70,68,2
c1_union_radius,1,union_radius,task_init,0.1,1.3378815650939941,70,64,6
c2_centroid_distance,2,centroid_distance,episode,0.02,3.775468587875366,549,539,10
c2_centroid_distance,2,centroid_distance,episode,0.03,3.6458895206451416,549,534,15
c2_centroid_distance,2,centroid_distance,episode,0.05,3.3998618125915527,549,523,26
c2_centroid_distance,2,centroid_distance,episode,0.1,3.0466067790985107,549,495,54
c2_centroid_distance,2,centroid_distance,task_init,0.02,4.88434362411499,70,70,0
c2_centroid_distance,2,centroid_distance,task_init,0.03,4.585010528564453,70,69,1
c2_centroid_distance,2,centroid_distance,task_init,0.05,4.0888991355896,70,68,2
c2_centroid_distance,2,centroid_distance,task_init,0.1,3.7175309658050537,70,64,6
c2_assigned_radius,2,assigned_radius,episode,0.02,1.4451088905334473,549,539,10
c2_assigned_radius,2,assigned_radius,episode,0.03,1.3765995502471924,549,534,15
c2_assigned_radius,2,assigned_radius,episode,0.05,1.2918387651443481,549,523,26
c2_assigned_radius,2,assigned_radius,episode,0.1,1.153769850730896,549,495,54
c2_assigned_radius,2,assigned_radius,task_init,0.02,1.9329726696014404,70,70,0
c2_assigned_radius,2,assigned_radius,task_init,0.03,1.7378451824188232,70,69,1
c2_assigned_radius,2,assigned_radius,task_init,0.05,1.7238194942474365,70,68,2
c2_assigned_radius,2,assigned_radius,task_init,0.1,1.4451088905334473,70,64,6
c2_union_radius,2,union_radius,episode,0.02,1.4451088905334473,549,539,10
c2_union_radius,2,union_radius,episode,0.03,1.3765995502471924,549,534,15
c2_union_radius,2,union_radius,episode,0.05,1.2918387651443481,549,523,26
c2_union_radius,2,union_radius,episode,0.1,1.1398462057113647,549,495,54
c2_union_radius,2,union_radius,task_init,0.02,1.9329726696014404,70,70,0
c2_union_radius,2,union_radius,task_init,0.03,1.7378451824188232,70,69,1
c2_union_radius,2,union_radius,task_init,0.05,1.7238194942474365,70,68,2
c2_union_radius,2,union_radius,task_init,0.1,1.4451088905334473,70,64,6
c4_centroid_distance,4,centroid_distance,episode,0.02,3.063129425048828,549,539,10
c4_centroid_distance,4,centroid_distance,episode,0.03,2.9843084812164307,549,534,15
c4_centroid_distance,4,centroid_distance,episode,0.05,2.74904465675354,549,523,26
c4_centroid_distance,4,centroid_distance,episode,0.1,2.422245502471924,549,495,54
c4_centroid_distance,4,centroid_distance,task_init,0.02,4.079317092895508,70,70,0
c4_centroid_distance,4,centroid_distance,task_init,0.03,3.9137446880340576,70,69,1
c4_centroid_distance,4,centroid_distance,task_init,0.05,3.5447041988372803,70,68,2
c4_centroid_distance,4,centroid_distance,task_init,0.1,3.063303232192993,70,64,6
c4_assigned_radius,4,assigned_radius,episode,0.02,1.4783841371536255,549,539,10
c4_assigned_radius,4,assigned_radius,episode,0.03,1.4158049821853638,549,534,15
c4_assigned_radius,4,assigned_radius,episode,0.05,1.2527927160263062,549,523,26
c4_assigned_radius,4,assigned_radius,episode,0.1,1.1356406211853027,549,495,54
c4_assigned_radius,4,assigned_radius,task_init,0.02,1.9303627014160156,70,70,0
c4_assigned_radius,4,assigned_radius,task_init,0.03,1.7483421564102173,70,69,1
c4_assigned_radius,4,assigned_radius,task_init,0.05,1.649815559387207,70,68,2
c4_assigned_radius,4,assigned_radius,task_init,0.1,1.5108166933059692,70,64,6
c4_union_radius,4,union_radius,episode,0.02,1.465171217918396,549,539,10
c4_union_radius,4,union_radius,episode,0.03,1.3881371021270752,549,534,15
c4_union_radius,4,union_radius,episode,0.05,1.247467041015625,549,523,26
