method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
knn20,0,knn20,episode,0.02,3.2289655208587646,547,538,9
knn20,0,knn20,episode,0.03,3.1228840351104736,547,532,15
knn20,0,knn20,episode,0.05,2.6460964679718018,547,521,26
knn20,0,knn20,episode,0.1,2.1880807876586914,547,494,53
knn20,0,knn20,task_init,0.02,5.159893035888672,70,70,0
knn20,0,knn20,task_init,0.03,4.967926502227783,70,69,1
knn20,0,knn20,task_init,0.05,3.9340829849243164,70,68,2
knn20,0,knn20,task_init,0.1,3.253626823425293,70,64,6
norm_only,0,norm_only,episode,0.02,11.412464141845703,547,538,9
norm_only,0,norm_only,episode,0.03,10.418375968933105,547,532,15
norm_only,0,norm_only,episode,0.05,8.70171070098877,547,521,26
norm_only,0,norm_only,episode,0.1,7.5259575843811035,547,494,53
norm_only,0,norm_only,task_init,0.02,13.806565284729004,70,70,0
norm_only,0,norm_only,task_init,0.03,13.255078315734863,70,69,1
norm_only,0,norm_only,task_init,0.05,13.135553359985352,70,68,2
norm_only,0,norm_only,task_init,0.1,10.586585998535156,70,64,6
c1_centroid_distance,1,centroid_distance,episode,0.02,11.211688041687012,547,538,9
c1_centroid_distance,1,centroid_distance,episode,0.03,10.20706844329834,547,532,15
c1_centroid_distance,1,centroid_distance,episode,0.05,8.566692352294922,547,521,26
c1_centroid_distance,1,centroid_distance,episode,0.1,7.535316467285156,547,494,53
c1_centroid_distance,1,centroid_distance,task_init,0.02,13.602694511413574,70,70,0
c1_centroid_distance,1,centroid_distance,task_init,0.03,13.04848861694336,70,69,1
c1_centroid_distance,1,centroid_distance,task_init,0.05,12.959930419921875,70,68,2
c1_centroid_distance,1,centroid_distance,task_init,0.1,10.382143020629883,70,64,6
c1_assigned_radius,1,assigned_radius,episode,0.02,2.2519500255584717,547,538,9
c1_assigned_radius,1,assigned_radius,episode,0.03,2.0501649379730225,547,532,15
c1_assigned_radius,1,assigned_radius,episode,0.05,1.720683217048645,547,521,26
c1_assigned_radius,1,assigned_radius,episode,0.1,1.5135239362716675,547,494,53
c1_assigned_radius,1,assigned_radius,task_init,0.02,2.73220157623291,70,70,0
c1_assigned_radius,1,assigned_radius,task_init,0.03,2.620885133743286,70,69,1
c1_assigned_radius,1,assigned_radius,task_init,0.05,2.603097677230835,70,68,2
c1_assigned_radius,1,assigned_radius,task_init,0.1,2.085330009460449,70,64,6
c1_union_radius,1,union_radius,episode,0.02,2.2519500255584717,547,538,9
c1_union_radius,1,union_radius,episode,0.03,2.0501649379730225,547,532,15
c1_union_radius,1,union_radius,episode,0.05,1.720683217048645,547,521,26
c1_union_radius,1,union_radius,episode,0.1,1.5135239362716675,547,494,53
c1_union_radius,1,union_radius,task_init,0.02,2.73220157623291,70,70,0
c1_union_radius,1,union_radius,task_init,0.03,2.620885133743286,70,69,1
c1_union_radius,1,union_radius,task_init,0.05,2.603097677230835,70,68,2
c1_union_radius,1,union_radius,task_init,0.1,2.085330009460449,70,64,6
c2_centroid_distance,2,centroid_distance,episode,0.02,8.784187316894531,547,538,9
c2_centroid_distance,2,centroid_distance,episode,0.03,7.851313591003418,547,532,15
c2_centroid_distance,2,centroid_distance,episode,0.05,6.742631435394287,547,521,26
c2_centroid_distance,2,centroid_distance,episode,0.1,5.625016689300537,547,494,53
c2_centroid_distance,2,centroid_distance,task_init,0.02,11.102644920349121,70,70,0
c2_centroid_distance,2,centroid_distance,task_init,0.03,11.033341407775879,70,69,1
c2_centroid_distance,2,centroid_distance,task_init,0.05,10.491548538208008,70,68,2
c2_centroid_distance,2,centroid_distance,task_init,0.1,8.092693328857422,70,64,6
