cohort,timing,method,parents,task_clusters,eligible_parents,success_rate,native_success_rate,delta_vs_native_pp,random_success_rate,delta_vs_random_pp,cluster_ci95_pp,rescued_repeats,failed_repeats,rescue_rate,harmed_repeats,successful_repeats,harm_rate,rescued_unique_parents,harmed_unique_parents,changed_vs_random_parents,mean_model_queries,query_overhead_percent,deployable
primary_plus,before_alarm_diagnostic,short2_5,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,43.0,10.256410256410264,False
primary_plus,before_alarm_diagnostic,short5_5,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,41.5,6.41025641025641,False
primary_plus,before_alarm_diagnostic,short2_20,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,55.0,41.025641025641036,False
primary_plus,before_alarm_diagnostic,center5_5,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,56.5,44.87179487179487,False
primary_plus,before_alarm_diagnostic,edge5_5,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,56.5,44.87179487179487,False
primary_plus,before_alarm_diagnostic,knn5_5,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,56.5,44.87179487179487,False
primary_plus,before_alarm_diagnostic,guarded_knn5_5,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,56.5,44.87179487179487,False
primary_plus,before_alarm_diagnostic,center_once,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,41.75,7.051282051282048,False
primary_plus,before_alarm_diagnostic,edge_once,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,42.0,7.692307692307687,False
primary_plus,before_alarm_diagnostic,knn_once,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,41.75,7.051282051282048,False
primary_plus,before_alarm_diagnostic,guarded_knn_once,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,41.75,7.051282051282048,False
primary_plus,before_alarm_diagnostic,oracle_once,2,2,2,0.5,0.5,0.0,0.5,0.0,,0,2,0.0,0,2,0.0,0,0,0,,,False
controls,after_alarm,candidate0,1,1,1,0.0,0.0,0.0,0.0,0.0,,0,2,0.0,0,0,,0,0,0,52.0,0.0,True
controls,after_alarm,short2_once,1,1,1,0.0,0.0,0.0,0.0,0.0,,0,2,0.0,0,0,,0,0,0,53.0,1.9230769230769162,True
controls,after_alarm,short2_5,1,1,1,0.0,0.0,0.0,0.0,0.0,,0,2,0.0,0,0,,0,0,0,56.0,7.692307692307687,True
controls,after_alarm,short5_5,1,1,1,0.0,0.0,0.0,0.0,0.0,,0,2,0.0,0,0,,0,0,0,55.0,5.769230769230771,True
controls,after_alarm,short2_20,1,1,1,0.0,0.0,0.0,0.0,0.0,,0,2,0.0,0,0,,0,0,0,68.0,30.76923076923077,True
controls,after_alarm,center5_5,1,1,1,0.0,0.0,0.0,0.0,0.0,,0,2,0.0,0,0,,0,0,0,70.0,34.61538461538463,True
