run,comparison,relative_query,signal,raw_auc,raw_auc_ci_low,raw_auc_ci_high,mixed_cells,positive_events_in_cells,control_events_in_cells,direction_frozen_from_A,oriented_auc
seed1000_1007,belief_mismatch_vs_other_failure_closure,-1,convergence_raw,0.5387500000000001,0.3266354166666667,0.75,10,24,28,high,0.5387500000000001
seed1000_1007,belief_mismatch_vs_other_failure_closure,-1,late_flow_volatility,0.6758333333333334,0.4591458333333333,0.885,10,24,28,high,0.6758333333333334
seed1000_1007,belief_mismatch_vs_other_failure_closure,-1,route_acceleration,0.6820833333333334,0.44869791666666664,0.8855416666666659,10,24,28,high,0.6820833333333334
seed1000_1007,belief_mismatch_vs_other_failure_closure,-1,state_jump,0.4933333333333333,0.22000000000000003,0.7534999999999991,10,24,28,low,0.5066666666666667
seed1000_1007,belief_mismatch_vs_other_failure_closure,-1,action_jump,0.625,0.349375,0.9,10,24,28,high,0.625
seed1000_1007,belief_mismatch_vs_other_failure_closure,-1,feedback_split_signed,0.48708333333333326,0.22708333333333336,0.731302083333333,10,24,28,low,0.5129166666666667
seed1000_1007,belief_mismatch_vs_other_failure_closure,-1,response_raw,0.48708333333333326,0.21659375000000003,0.73125,10,24,28,low,0.5129166666666667
seed1000_1007,belief_mismatch_vs_other_failure_closure,-1,recurrence_raw,0.4083333333333333,0.18333333333333332,0.6418749999999988,10,24,28,low,0.5916666666666667
seed1000_1007,belief_mismatch_vs_other_failure_closure,0,convergence_raw,0.44499999999999995,0.21166666666666667,0.7,10,24,28,low,0.555
seed1000_1007,belief_mismatch_vs_other_failure_closure,0,late_flow_volatility,0.6041666666666666,0.33333333333333337,0.8626041666666662,10,24,28,high,0.6041666666666666
seed1000_1007,belief_mismatch_vs_other_failure_closure,0,route_acceleration,0.7229166666666667,0.4895833333333333,0.9145833333333332,10,24,28,high,0.7229166666666667
seed1000_1007,belief_mismatch_vs_other_failure_closure,0,state_jump,0.5225,0.25,0.7751249999999993,10,24,28,high,0.5225
seed1000_1007,belief_mismatch_vs_other_failure_closure,0,action_jump,0.3708333333333333,0.12083333333333332,0.6416666666666666,10,24,28,low,0.6291666666666667
seed1000_1007,belief_mismatch_vs_other_failure_closure,0,feedback_split_signed,0.5225,0.2624375,0.7975,10,24,28,high,0.5225
seed1000_1007,belief_mismatch_vs_other_failure_closure,0,response_raw,0.5225,0.2499375,0.7950624999999996,10,24,28,high,0.5225
seed1000_1007,belief_mismatch_vs_other_failure_closure,0,recurrence_raw,0.5179166666666667,0.29121875,0.7500312499999998,10,24,28,high,0.5179166666666667
seed1000_1007,belief_mismatch_vs_other_failure_closure,1,convergence_raw,0.5220833333333333,0.2875,0.7687812499999999,10,24,28,high,0.5220833333333333
seed1000_1007,belief_mismatch_vs_other_failure_closure,1,late_flow_volatility,0.7625,0.5125,1.0,10,24,28,high,0.7625
