run,relative_query,metric,layer,expert,auc_minus_half,ci_low,ci_high,mean_raw_difference,cells,positive_cells,negative_cells,sign_p,bh_q_across_2x4x32
seed1000_1007,2,soft_probability,12,0,-0.03764518002322881,-0.15369120209059237,0.09128193960511029,-0.00022278830874711275,41,17,22,0.5223973804968409,0.7075858698793189
seed1000_1007,2,soft_probability,12,1,-0.1034117305458769,-0.2277439024390244,0.02682055749128892,-0.00010757243580883369,41,15,25,0.1538599441628321,0.3309928210561766
seed1000_1007,2,soft_probability,12,2,-0.2176974448315912,-0.31215592334494774,-0.11170114692218361,-0.0019456584705039859,41,11,29,0.006426576095691416,0.044464958932351424
seed1000_1007,2,soft_probability,12,3,0.19022938443670148,0.07863313008130081,0.2993989547038326,0.0015540042659267783,41,29,11,0.006426576095691416,0.044464958932351424
seed1000_1007,2,soft_probability,12,4,0.06794425087108014,-0.05249128919860628,0.1854250145180023,0.0003514654526952654,41,21,16,0.5113757815852296,0.7075858698793189
seed1000_1007,2,soft_probability,12,5,0.05988675958188152,-0.06338632404181185,0.1844098432055747,-0.0003535371506586671,41,22,19,0.755228657504631,0.8748350059782151
seed1000_1007,2,soft_probability,12,6,-0.029137630662020915,-0.1500450058072009,0.09840737514517998,-0.0009431279031559825,41,18,19,1.0,1.0
seed1000_1007,2,soft_probability,12,7,0.15956736353077816,0.045688516260162605,0.27034008420441347,0.001590147614479065,41,26,13,0.05325191409792751,0.16624987815938344
seed1000_1007,2,soft_probability,12,8,-0.01145470383275262,-0.12920477642276423,0.10701400987224148,-0.0005151983350515366,41,20,18,0.8714146793645341,0.956859418672597
seed1000_1007,2,soft_probability,12,9,0.11927990708478513,0.0200283101045296,0.21778999709639937,0.0012987516820430756,41,24,12,0.06524533522315323,0.19650359784855562
seed1000_1007,2,soft_probability,12,10,-0.1396341463414634,-0.26233739837398373,-0.010742595818815346,-0.001236018375493586,41,13,26,0.05325191409792751,0.16624987815938344
seed1000_1007,2,soft_probability,12,11,-0.13044425087108014,-0.24447299651567944,-0.014022212543554017,-0.0010590087622404099,41,12,26,0.03355243967962451,0.13214499319975193
