run,label,assignment,signal,effect_auc_minus_half,ci_low,ci_high,cells,positive_episodes_in_cells,negative_episodes_in_cells,positive_cells,negative_cells,sign_p,total_labelled_no_event_failures
seed1000_1007,stagnation,overlapping,late_flow_volatility,-0.16666666666666666,-0.4166666666666667,0.16666666666666666,6,9,7,1,3,0.625,20
seed1000_1007,stagnation,overlapping,route_acceleration,-0.3333333333333333,-0.5,-0.16666666666666666,6,9,7,0,4,0.125,20
seed1000_1007,stagnation,overlapping,recurrence_raw,0.4166666666666667,0.25,0.5,6,9,7,5,0,0.0625,20
seed1000_1007,stagnation,primary,late_flow_volatility,-0.2,-0.5,0.2,5,8,5,1,3,0.625,17
seed1000_1007,stagnation,primary,route_acceleration,-0.4,-0.5,-0.2,5,8,5,0,4,0.125,17
seed1000_1007,stagnation,primary,recurrence_raw,0.5,0.5,0.5,5,8,5,5,0,0.0625,17
seed1000_1007,gripper_cycling,overlapping,late_flow_volatility,0.3333333333333333,0.0,0.5,6,8,10,5,1,0.21875,15
seed1000_1007,gripper_cycling,overlapping,route_acceleration,0.5,0.5,0.5,6,8,10,6,0,0.03125,15
seed1000_1007,gripper_cycling,overlapping,recurrence_raw,-0.3888888888888889,-0.5,-0.16666666666666666,6,8,10,1,5,0.21875,15
seed1000_1007,gripper_cycling,primary,late_flow_volatility,0.16666666666666663,,,1,1,3,1,0,1.0,5
seed1000_1007,gripper_cycling,primary,route_acceleration,0.16666666666666663,,,1,1,3,1,0,1.0,5
seed1000_1007,gripper_cycling,primary,recurrence_raw,0.16666666666666663,,,1,1,3,1,0,1.0,5
seed1000_1007,goal_regression,overlapping,late_flow_volatility,-0.16666666666666666,-0.5,0.5,3,3,4,1,2,1.0,36
seed1000_1007,goal_regression,overlapping,route_acceleration,0.16666666666666666,-0.5,0.5,3,3,4,2,1,1.0,36
seed1000_1007,goal_regression,overlapping,recurrence_raw,-0.16666666666666666,-0.5,0.5,3,3,4,1,2,1.0,36
seed1000_1007,goal_regression,primary,late_flow_volatility,0.25,,,1,1,4,1,0,1.0,2
seed1000_1007,goal_regression,primary,route_acceleration,0.25,,,1,1,4,1,0,1.0,2
seed1000_1007,goal_regression,primary,recurrence_raw,0.25,,,1,1,4,1,0,1.0,2
seed1000_1007,goal_approach_leave,overlapping,late_flow_volatility,0.5,,,1,1,1,1,0,1.0,5
seed1000_1007,goal_approach_leave,overlapping,route_acceleration,0.5,,,1,1,1,1,0,1.0,5
seed1000_1007,goal_approach_leave,overlapping,recurrence_raw,-0.5,,,1,1,1,0,1,1.0,5
seed1000_1007,subtask_undo,overlapping,late_flow_volatility,0.0,-0.5,0.5,4,4,5,2,2,1.0,18
seed1000_1007,subtask_undo,overlapping,route_acceleration,0.25,-0.25,0.5,4,4,5,3,1,0.625,18
seed1000_1007,subtask_undo,overlapping,recurrence_raw,-0.25,-0.5,0.25,4,4,5,1,3,0.625,18
seed1000_1007,subtask_undo,primary,late_flow_volatility,0.0,-0.5,0.5,4,4,5,2,2,1.0,18
seed1000_1007,subtask_undo,primary,route_acceleration,0.25,-0.25,0.5,4,4,5,3,1,0.625,18
seed1000_1007,subtask_undo,primary,recurrence_raw,-0.25,-0.5,0.25,4,4,5,1,3,0.625,18
seed1000_1007,regrasp_or_drop,overlapping,late_flow_volatility,0.16666666666666666,-0.1388888888888889,0.4166666666666667,9,14,14,6,3,0.5078125,54
seed1000_1007,regrasp_or_drop,overlapping,route_acceleration,0.2777777777777778,0.0,0.5,9,14,14,7,2,0.1796875,54
seed1000_1007,regrasp_or_drop,overlapping,recurrence_raw,-0.3611111111111111,-0.5,-0.1388888888888889,9,14,14,1,8,0.0390625,54
seed1000_1007,regrasp_or_drop,primary,late_flow_volatility,0.3333333333333333,0.08333333333333333,0.5,6,11,10,5,1,0.21875,38
seed1000_1007,regrasp_or_drop,primary,route_acceleration,0.3333333333333333,0.08333333333333333,0.5,6,11,10,5,1,0.21875,38
seed1000_1007,regrasp_or_drop,primary,recurrence_raw,-0.4583333333333333,-0.5,-0.375,6,11,10,0,6,0.03125,38
seed1008_1015,stagnation,overlapping,late_flow_volatility,-0.02777777777777779,-0.3333333333333333,0.3055555555555555,6,7,10,2,3,1.0,20
seed1008_1015,stagnation,overlapping,route_acceleration,-0.08333333333333333,-0.4166666666666667,0.25,6,7,10,2,3,1.0,20
seed1008_1015,stagnation,overlapping,recurrence_raw,0.16666666666666666,-0.16666666666666666,0.4166666666666667,6,7,10,3,1,0.625,20
seed1008_1015,stagnation,primary,late_flow_volatility,0.16666666666666666,-0.5,0.5,3,4,4,2,1,1.0,15
seed1008_1015,stagnation,primary,route_acceleration,0.16666666666666666,-0.5,0.5,3,4,4,2,1,1.0,15
seed1008_1015,stagnation,primary,recurrence_raw,0.0,-0.5,0.5,3,4,4,1,1,1.0,15
seed1008_1015,gripper_cycling,overlapping,late_flow_volatility,0.5,0.5,0.5,4,5,5,4,0,0.125,15
seed1008_1015,gripper_cycling,overlapping,route_acceleration,0.5,0.5,0.5,4,5,5,4,0,0.125,15
seed1008_1015,gripper_cycling,overlapping,recurrence_raw,0.0,-0.5,0.5,4,5,5,2,2,1.0,15
seed1008_1015,gripper_cycling,primary,late_flow_volatility,0.25,0.0,0.5,2,3,2,1,0,1.0,6
seed1008_1015,gripper_cycling,primary,route_acceleration,0.25,0.0,0.5,2,3,2,1,0,1.0,6
seed1008_1015,gripper_cycling,primary,recurrence_raw,0.0,-0.5,0.5,2,3,2,1,1,1.0,6
seed1008_1015,goal_regression,overlapping,late_flow_volatility,0.16666666666666666,-0.16666666666666666,0.4166666666666667,6,8,11,3,1,0.625,28
seed1008_1015,goal_regression,overlapping,route_acceleration,0.2222222222222222,-9.25185853854297e-18,0.4166666666666667,6,8,11,3,1,0.625,28
seed1008_1015,goal_regression,overlapping,recurrence_raw,-0.11111111111111112,-0.4444444444444445,0.2222222222222222,6,8,11,2,4,0.6875,28
seed1008_1015,goal_approach_leave,overlapping,late_flow_volatility,0.5,0.5,0.5,3,3,3,3,0,0.25,6
seed1008_1015,goal_approach_leave,overlapping,route_acceleration,0.5,0.5,0.5,3,3,3,3,0,0.25,6
seed1008_1015,goal_approach_leave,overlapping,recurrence_raw,-0.16666666666666666,-0.5,0.5,3,3,3,1,2,1.0,6
seed1008_1015,subtask_undo,overlapping,late_flow_volatility,0.2,-0.2,0.5,5,6,10,3,1,0.625,18
seed1008_1015,subtask_undo,overlapping,route_acceleration,0.26666666666666666,-1.1102230246251566e-17,0.5,5,6,10,3,1,0.625,18
seed1008_1015,subtask_undo,overlapping,recurrence_raw,-0.03333333333333334,-0.4333333333333334,0.36666666666666664,5,6,10,2,3,1.0,18
seed1008_1015,subtask_undo,primary,late_flow_volatility,0.2,-0.2,0.5,5,6,10,3,1,0.625,18
seed1008_1015,subtask_undo,primary,route_acceleration,0.26666666666666666,-1.1102230246251566e-17,0.5,5,6,10,3,1,0.625,18
seed1008_1015,subtask_undo,primary,recurrence_raw,-0.03333333333333334,-0.4333333333333334,0.36666666666666664,5,6,10,2,3,1.0,18
seed1008_1015,regrasp_or_drop,overlapping,late_flow_volatility,0.16666666666666666,-0.16666666666666666,0.4166666666666667,6,7,8,3,1,0.625,52
seed1008_1015,regrasp_or_drop,overlapping,route_acceleration,0.16666666666666666,-0.16666666666666666,0.4166666666666667,6,7,8,3,1,0.625,52
seed1008_1015,regrasp_or_drop,overlapping,recurrence_raw,-0.08333333333333333,-0.4166666666666667,0.25,6,7,8,2,3,1.0,52
seed1008_1015,regrasp_or_drop,primary,late_flow_volatility,0.0,-0.3333333333333333,0.3333333333333333,6,9,8,2,2,1.0,39
seed1008_1015,regrasp_or_drop,primary,route_acceleration,-0.05555555555555556,-0.3333333333333333,0.22222222222222218,6,9,8,2,2,1.0,39
seed1008_1015,regrasp_or_drop,primary,recurrence_raw,0.027777777777777773,-0.3055555555555556,0.3333333333333333,6,9,8,3,2,1.0,39
