run,comparison,relative_query,signal,raw_auc,raw_auc_ci_low,raw_auc_ci_high,mixed_cells,positive_events_in_cells,control_events_in_cells,direction_frozen_from_A,oriented_auc
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,4,front_state_action_gap,0.8456402831402831,0.7507585263835264,0.9297425997425997,37,74,155,high,0.8456402831402831
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,4,back_state_action_gap,0.6162323037323038,0.49678249678249675,0.7369059684684685,37,74,155,high,0.6162323037323038
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,4,front_chunk_jump,0.6822876447876448,0.5631073037323037,0.797517294079794,37,74,155,high,0.6822876447876448
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,4,back_chunk_jump,0.6792310167310166,0.5575152831402831,0.7928008365508366,37,74,155,high,0.6792310167310166
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,4,front_action_distance_to_healthy,0.8221428571428573,0.7238363095238095,0.9045654761904761,30,55,148,high,0.8221428571428573
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,5,layer5_state_action_gap,0.8373376623376623,0.7459496753246753,0.9197736291486291,33,67,130,high,0.8373376623376623
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,5,front_state_action_gap,0.8588744588744588,0.7569805194805195,0.9401154401154401,33,67,130,high,0.8588744588744588
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,5,back_state_action_gap,0.34796176046176047,0.23475333694083697,0.47576839826839823,33,67,130,low,0.6520382395382396
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,5,front_chunk_jump,0.5620670995670997,0.45118822150072146,0.679759199134199,33,67,130,high,0.5620670995670997
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,5,back_chunk_jump,0.4685966810966811,0.3346708152958153,0.5978039321789321,33,67,130,low,0.5314033189033189
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,5,front_action_distance_to_healthy,0.8712225274725275,0.7598323031135531,0.9568034569597069,26,49,123,high,0.8712225274725275
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,-1,layer5_state_action_gap,0.34156976744186046,0.23298484219269103,0.4474923864894794,43,87,173,low,0.6584302325581395
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,-1,front_state_action_gap,0.3828073089700997,0.27670888704318936,0.49387181616832765,43,87,173,low,0.6171926910299004
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,-1,back_state_action_gap,0.4795404208194906,0.3681014673311185,0.5967960963455149,43,87,173,high,0.4795404208194906
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,-1,front_chunk_jump,0.42643964562569214,0.3118715393133998,0.5365559246954595,43,87,173,low,0.5735603543743079
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,-1,back_chunk_jump,0.3033499446290144,0.20670888704318935,0.40400228405315614,43,87,173,low,0.6966500553709856
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,-1,front_action_distance_to_healthy,0.49333333333333335,0.37827083333333333,0.6053742559523809,40,76,170,high,0.49333333333333335
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,0,layer5_state_action_gap,0.7649778516057586,0.6725339147286821,0.8541258305647839,43,87,173,high,0.7649778516057586
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,0,front_state_action_gap,0.6282253599114064,0.5050017303433001,0.7483111849390919,43,87,173,high,0.6282253599114064
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,0,back_state_action_gap,0.31737264673311183,0.1892528377630122,0.44691237541528234,43,87,173,low,0.6826273532668882
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,0,front_chunk_jump,0.5148532668881506,0.4064043466223699,0.6278398394241416,43,87,173,low,0.4851467331118494
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,0,back_chunk_jump,0.5699889258028793,0.46532945736434106,0.6788579734219268,43,87,173,high,0.5699889258028793
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,0,front_action_distance_to_healthy,0.5936607142857142,0.47620163690476186,0.7041614583333332,40,76,170,high,0.5936607142857142
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,1,layer5_state_action_gap,0.7506367663344408,0.6382848837209303,0.8484143133997786,43,87,173,high,0.7506367663344408
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,1,front_state_action_gap,0.7035299003322258,0.5852585132890364,0.8144812430786267,43,87,173,high,0.7035299003322258
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,1,back_state_action_gap,0.4577657807308971,0.3478519518272425,0.5787897978959022,43,87,173,high,0.4577657807308971
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,1,front_chunk_jump,0.4619186046511628,0.36342573366555925,0.5670594545957918,43,87,173,high,0.4619186046511628
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,1,back_chunk_jump,0.5791528239202658,0.4844871262458471,0.6727457087486158,43,87,173,high,0.5791528239202658
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,1,front_action_distance_to_healthy,0.7077232142857143,0.5940710565476192,0.8182306547619048,40,76,170,high,0.7077232142857143
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,2,layer5_state_action_gap,0.6754568106312292,0.5702097176079735,0.7750968992248062,43,87,172,high,0.6754568106312292
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,2,front_state_action_gap,0.6933970099667773,0.5753872508305646,0.8040718438538207,43,87,172,high,0.6933970099667773
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,2,back_state_action_gap,0.6585271317829458,0.5405730897009967,0.7669462901439645,43,87,172,high,0.6585271317829458
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,2,front_chunk_jump,0.6768826135105205,0.5767102713178295,0.7716514396456257,43,87,172,high,0.6768826135105205
