run,event,population,signal,lead,effect_auc_minus_half,ci_low,ci_high,cells,event_comparisons,positive_cells,negative_cells,sign_p
seed1000_1007,loop,all_events,late_flow_volatility,-4,0.10760106989388755,0.05458442953608699,0.1586654827676927,181,396,108,67,0.002400072302527058
seed1000_1007,loop,all_events,late_flow_volatility,-3,0.13472222222222222,0.08224436649659864,0.18539850836167796,168,373,107,53,2.3612871514449367e-05
seed1000_1007,loop,all_events,late_flow_volatility,-2,0.14399735449735449,0.08749629629629628,0.1994410714285713,150,343,103,39,7.570125632548689e-08
seed1000_1007,loop,all_events,late_flow_volatility,-1,0.20700093694885358,0.15107346092372134,0.26129753637566133,144,330,103,35,5.795503331131992e-09
seed1000_1007,loop,all_events,late_flow_volatility,0,0.23744290282060068,0.17937507137147424,0.29209097008107804,139,321,106,26,1.168349605840244e-12
seed1000_1007,loop,all_events,late_flow_volatility,1,0.19955065359477123,0.13827942635387488,0.2602082603874883,136,315,96,35,9.395317211688933e-08
seed1000_1007,loop,all_events,late_flow_volatility,2,0.11638278388278388,0.04916769688644689,0.17971775793650782,130,297,81,45,0.0017094927839213544
seed1000_1007,loop,all_events,recurrence_raw,-4,-0.06787577830395511,-0.1173114805314391,-0.01741359181794269,181,396,72,102,0.027626051149794977
seed1000_1007,loop,all_events,recurrence_raw,-3,-0.08651974678760394,-0.14178872590702948,-0.03181993457105066,168,373,62,96,0.008447917296215086
seed1000_1007,loop,all_events,recurrence_raw,-2,-0.1203531746031746,-0.17343667328042328,-0.06542837301587304,150,343,49,94,0.00020947054060672056
seed1000_1007,loop,all_events,recurrence_raw,-1,-0.1525697200176367,-0.20919394841269842,-0.09475835675705484,144,330,44,95,1.816795622704368e-05
seed1000_1007,loop,all_events,recurrence_raw,0,-0.18817517414639715,-0.24321342925659473,-0.12835949097864569,139,321,36,96,1.7493740143077398e-07
seed1000_1007,loop,all_events,recurrence_raw,1,-0.18391398225957048,-0.24342327556022406,-0.12265070611577963,136,315,35,95,1.3846358822833737e-07
seed1000_1007,loop,all_events,recurrence_raw,2,-0.14498473748473747,-0.21071356074481074,-0.07645543345543349,130,297,42,87,9.206613802682593e-05
seed1000_1007,loop,all_events,route_acceleration,-4,0.1361648250460405,0.08347022165219678,0.1862372566429887,181,396,118,57,4.6552166193292885e-06
seed1000_1007,loop,all_events,route_acceleration,-3,0.1598249716553288,0.11061020762471656,0.20916365504535148,168,373,116,44,1.1344537659400387e-08
