snapshot,route_dispersion,terminal_route_dispersion,noise_route_pair_spearman,outcome_spread,successes,candidates,forced_two_basin_dominant_mass,forced_two_basin_silhouette
6,0.02198736600583589,0.016650433315459713,0.592316951562749,0.0,0,32,0.96875,0.05275174637928024
10,0.025745896671177784,0.03160981812736377,0.5033137239861456,0.08617061322338122,0,32,0.96875,0.2647459158522293
11,0.021951736881381374,0.016802495801955232,0.6078659641131244,0.026179810749389243,23,32,0.96875,0.06971131730750924
12,0.023586907599179585,0.018964804943470324,0.5221290597937576,0.005508238383268221,32,32,0.96875,0.06116223007852491
1006,0.02232769743357524,0.016651114886710047,0.432992087421892,0.0016604140382093647,0,32,0.96875,0.04231673463207426
1010,0.025098049305479972,0.028362479393397796,0.4068413413029496,0.0,0,32,0.75,0.21629905552149684
1011,0.0245370869156583,0.027637322261167257,0.5864373926845531,0.11280564606039338,0,32,0.625,0.20047543746788665
1012,0.02351537529165686,0.023278884090782465,0.4543242839244656,0.0,0,32,0.78125,0.1673770852881364
2006,0.02233692455387036,0.016547203578091484,0.5211934362774889,0.0016599029475267441,0,32,0.96875,0.07618413874626968
2010,0.0259519891388571,0.031947257727256734,0.46751584777482097,0.040853204453906854,0,32,0.90625,0.2434433038262675
2011,0.025006323111928436,0.028715075874899985,0.46690711227285514,0.1219833075859386,0,32,0.90625,0.24606636798894307
2012,0.023572642063398853,0.02929829321747593,0.4349483017361254,0.0,0,32,0.90625,0.22553457095734797
3006,0.022123116619626536,0.01651942915393752,0.5758911238693155,0.001712375792279311,0,32,0.96875,0.08869006796994675
3010,0.024794307287429554,0.029219855178923036,0.4250980959068192,0.11202349251970838,0,32,0.90625,0.21034223748052117
3011,0.02452802072652672,0.0204242319353182,0.6252299722086183,0.001208017566759954,0,32,0.90625,0.06757707136226868
3012,0.02410208769103111,0.021769797005908274,0.5756255027722542,0.0008563139325333815,0,32,0.53125,0.18574181365706144
4006,0.022363692452259575,0.016673343917661537,0.5971291089646382,0.0,0,32,0.96875,0.06566034305648942
4010,0.025564512403138222,0.0308289308484251,0.511238103105436,0.09569702725230256,0,32,0.9375,0.16950149312053645
4011,0.024388504004084093,0.028460271295840552,0.4944477225031518,0.011044320656815083,0,32,0.78125,0.21760322582502173
4012,0.021607629640526135,0.015886769801648448,0.573645489751805,0.0,0,32,0.9375,0.0869892194690021
