method,k,calibration,threshold,units,rank,exceedances
euclidean,1,episode,1.9380279779434204,518,494,24
euclidean,1,task_init,2.705847978591919,69,67,2
euclidean,2,episode,2.0193381309509277,518,494,24
euclidean,2,task_init,2.8028066158294678,69,67,2
euclidean,3,episode,2.0690650939941406,518,494,24
euclidean,3,task_init,2.877824306488037,69,67,2
euclidean,4,episode,2.119710683822632,518,494,24
euclidean,4,task_init,2.955869674682617,69,67,2
euclidean,5,episode,2.1913490295410156,518,494,24
euclidean,5,task_init,3.008760929107666,69,67,2
euclidean,6,episode,2.2422585487365723,518,494,24
euclidean,6,task_init,3.050158977508545,69,67,2
euclidean,7,episode,2.2969257831573486,518,494,24
euclidean,7,task_init,3.0890514850616455,69,67,2
euclidean,8,episode,2.3310651779174805,518,494,24
euclidean,8,task_init,3.2435648441314697,69,67,2
euclidean,9,episode,2.3681869506835938,518,494,24
euclidean,9,task_init,3.3735239505767822,69,67,2
euclidean,10,episode,2.4088473320007324,518,494,24
euclidean,10,task_init,3.490762710571289,69,67,2
euclidean,20,episode,2.693880081176758,518,494,24
euclidean,20,task_init,4.315521240234375,69,67,2
cosine,1,episode,0.24985124170780182,518,494,24
cosine,1,task_init,0.2991398274898529,69,67,2
cosine,2,episode,0.2616581320762634,518,494,24
cosine,2,task_init,0.3065400719642639,69,67,2
cosine,3,episode,0.2753385603427887,518,494,24
cosine,3,task_init,0.3137887120246887,69,67,2
cosine,4,episode,0.28488048911094666,518,494,24
cosine,4,task_init,0.3239131569862366,69,67,2
cosine,5,episode,0.2888299524784088,518,494,24
cosine,5,task_init,0.34114354848861694,69,67,2
cosine,6,episode,0.2961732745170593,518,494,24
cosine,6,task_init,0.3550448715686798,69,67,2
cosine,7,episode,0.3026721775531769,518,494,24
cosine,7,task_init,0.36520954966545105,69,67,2
cosine,8,episode,0.3078097999095917,518,494,24
cosine,8,task_init,0.37289515137672424,69,67,2
cosine,9,episode,0.3136855363845825,518,494,24
cosine,9,task_init,0.3791782259941101,69,67,2
cosine,10,episode,0.3207656741142273,518,494,24
cosine,10,task_init,0.3845413029193878,69,67,2
cosine,20,episode,0.3548452854156494,518,494,24
cosine,20,task_init,0.4260764420032501,69,67,2
cosine_neighbors_euclidean_score,1,episode,9.447731971740723,518,494,24
cosine_neighbors_euclidean_score,1,task_init,13.879056930541992,69,67,2
cosine_neighbors_euclidean_score,2,episode,6.935455322265625,518,494,24
cosine_neighbors_euclidean_score,2,task_init,10.597349166870117,69,67,2
cosine_neighbors_euclidean_score,3,episode,6.234384059906006,518,494,24
cosine_neighbors_euclidean_score,3,task_init,9.142821311950684,69,67,2
cosine_neighbors_euclidean_score,4,episode,5.916202068328857,518,494,24
cosine_neighbors_euclidean_score,4,task_init,9.005819320678711,69,67,2
cosine_neighbors_euclidean_score,5,episode,6.233788013458252,518,494,24
cosine_neighbors_euclidean_score,5,task_init,8.06314468383789,69,67,2
cosine_neighbors_euclidean_score,6,episode,6.002353191375732,518,494,24
cosine_neighbors_euclidean_score,6,task_init,7.8173675537109375,69,67,2
cosine_neighbors_euclidean_score,7,episode,5.803481101989746,518,494,24
cosine_neighbors_euclidean_score,7,task_init,7.721761226654053,69,67,2
cosine_neighbors_euclidean_score,8,episode,5.713146686553955,518,494,24
cosine_neighbors_euclidean_score,8,task_init,7.550312519073486,69,67,2
cosine_neighbors_euclidean_score,9,episode,5.627346515655518,518,494,24
cosine_neighbors_euclidean_score,9,task_init,7.479215145111084,69,67,2
cosine_neighbors_euclidean_score,10,episode,5.54163122177124,518,494,24
cosine_neighbors_euclidean_score,10,task_init,7.562675476074219,69,67,2
cosine_neighbors_euclidean_score,20,episode,5.0124311447143555,518,494,24
cosine_neighbors_euclidean_score,20,task_init,6.798381328582764,69,67,2
euclidean_neighbors_cosine_score,1,episode,0.3652859330177307,518,494,24
euclidean_neighbors_cosine_score,1,task_init,0.552279531955719,69,67,2
euclidean_neighbors_cosine_score,2,episode,0.3748633861541748,518,494,24
euclidean_neighbors_cosine_score,2,task_init,0.45988982915878296,69,67,2
euclidean_neighbors_cosine_score,3,episode,0.38139861822128296,518,494,24
euclidean_neighbors_cosine_score,3,task_init,0.5866063833236694,69,67,2
euclidean_neighbors_cosine_score,4,episode,0.3799395263195038,518,494,24
euclidean_neighbors_cosine_score,4,task_init,0.5713477730751038,69,67,2
euclidean_neighbors_cosine_score,5,episode,0.4026893377304077,518,494,24
euclidean_neighbors_cosine_score,5,task_init,0.611336886882782,69,67,2
euclidean_neighbors_cosine_score,6,episode,0.41187983751296997,518,494,24
euclidean_neighbors_cosine_score,6,task_init,0.6224837303161621,69,67,2
euclidean_neighbors_cosine_score,7,episode,0.41838687658309937,518,494,24
euclidean_neighbors_cosine_score,7,task_init,0.6248270869255066,69,67,2
euclidean_neighbors_cosine_score,8,episode,0.4241434335708618,518,494,24
euclidean_neighbors_cosine_score,8,task_init,0.6237022876739502,69,67,2
euclidean_neighbors_cosine_score,9,episode,0.4330746829509735,518,494,24
euclidean_neighbors_cosine_score,9,task_init,0.6287440061569214,69,67,2
euclidean_neighbors_cosine_score,10,episode,0.4478922188282013,518,494,24
euclidean_neighbors_cosine_score,10,task_init,0.6559998989105225,69,67,2
euclidean_neighbors_cosine_score,20,episode,0.501879870891571,518,494,24
euclidean_neighbors_cosine_score,20,task_init,0.6792610883712769,69,67,2
cosine_without_center,1,episode,0.24807773530483246,518,494,24
cosine_without_center,1,task_init,0.325215220451355,69,67,2
cosine_without_center,2,episode,0.2573989927768707,518,494,24
cosine_without_center,2,task_init,0.3290526270866394,69,67,2
cosine_without_center,3,episode,0.266023188829422,518,494,24
cosine_without_center,3,task_init,0.3359718322753906,69,67,2
cosine_without_center,4,episode,0.2719533443450928,518,494,24
cosine_without_center,4,task_init,0.34042152762413025,69,67,2
cosine_without_center,5,episode,0.2785492241382599,518,494,24
cosine_without_center,5,task_init,0.3443475365638733,69,67,2
cosine_without_center,6,episode,0.28723856806755066,518,494,24
cosine_without_center,6,task_init,0.35010555386543274,69,67,2
cosine_without_center,7,episode,0.29103678464889526,518,494,24
cosine_without_center,7,task_init,0.3549526333808899,69,67,2
cosine_without_center,8,episode,0.29572924971580505,518,494,24
cosine_without_center,8,task_init,0.3586975932121277,69,67,2
cosine_without_center,9,episode,0.30219629406929016,518,494,24
cosine_without_center,9,task_init,0.36176392436027527,69,67,2
cosine_without_center,10,episode,0.3050069212913513,518,494,24
cosine_without_center,10,task_init,0.36548301577568054,69,67,2
cosine_without_center,20,episode,0.3393350839614868,518,494,24
cosine_without_center,20,task_init,0.39829352498054504,69,67,2
