method,k,calibration,threshold,units,rank,exceedances
euclidean,1,episode,1.192839503288269,549,523,26
euclidean,1,task_init,1.5620522499084473,70,68,2
euclidean,2,episode,1.2645699977874756,549,523,26
euclidean,2,task_init,1.5825074911117554,70,68,2
euclidean,3,episode,1.298330545425415,549,523,26
euclidean,3,task_init,1.5925562381744385,70,68,2
euclidean,4,episode,1.3212167024612427,549,523,26
euclidean,4,task_init,1.6905455589294434,70,68,2
euclidean,5,episode,1.3367620706558228,549,523,26
euclidean,5,task_init,1.856228232383728,70,68,2
euclidean,6,episode,1.357629656791687,549,523,26
euclidean,6,task_init,1.9676878452301025,70,68,2
euclidean,7,episode,1.3702572584152222,549,523,26
euclidean,7,task_init,2.0064361095428467,70,68,2
euclidean,8,episode,1.3910505771636963,549,523,26
euclidean,8,task_init,2.028541088104248,70,68,2
euclidean,9,episode,1.4101356267929077,549,523,26
euclidean,9,task_init,2.0459587574005127,70,68,2
euclidean,10,episode,1.420965552330017,549,523,26
euclidean,10,task_init,2.065136671066284,70,68,2
euclidean,20,episode,1.524238109588623,549,523,26
euclidean,20,task_init,2.192049026489258,70,68,2
cosine,1,episode,0.19350601732730865,549,523,26
cosine,1,task_init,0.27298498153686523,70,68,2
cosine,2,episode,0.2052372545003891,549,523,26
cosine,2,task_init,0.28275132179260254,70,68,2
cosine,3,episode,0.21242786943912506,549,523,26
cosine,3,task_init,0.29728788137435913,70,68,2
cosine,4,episode,0.21883144974708557,549,523,26
cosine,4,task_init,0.3088594675064087,70,68,2
cosine,5,episode,0.22456762194633484,549,523,26
cosine,5,task_init,0.3165235221385956,70,68,2
cosine,6,episode,0.23192991316318512,549,523,26
cosine,6,task_init,0.3216891288757324,70,68,2
cosine,7,episode,0.23725862801074982,549,523,26
cosine,7,task_init,0.32670387625694275,70,68,2
cosine,8,episode,0.24090386927127838,549,523,26
cosine,8,task_init,0.3328283429145813,70,68,2
cosine,9,episode,0.24559512734413147,549,523,26
cosine,9,task_init,0.3388029634952545,70,68,2
cosine,10,episode,0.252040296792984,549,523,26
cosine,10,task_init,0.34433308243751526,70,68,2
cosine,20,episode,0.2849724590778351,549,523,26
cosine,20,task_init,0.36977940797805786,70,68,2
cosine_neighbors_euclidean_score,1,episode,2.555713176727295,549,523,26
cosine_neighbors_euclidean_score,1,task_init,3.574498176574707,70,68,2
cosine_neighbors_euclidean_score,2,episode,2.4194343090057373,549,523,26
