method,k,calibration,threshold,units,rank,exceedances
euclidean,1,episode,1.3587753772735596,542,516,26
euclidean,1,task_init,1.6189073324203491,70,68,2
euclidean,2,episode,1.401270866394043,542,516,26
euclidean,2,task_init,1.665304183959961,70,68,2
euclidean,3,episode,1.4227834939956665,542,516,26
euclidean,3,task_init,1.714862585067749,70,68,2
euclidean,4,episode,1.4596717357635498,542,516,26
euclidean,4,task_init,1.7454109191894531,70,68,2
euclidean,5,episode,1.4777172803878784,542,516,26
euclidean,5,task_init,1.769270658493042,70,68,2
euclidean,6,episode,1.4946403503417969,542,516,26
euclidean,6,task_init,1.7928812503814697,70,68,2
euclidean,7,episode,1.511753797531128,542,516,26
euclidean,7,task_init,1.8115992546081543,70,68,2
euclidean,8,episode,1.5259788036346436,542,516,26
euclidean,8,task_init,1.8281227350234985,70,68,2
euclidean,9,episode,1.5546982288360596,542,516,26
euclidean,9,task_init,1.845679759979248,70,68,2
euclidean,10,episode,1.5702348947525024,542,516,26
euclidean,10,task_init,1.8605839014053345,70,68,2
euclidean,20,episode,1.6953964233398438,542,516,26
euclidean,20,task_init,1.9988833665847778,70,68,2
cosine,1,episode,0.1497795283794403,542,516,26
cosine,1,task_init,0.2738388776779175,70,68,2
cosine,2,episode,0.16246816515922546,542,516,26
cosine,2,task_init,0.27704665064811707,70,68,2
cosine,3,episode,0.1714097410440445,542,516,26
cosine,3,task_init,0.2801065742969513,70,68,2
cosine,4,episode,0.17758207023143768,542,516,26
cosine,4,task_init,0.28456002473831177,70,68,2
cosine,5,episode,0.18363241851329803,542,516,26
cosine,5,task_init,0.28765177726745605,70,68,2
cosine,6,episode,0.18798190355300903,542,516,26
cosine,6,task_init,0.29358038306236267,70,68,2
cosine,7,episode,0.19398902356624603,542,516,26
cosine,7,task_init,0.2979569733142853,70,68,2
cosine,8,episode,0.19699318706989288,542,516,26
cosine,8,task_init,0.30326512455940247,70,68,2
cosine,9,episode,0.2010415643453598,542,516,26
cosine,9,task_init,0.3074077069759369,70,68,2
cosine,10,episode,0.2058134227991104,542,516,26
cosine,10,task_init,0.31143718957901,70,68,2
cosine,20,episode,0.23805604875087738,542,516,26
cosine,20,task_init,0.3380890488624573,70,68,2
cosine_neighbors_euclidean_score,1,episode,3.0025041103363037,542,516,26
cosine_neighbors_euclidean_score,1,task_init,4.331243515014648,70,68,2
