method,k,calibration,threshold,units,rank,exceedances
euclidean,1,episode,1.9585038423538208,503,479,24
euclidean,1,task_init,2.8824386596679688,67,65,2
euclidean,2,episode,2.0149338245391846,503,479,24
euclidean,2,task_init,2.92415452003479,67,65,2
euclidean,3,episode,2.068804979324341,503,479,24
euclidean,3,task_init,3.0790631771087646,67,65,2
euclidean,4,episode,2.1386196613311768,503,479,24
euclidean,4,task_init,3.2680180072784424,67,65,2
euclidean,5,episode,2.1900229454040527,503,479,24
euclidean,5,task_init,3.382974863052368,67,65,2
euclidean,6,episode,2.2257890701293945,503,479,24
euclidean,6,task_init,3.4836201667785645,67,65,2
euclidean,7,episode,2.2561612129211426,503,479,24
euclidean,7,task_init,3.5765933990478516,67,65,2
euclidean,8,episode,2.2794034481048584,503,479,24
euclidean,8,task_init,3.6677727699279785,67,65,2
euclidean,9,episode,2.3091959953308105,503,479,24
euclidean,9,task_init,3.7481632232666016,67,65,2
euclidean,10,episode,2.3267271518707275,503,479,24
euclidean,10,task_init,3.8164780139923096,67,65,2
euclidean,20,episode,2.544574499130249,503,479,24
euclidean,20,task_init,4.464548110961914,67,65,2
cosine,1,episode,0.24821026623249054,503,479,24
cosine,1,task_init,0.3210608959197998,67,65,2
cosine,2,episode,0.2598353326320648,503,479,24
cosine,2,task_init,0.3272777199745178,67,65,2
cosine,3,episode,0.27273255586624146,503,479,24
cosine,3,task_init,0.33067086338996887,67,65,2
cosine,4,episode,0.2790568768978119,503,479,24
cosine,4,task_init,0.3428174555301666,67,65,2
cosine,5,episode,0.2869688868522644,503,479,24
cosine,5,task_init,0.3548979163169861,67,65,2
cosine,6,episode,0.29476258158683777,503,479,24
cosine,6,task_init,0.36868923902511597,67,65,2
cosine,7,episode,0.29831165075302124,503,479,24
cosine,7,task_init,0.37705597281455994,67,65,2
cosine,8,episode,0.30153077840805054,503,479,24
cosine,8,task_init,0.38094595074653625,67,65,2
cosine,9,episode,0.307669997215271,503,479,24
cosine,9,task_init,0.3841989040374756,67,65,2
cosine,10,episode,0.31306400895118713,503,479,24
cosine,10,task_init,0.3907950818538666,67,65,2
cosine,20,episode,0.35048648715019226,503,479,24
cosine,20,task_init,0.4352206289768219,67,65,2
cosine_neighbors_euclidean_score,1,episode,6.853887557983398,503,479,24
cosine_neighbors_euclidean_score,1,task_init,9.876032829284668,67,65,2
cosine_neighbors_euclidean_score,2,episode,5.700098991394043,503,479,24
cosine_neighbors_euclidean_score,2,task_init,9.000601768493652,67,65,2
cosine_neighbors_euclidean_score,3,episode,5.315701484680176,503,479,24
cosine_neighbors_euclidean_score,3,task_init,8.140971183776855,67,65,2
cosine_neighbors_euclidean_score,4,episode,5.093267440795898,503,479,24
cosine_neighbors_euclidean_score,4,task_init,7.697440147399902,67,65,2
cosine_neighbors_euclidean_score,5,episode,5.1116180419921875,503,479,24
cosine_neighbors_euclidean_score,5,task_init,7.92830753326416,67,65,2
cosine_neighbors_euclidean_score,6,episode,4.976480960845947,503,479,24
cosine_neighbors_euclidean_score,6,task_init,8.01859188079834,67,65,2
cosine_neighbors_euclidean_score,7,episode,5.041163921356201,503,479,24
cosine_neighbors_euclidean_score,7,task_init,7.405688285827637,67,65,2
cosine_neighbors_euclidean_score,8,episode,5.078558921813965,503,479,24
cosine_neighbors_euclidean_score,8,task_init,7.203283309936523,67,65,2
cosine_neighbors_euclidean_score,9,episode,5.054916858673096,503,479,24
cosine_neighbors_euclidean_score,9,task_init,7.364535331726074,67,65,2
cosine_neighbors_euclidean_score,10,episode,4.8870368003845215,503,479,24
cosine_neighbors_euclidean_score,10,task_init,7.2129387855529785,67,65,2
cosine_neighbors_euclidean_score,20,episode,4.642955303192139,503,479,24
cosine_neighbors_euclidean_score,20,task_init,6.735311031341553,67,65,2
euclidean_neighbors_cosine_score,1,episode,0.3430907130241394,503,479,24
euclidean_neighbors_cosine_score,1,task_init,0.4518919587135315,67,65,2
euclidean_neighbors_cosine_score,2,episode,0.34859681129455566,503,479,24
euclidean_neighbors_cosine_score,2,task_init,0.4539903700351715,67,65,2
euclidean_neighbors_cosine_score,3,episode,0.36370471119880676,503,479,24
euclidean_neighbors_cosine_score,3,task_init,0.47936147451400757,67,65,2
euclidean_neighbors_cosine_score,4,episode,0.37639427185058594,503,479,24
euclidean_neighbors_cosine_score,4,task_init,0.5091860890388489,67,65,2
euclidean_neighbors_cosine_score,5,episode,0.39139705896377563,503,479,24
euclidean_neighbors_cosine_score,5,task_init,0.4900381565093994,67,65,2
euclidean_neighbors_cosine_score,6,episode,0.40056848526000977,503,479,24
euclidean_neighbors_cosine_score,6,task_init,0.4972711503505707,67,65,2
euclidean_neighbors_cosine_score,7,episode,0.41345101594924927,503,479,24
euclidean_neighbors_cosine_score,7,task_init,0.4973353147506714,67,65,2
euclidean_neighbors_cosine_score,8,episode,0.41708675026893616,503,479,24
euclidean_neighbors_cosine_score,8,task_init,0.5107230544090271,67,65,2
euclidean_neighbors_cosine_score,9,episode,0.42482444643974304,503,479,24
euclidean_neighbors_cosine_score,9,task_init,0.4956488311290741,67,65,2
euclidean_neighbors_cosine_score,10,episode,0.4326031804084778,503,479,24
euclidean_neighbors_cosine_score,10,task_init,0.5240433216094971,67,65,2
euclidean_neighbors_cosine_score,20,episode,0.47884291410446167,503,479,24
euclidean_neighbors_cosine_score,20,task_init,0.5858906507492065,67,65,2
cosine_without_center,1,episode,0.22029969096183777,503,479,24
cosine_without_center,1,task_init,0.2862396836280823,67,65,2
cosine_without_center,2,episode,0.22643674910068512,503,479,24
cosine_without_center,2,task_init,0.303212970495224,67,65,2
cosine_without_center,3,episode,0.2434094399213791,503,479,24
cosine_without_center,3,task_init,0.3164595663547516,67,65,2
cosine_without_center,4,episode,0.25366416573524475,503,479,24
cosine_without_center,4,task_init,0.33461156487464905,67,65,2
cosine_without_center,5,episode,0.26273781061172485,503,479,24
cosine_without_center,5,task_init,0.3456599712371826,67,65,2
cosine_without_center,6,episode,0.2671821117401123,503,479,24
cosine_without_center,6,task_init,0.35335773229599,67,65,2
cosine_without_center,7,episode,0.2704009711742401,503,479,24
cosine_without_center,7,task_init,0.3570515215396881,67,65,2
cosine_without_center,8,episode,0.2755683362483978,503,479,24
cosine_without_center,8,task_init,0.3599652945995331,67,65,2
cosine_without_center,9,episode,0.27995699644088745,503,479,24
cosine_without_center,9,task_init,0.3636462688446045,67,65,2
cosine_without_center,10,episode,0.28441324830055237,503,479,24
cosine_without_center,10,task_init,0.3666197657585144,67,65,2
cosine_without_center,20,episode,0.31412839889526367,503,479,24
cosine_without_center,20,task_init,0.3926379978656769,67,65,2
