method,k,calibration,threshold,units,rank,exceedances
euclidean,1,episode,1.0510799884796143,559,532,27
euclidean,1,task_init,1.9813750982284546,70,68,2
euclidean,2,episode,1.0575168132781982,559,532,27
euclidean,2,task_init,1.9859899282455444,70,68,2
euclidean,3,episode,1.0910290479660034,559,532,27
euclidean,3,task_init,2.0033867359161377,70,68,2
euclidean,4,episode,1.1187405586242676,559,532,27
euclidean,4,task_init,2.012134552001953,70,68,2
euclidean,5,episode,1.1401338577270508,559,532,27
euclidean,5,task_init,2.052018165588379,70,68,2
euclidean,6,episode,1.165510654449463,559,532,27
euclidean,6,task_init,2.081552743911743,70,68,2
euclidean,7,episode,1.1877943277359009,559,532,27
euclidean,7,task_init,2.1087546348571777,70,68,2
euclidean,8,episode,1.2058838605880737,559,532,27
euclidean,8,task_init,2.1292123794555664,70,68,2
euclidean,9,episode,1.2225306034088135,559,532,27
euclidean,9,task_init,2.155043840408325,70,68,2
euclidean,10,episode,1.2347983121871948,559,532,27
euclidean,10,task_init,2.1782758235931396,70,68,2
euclidean,20,episode,1.3458218574523926,559,532,27
euclidean,20,task_init,2.344538450241089,70,68,2
cosine,1,episode,0.1908847540616989,559,532,27
cosine,1,task_init,0.2978057861328125,70,68,2
cosine,2,episode,0.20465514063835144,559,532,27
cosine,2,task_init,0.30394572019577026,70,68,2
cosine,3,episode,0.217440664768219,559,532,27
cosine,3,task_init,0.30943095684051514,70,68,2
cosine,4,episode,0.22035592794418335,559,532,27
cosine,4,task_init,0.3168863356113434,70,68,2
cosine,5,episode,0.2274952381849289,559,532,27
cosine,5,task_init,0.32137447595596313,70,68,2
cosine,6,episode,0.23475055396556854,559,532,27
cosine,6,task_init,0.3287403881549835,70,68,2
cosine,7,episode,0.24096593260765076,559,532,27
cosine,7,task_init,0.3392683267593384,70,68,2
cosine,8,episode,0.24563902616500854,559,532,27
cosine,8,task_init,0.3494996130466461,70,68,2
cosine,9,episode,0.25258365273475647,559,532,27
cosine,9,task_init,0.3579432964324951,70,68,2
cosine,10,episode,0.25871559977531433,559,532,27
