method,k,calibration,threshold,units,rank,exceedances
euclidean,1,episode,1.315887451171875,547,521,26
euclidean,1,task_init,1.8098392486572266,70,68,2
euclidean,2,episode,1.3539931774139404,547,521,26
euclidean,2,task_init,1.9157850742340088,70,68,2
euclidean,3,episode,1.3932557106018066,547,521,26
euclidean,3,task_init,2.002697229385376,70,68,2
euclidean,4,episode,1.427099585533142,547,521,26
euclidean,4,task_init,2.051903247833252,70,68,2
euclidean,5,episode,1.455180048942566,547,521,26
euclidean,5,task_init,2.088717222213745,70,68,2
euclidean,6,episode,1.488035798072815,547,521,26
euclidean,6,task_init,2.1190602779388428,70,68,2
euclidean,7,episode,1.5169240236282349,547,521,26
euclidean,7,task_init,2.1428515911102295,70,68,2
euclidean,8,episode,1.5402582883834839,547,521,26
euclidean,8,task_init,2.163886547088623,70,68,2
euclidean,9,episode,1.5587091445922852,547,521,26
euclidean,9,task_init,2.185838222503662,70,68,2
euclidean,10,episode,1.5753580331802368,547,521,26
euclidean,10,task_init,2.2067112922668457,70,68,2
euclidean,20,episode,1.7048996686935425,547,521,26
euclidean,20,task_init,2.4561617374420166,70,68,2
cosine,1,episode,0.1903936266899109,547,521,26
cosine,1,task_init,0.29556748270988464,70,68,2
cosine,2,episode,0.19902858138084412,547,521,26
cosine,2,task_init,0.3038826882839203,70,68,2
cosine,3,episode,0.20899488031864166,547,521,26
cosine,3,task_init,0.3110741078853607,70,68,2
cosine,4,episode,0.21309919655323029,547,521,26
cosine,4,task_init,0.3200881779193878,70,68,2
cosine,5,episode,0.2235366255044937,547,521,26
cosine,5,task_init,0.32730624079704285,70,68,2
cosine,6,episode,0.22619161009788513,547,521,26
cosine,6,task_init,0.3345780074596405,70,68,2
cosine,7,episode,0.2295537292957306,547,521,26
cosine,7,task_init,0.3399994969367981,70,68,2
cosine,8,episode,0.23457969725131989,547,521,26
cosine,8,task_init,0.34468743205070496,70,68,2
cosine,9,episode,0.2392139881849289,547,521,26
cosine,9,task_init,0.34867215156555176,70,68,2
cosine,10,episode,0.24400748312473297,547,521,26
cosine,10,task_init,0.3526429831981659,70,68,2
cosine,20,episode,0.28690221905708313,547,521,26
cosine,20,task_init,0.38948389887809753,70,68,2
cosine_neighbors_euclidean_score,1,episode,3.1512598991394043,547,521,26
cosine_neighbors_euclidean_score,1,task_init,4.520419597625732,70,68,2
cosine_neighbors_euclidean_score,2,episode,2.8635094165802,547,521,26
cosine_neighbors_euclidean_score,2,task_init,3.724609613418579,70,68,2
cosine_neighbors_euclidean_score,3,episode,2.7739486694335938,547,521,26
cosine_neighbors_euclidean_score,3,task_init,3.901787042617798,70,68,2
cosine_neighbors_euclidean_score,4,episode,2.6794791221618652,547,521,26
cosine_neighbors_euclidean_score,4,task_init,3.8143303394317627,70,68,2
cosine_neighbors_euclidean_score,5,episode,2.686429977416992,547,521,26
cosine_neighbors_euclidean_score,5,task_init,3.3889496326446533,70,68,2
