method,k,calibration,threshold,units,rank,exceedances
euclidean,1,episode,1.2364332675933838,540,514,26
euclidean,1,task_init,1.6199594736099243,70,68,2
euclidean,2,episode,1.2698471546173096,540,514,26
euclidean,2,task_init,1.6831070184707642,70,68,2
euclidean,3,episode,1.3021697998046875,540,514,26
euclidean,3,task_init,1.709424376487732,70,68,2
euclidean,4,episode,1.3327832221984863,540,514,26
euclidean,4,task_init,1.7353301048278809,70,68,2
euclidean,5,episode,1.349015235900879,540,514,26
euclidean,5,task_init,1.7672548294067383,70,68,2
euclidean,6,episode,1.3788865804672241,540,514,26
euclidean,6,task_init,1.788805365562439,70,68,2
euclidean,7,episode,1.407508373260498,540,514,26
euclidean,7,task_init,1.8072800636291504,70,68,2
euclidean,8,episode,1.4317333698272705,540,514,26
euclidean,8,task_init,1.822438359260559,70,68,2
euclidean,9,episode,1.4510743618011475,540,514,26
euclidean,9,task_init,1.8390800952911377,70,68,2
euclidean,10,episode,1.4717170000076294,540,514,26
euclidean,10,task_init,1.853745460510254,70,68,2
euclidean,20,episode,1.6210957765579224,540,514,26
euclidean,20,task_init,1.9599847793579102,70,68,2
cosine,1,episode,0.15504005551338196,540,514,26
cosine,1,task_init,0.2159707397222519,70,68,2
cosine,2,episode,0.16232642531394958,540,514,26
cosine,2,task_init,0.21966753900051117,70,68,2
cosine,3,episode,0.1722889542579651,540,514,26
cosine,3,task_init,0.240962952375412,70,68,2
cosine,4,episode,0.18079353868961334,540,514,26
cosine,4,task_init,0.253468781709671,70,68,2
cosine,5,episode,0.18766936659812927,540,514,26
cosine,5,task_init,0.26160183548927307,70,68,2
cosine,6,episode,0.19341443479061127,540,514,26
cosine,6,task_init,0.26680317521095276,70,68,2
cosine,7,episode,0.19947782158851624,540,514,26
cosine,7,task_init,0.2728860676288605,70,68,2
cosine,8,episode,0.20479287207126617,540,514,26
cosine,8,task_init,0.27913978695869446,70,68,2
cosine,9,episode,0.21049432456493378,540,514,26
cosine,9,task_init,0.2846110761165619,70,68,2
cosine,10,episode,0.21450398862361908,540,514,26
cosine,10,task_init,0.2895907163619995,70,68,2
cosine,20,episode,0.24182528257369995,540,514,26
cosine,20,task_init,0.326732873916626,70,68,2
cosine_neighbors_euclidean_score,1,episode,2.8730075359344482,540,514,26
cosine_neighbors_euclidean_score,1,task_init,3.8712034225463867,70,68,2
cosine_neighbors_euclidean_score,2,episode,2.660767078399658,540,514,26
cosine_neighbors_euclidean_score,2,task_init,3.6224422454833984,70,68,2
cosine_neighbors_euclidean_score,3,episode,2.5759615898132324,540,514,26
cosine_neighbors_euclidean_score,3,task_init,3.518059015274048,70,68,2
cosine_neighbors_euclidean_score,4,episode,2.449068784713745,540,514,26
cosine_neighbors_euclidean_score,4,task_init,3.1659600734710693,70,68,2
cosine_neighbors_euclidean_score,5,episode,2.3725433349609375,540,514,26
cosine_neighbors_euclidean_score,5,task_init,3.2311277389526367,70,68,2
cosine_neighbors_euclidean_score,6,episode,2.372910976409912,540,514,26
cosine_neighbors_euclidean_score,6,task_init,3.2606496810913086,70,68,2
cosine_neighbors_euclidean_score,7,episode,2.3869385719299316,540,514,26
cosine_neighbors_euclidean_score,7,task_init,3.133286476135254,70,68,2
cosine_neighbors_euclidean_score,8,episode,2.388631820678711,540,514,26
cosine_neighbors_euclidean_score,8,task_init,3.1832735538482666,70,68,2
cosine_neighbors_euclidean_score,9,episode,2.383385181427002,540,514,26
cosine_neighbors_euclidean_score,9,task_init,3.2125084400177,70,68,2
cosine_neighbors_euclidean_score,10,episode,2.3539958000183105,540,514,26
cosine_neighbors_euclidean_score,10,task_init,3.093350887298584,70,68,2
cosine_neighbors_euclidean_score,20,episode,2.355415105819702,540,514,26
cosine_neighbors_euclidean_score,20,task_init,2.9383974075317383,70,68,2
euclidean_neighbors_cosine_score,1,episode,0.20206697285175323,540,514,26
euclidean_neighbors_cosine_score,1,task_init,0.3082772195339203,70,68,2
euclidean_neighbors_cosine_score,2,episode,0.21387486159801483,540,514,26
euclidean_neighbors_cosine_score,2,task_init,0.2639272212982178,70,68,2
euclidean_neighbors_cosine_score,3,episode,0.2269875407218933,540,514,26
euclidean_neighbors_cosine_score,3,task_init,0.28845205903053284,70,68,2
euclidean_neighbors_cosine_score,4,episode,0.22792771458625793,540,514,26
euclidean_neighbors_cosine_score,4,task_init,0.3299953043460846,70,68,2
euclidean_neighbors_cosine_score,5,episode,0.23377320170402527,540,514,26
euclidean_neighbors_cosine_score,5,task_init,0.3126383423805237,70,68,2
euclidean_neighbors_cosine_score,6,episode,0.24084191024303436,540,514,26
euclidean_neighbors_cosine_score,6,task_init,0.3213121294975281,70,68,2
euclidean_neighbors_cosine_score,7,episode,0.24298390746116638,540,514,26
euclidean_neighbors_cosine_score,7,task_init,0.34554117918014526,70,68,2
euclidean_neighbors_cosine_score,8,episode,0.26046183705329895,540,514,26
euclidean_neighbors_cosine_score,8,task_init,0.371855229139328,70,68,2
euclidean_neighbors_cosine_score,9,episode,0.2660311460494995,540,514,26
euclidean_neighbors_cosine_score,9,task_init,0.3608309328556061,70,68,2
euclidean_neighbors_cosine_score,10,episode,0.26743078231811523,540,514,26
euclidean_neighbors_cosine_score,10,task_init,0.36926525831222534,70,68,2
euclidean_neighbors_cosine_score,20,episode,0.3158353269100189,540,514,26
euclidean_neighbors_cosine_score,20,task_init,0.40795448422431946,70,68,2
cosine_without_center,1,episode,0.14151641726493835,540,514,26
cosine_without_center,1,task_init,0.2503683567047119,70,68,2
cosine_without_center,2,episode,0.1585363894701004,540,514,26
cosine_without_center,2,task_init,0.2606864273548126,70,68,2
cosine_without_center,3,episode,0.16715289652347565,540,514,26
cosine_without_center,3,task_init,0.2652170956134796,70,68,2
cosine_without_center,4,episode,0.17559371888637543,540,514,26
cosine_without_center,4,task_init,0.2747974693775177,70,68,2
cosine_without_center,5,episode,0.18163801729679108,540,514,26
cosine_without_center,5,task_init,0.28370094299316406,70,68,2
cosine_without_center,6,episode,0.18738220632076263,540,514,26
cosine_without_center,6,task_init,0.292519748210907,70,68,2
cosine_without_center,7,episode,0.19080249965190887,540,514,26
cosine_without_center,7,task_init,0.29945793747901917,70,68,2
cosine_without_center,8,episode,0.19397513568401337,540,514,26
cosine_without_center,8,task_init,0.3056347668170929,70,68,2
cosine_without_center,9,episode,0.19746054708957672,540,514,26
cosine_without_center,9,task_init,0.3106650710105896,70,68,2
cosine_without_center,10,episode,0.20070432126522064,540,514,26
cosine_without_center,10,task_init,0.3148840367794037,70,68,2
cosine_without_center,20,episode,0.2274586409330368,540,514,26
cosine_without_center,20,task_init,0.34858438372612,70,68,2
