member_q,m,confirm,dev0_tp,dev0_fp,dev12_tp,d_tp,d_fp
0.75,3,1,461,9516,428,41,9434
0.75,3,2,447,5588,372,27,5506
0.75,4,1,441,5108,346,21,5026
0.75,4,2,441,2422,309,21,2340
0.75,5,1,440,1599,280,20,1517
0.75,5,2,432,499,235,12,417
0.75,6,1,428,175,207,8,93
0.75,6,2,422,93,201,2,11
0.8,3,1,454,7604,405,34,7522
0.8,3,2,444,4091,340,24,4009
0.8,4,1,441,3864,327,21,3782
0.8,4,2,439,1532,282,19,1450
0.8,5,1,439,928,259,19,846
0.8,5,2,429,255,223,9,173
0.8,6,1,424,103,203,4,21
0.8,6,2,420,84,199,0,2
0.85,3,1,449,5380,377,29,5298
0.85,3,2,444,2966,318,24,2884
0.85,4,1,441,2746,300,21,2664
0.85,4,2,437,830,253,17,748
0.85,5,1,432,474,231,12,392
0.85,5,2,422,143,202,2,61
0.85,6,1,421,85,201,1,3
0.85,6,2,420,82,198,0,0
0.9,3,1,447,3868,330,27,3786
0.9,3,2,437,2018,275,17,1936
0.9,4,1,437,1703,269,17,1621
0.9,4,2,426,312,215,6,230
0.9,5,1,427,232,209,7,150
0.9,5,2,421,94,199,1,12
0.9,6,1,420,82,200,0,0
0.9,6,2,420,82,198,0,0
