cohort,arm,n_risk,tp0,fp0,tp2,fp2,tp4,fp4,tp8,fp8,tp12,fp12,median_lead
development_main,v8,487,405,76,385,63,331,44,241,30,189,18,15.0
development_main,head,487,9,2,9,1,9,1,9,1,4,0,11.0
development_main,v9,487,409,78,390,64,336,45,248,31,192,18,15.0
external_8b,v8,564,462,90,436,80,377,66,287,47,242,32,16.0
external_8b,head,564,6,4,6,2,6,2,6,1,1,1,9.0
external_8b,v9,564,462,94,436,82,379,68,292,48,243,33,16.0
legacy_main16x32,v8,307,261,26,254,25,224,16,161,13,159,11,19.0
legacy_main16x32,head,307,1,2,1,0,1,0,1,0,0,0,11.0
legacy_main16x32,v9,307,261,28,254,25,225,16,162,13,159,11,19.0
