gate,quantile,confirm,threshold,dev0_tp,dev0_fp,dev16_tp
q12_20,0.98,1,11.184195071119934,425,162,173
q12_20,0.98,2,11.184195071119934,423,105,170
q12_20,0.99,1,13.368253662711254,423,114,166
q12_20,0.99,2,13.368253662711254,420,84,163
q12_20,0.995,1,15.03862535311249,421,91,164
q12_20,0.995,2,15.03862535311249,420,82,163
q12_30,0.98,1,12.489810332957187,426,141,172
q12_30,0.98,2,12.489810332957187,421,97,164
q12_30,0.99,1,14.419747670091626,424,104,165
q12_30,0.99,2,14.419747670091626,420,84,163
q12_30,0.995,1,15.76156902905279,422,87,163
q12_30,0.995,2,15.76156902905279,420,82,163
q16_36,0.98,1,13.850385183435542,424,101,163
q16_36,0.98,2,13.850385183435542,420,85,163
q16_36,0.99,1,15.434139476446664,422,85,163
q16_36,0.99,2,15.434139476446664,420,82,163
q16_36,0.995,1,16.445772615917903,420,83,163
q16_36,0.995,2,16.445772615917903,420,82,163
q12_36,0.98,1,12.557415780328041,425,140,172
q12_36,0.98,2,12.557415780328041,421,95,164
q12_36,0.99,1,14.31971204515483,424,106,165
q12_36,0.99,2,14.31971204515483,420,84,163
q12_36,0.995,1,15.667253938057257,422,87,163
q12_36,0.995,2,15.667253938057257,420,82,163
