kind,layer,li,step,gate,quantile,confirm,threshold,dev_gain_tp,dev_gain_fp,exchange
cell,L2,0,0,q7_9,0.95,1,0.0585290789604187,13,1397,0.009305654974946313
cell,L2,0,0,q7_9,0.95,2,0.0585290789604187,4,484,0.008264462809917356
cell,L2,0,0,q7_9,0.96,1,0.05957362800836563,10,1219,0.008203445447087777
cell,L2,0,0,q7_9,0.96,2,0.05957362800836563,3,309,0.009708737864077669
cell,L2,0,0,q7_9,0.97,1,0.061122409999370575,7,1009,0.006937561942517344
cell,L2,0,0,q7_9,0.97,2,0.061122409999370575,1,140,0.007142857142857143
cell,L2,0,0,q7_9,0.98,1,0.0628696084022522,3,718,0.004178272980501393
cell,L2,0,0,q7_9,0.98,2,0.0628696084022522,0,50,0.0
cell,L2,0,0,q7_9,0.99,1,0.06463208049535751,2,372,0.005376344086021506
cell,L2,0,0,q7_9,0.99,2,0.06463208049535751,0,6,0.0
cell,L2,0,0,q7_9,0.995,1,0.06631655991077423,2,186,0.010752688172043012
cell,L2,0,0,q7_9,0.995,2,0.06631655991077423,0,0,inf
cell,L2,0,0,q7_11,0.95,1,0.058352552354335785,15,1833,0.008183306055646482
cell,L2,0,0,q7_11,0.95,2,0.058352552354335785,9,661,0.01361573373676248
cell,L2,0,0,q7_11,0.96,1,0.059310637414455414,13,1576,0.008248730964467006
cell,L2,0,0,q7_11,0.96,2,0.059310637414455414,8,503,0.015904572564612324
cell,L2,0,0,q7_11,0.97,1,0.06081299111247063,12,1308,0.009174311926605505
cell,L2,0,0,q7_11,0.97,2,0.06081299111247063,6,329,0.0182370820668693
cell,L2,0,0,q7_11,0.98,1,0.06263698637485504,8,979,0.008171603677221655
cell,L2,0,0,q7_11,0.98,2,0.06263698637485504,5,132,0.03787878787878788
cell,L2,0,0,q7_11,0.99,1,0.0646398663520813,7,533,0.013133208255159476
cell,L2,0,0,q7_11,0.99,2,0.0646398663520813,3,13,0.23076923076923078
cell,L2,0,0,q7_11,0.995,1,0.0664827972650528,7,270,0.025925925925925925
cell,L2,0,0,q7_11,0.995,2,0.0664827972650528,0,0,inf
cell,L2,0,0,q6_10,0.95,1,0.05818452686071396,14,2110,0.006635071090047393
cell,L2,0,0,q6_10,0.95,2,0.05818452686071396,7,585,0.011965811965811967
cell,L2,0,0,q6_10,0.96,1,0.05902186781167984,13,1811,0.00717835450027609
cell,L2,0,0,q6_10,0.96,2,0.05902186781167984,5,416,0.01201923076923077
cell,L2,0,0,q6_10,0.97,1,0.060205619782209396,12,1541,0.007787151200519144
cell,L2,0,0,q6_10,0.97,2,0.060205619782209396,4,232,0.017241379310344827
cell,L2,0,0,q6_10,0.98,1,0.062000613659620285,9,1127,0.007985803016858917
cell,L2,0,0,q6_10,0.98,2,0.062000613659620285,0,83,0.0
cell,L2,0,0,q6_10,0.99,1,0.06376606971025467,7,584,0.011986301369863013
cell,L2,0,0,q6_10,0.99,2,0.06376606971025467,0,19,0.0
cell,L2,0,0,q6_10,0.995,1,0.06529193371534348,5,292,0.017123287671232876
cell,L2,0,0,q6_10,0.995,2,0.06529193371534348,0,4,0.0
cell,L2,0,0,q9_13,0.95,1,0.056459784507751465,16,1549,0.010329244673983214
cell,L2,0,0,q9_13,0.95,2,0.056459784507751465,9,361,0.024930747922437674
cell,L2,0,0,q9_13,0.96,1,0.05720362812280655,15,1287,0.011655011655011656
cell,L2,0,0,q9_13,0.96,2,0.05720362812280655,8,253,0.03162055335968379
cell,L2,0,0,q9_13,0.97,1,0.058140017092227936,15,987,0.015197568389057751
cell,L2,0,0,q9_13,0.97,2,0.058140017092227936,8,195,0.041025641025641026
cell,L2,0,0,q9_13,0.98,1,0.05934907868504524,13,633,0.020537124802527645
cell,L2,0,0,q9_13,0.98,2,0.05934907868504524,7,173,0.04046242774566474
cell,L2,0,0,q9_13,0.99,1,0.06212767958641052,5,305,0.01639344262295082
cell,L2,0,0,q9_13,0.99,2,0.06212767958641052,5,109,0.045871559633027525
cell,L2,0,0,q9_13,0.995,1,0.06409026682376862,5,190,0.02631578947368421
