source,label,rows,chunk_p05,chunk_p50,chunk_p95,chunk_p99,vl_max_chunk
regime,0,31815,3.0,7.0,22.0,35.0,51
regime,1,68434,2.0,9.0,35.0,47.0,51
regime,2,53893,2.0,8.0,24.0,41.0,51
regime,3,38039,2.0,6.0,14.0,22.0,51
physical_phase,0,42012,2.0,3.0,9.0,12.0,45
physical_phase,1,12232,3.0,5.0,11.0,12.0,46
physical_phase,2,109482,5.0,11.0,32.0,46.0,51
