regimes,smoothing,within_cell_ami_phase,within_cells,within_rows,switch_rate,mean_run_length,median_run_length
4,1,0.10297254647584715,146,52734,0.42345572524678515,2.137410608032209,1.0
4,2,0.0859148372355842,145,52360,0.2743585840648097,3.028093782497715,2.0
4,3,0.08040036536053467,143,51763,0.2543113411244722,3.2078284092805878,3.0
4,4,0.05439977057214702,142,52115,0.19795243007988456,3.850319556027488,3.0
4,6,0.03360451122113568,137,51115,0.15647109893393318,4.516061567383386,3.0
