snapshot_key,model,observed_failure_rate,predicted_failure_rate
w00_s000,mean_rate,0.5625,0.53125
w01_s000,mean_rate,1.0,0.3125
w03_s000,mean_rate,0.0625,0.78125
w00_s000,initial_sim_state,0.5625,0.4578341245651245
w01_s000,initial_sim_state,1.0,0.658976674079895
w03_s000,initial_sim_state,0.0625,0.3670279085636139
w00_s000,initial_policy_state,0.5625,0.2246951162815094
w01_s000,initial_policy_state,1.0,0.14967365562915802
w03_s000,initial_policy_state,0.0625,0.4503780007362366
w00_s000,mean_output_action,0.5625,0.31943249702453613
w01_s000,mean_output_action,1.0,0.816297709941864
w03_s000,mean_output_action,0.0625,1.0
w00_s000,as_moe,0.5625,0.53125
w01_s000,as_moe,1.0,0.3125
w03_s000,as_moe,0.0625,0.78125
w00_s000,mean_moe_action,0.5625,0.9226629734039307
w01_s000,mean_moe_action,1.0,0.2967785596847534
w03_s000,mean_moe_action,0.0625,0.663992702960968
w00_s000,mean_moe_state,0.5625,1.0
w01_s000,mean_moe_state,1.0,0.9119531512260437
w03_s000,mean_moe_state,0.0625,1.0
w00_s000,mean_moe_action+state,0.5625,1.0
w01_s000,mean_moe_action+state,1.0,0.6010879278182983
w03_s000,mean_moe_action+state,0.0625,0.9018178582191467
w00_s000,sim_state+mean_moe_action+state,0.5625,1.0
w01_s000,sim_state+mean_moe_action+state,1.0,0.6016982793807983
w03_s000,sim_state+mean_moe_action+state,0.0625,0.8987520933151245
