scope,failure,episodes,both,euclidean_only,cosine_only,neither,cosine_earlier,cosine_later,same_query
seen,False,6469,2,67,58,6342,2,0,0
seen,True,251,3,191,0,57,2,1,0
unseen,False,13909,11,836,210,12852,8,3,0
unseen,True,491,14,427,1,49,13,1,0
