fold,suite,seed,method,scope,calibration,alpha,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy
libero_goal_20260907,libero_goal,20260907,euclidean,seen,episode,0.01,560,12,548,12,5,1.0,0.009124087591240875,0.7058823529411765,0.9954379562043796
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,episode,0.01,1200,78,1122,77,23,0.9871794871794872,0.020499108734402853,0.77,0.9833401892225422
libero_goal_20260907,libero_goal,20260907,euclidean,seen,episode,0.03,560,12,548,12,9,1.0,0.016423357664233577,0.5714285714285714,0.9917883211678832
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,episode,0.03,1200,78,1122,78,76,1.0,0.0677361853832442,0.5064935064935064,0.966131907308378
libero_goal_20260907,libero_goal,20260907,euclidean,seen,episode,0.05,560,12,548,12,25,1.0,0.04562043795620438,0.32432432432432434,0.9771897810218978
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,episode,0.05,1200,78,1122,78,147,1.0,0.13101604278074866,0.3466666666666667,0.9344919786096256
libero_goal_20260907,libero_goal,20260907,euclidean,seen,episode,0.1,560,12,548,12,77,1.0,0.14051094890510948,0.1348314606741573,0.9297445255474452
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,episode,0.1,1200,78,1122,78,264,1.0,0.23529411764705882,0.22807017543859648,0.8823529411764706
libero_goal_20260907,libero_goal,20260907,euclidean,seen,episode,0.15,560,12,548,12,120,1.0,0.21897810218978103,0.09090909090909091,0.8905109489051095
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,episode,0.15,1200,78,1122,78,304,1.0,0.2709447415329768,0.20418848167539266,0.8645276292335116
libero_goal_20260907,libero_goal,20260907,euclidean,seen,episode,0.2,560,12,548,12,152,1.0,0.2773722627737226,0.07317073170731707,0.8613138686131387
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,episode,0.2,1200,78,1122,78,352,1.0,0.3137254901960784,0.1813953488372093,0.8431372549019608
libero_goal_20260907,libero_goal,20260907,euclidean,seen,task_init,0.01,560,12,548,0,0,0.0,0.0,,0.5
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,task_init,0.01,1200,78,1122,0,0,0.0,0.0,,0.5
libero_goal_20260907,libero_goal,20260907,euclidean,seen,task_init,0.03,560,12,548,12,2,1.0,0.0036496350364963502,0.8571428571428571,0.9981751824817519
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,task_init,0.03,1200,78,1122,76,17,0.9743589743589743,0.015151515151515152,0.8172043010752689,0.9796037296037297
libero_goal_20260907,libero_goal,20260907,euclidean,seen,task_init,0.05,560,12,548,12,3,1.0,0.005474452554744526,0.8,0.9972627737226277
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,task_init,0.05,1200,78,1122,77,21,0.9871794871794872,0.01871657754010695,0.7857142857142857,0.9842314548196901
libero_goal_20260907,libero_goal,20260907,euclidean,seen,task_init,0.1,560,12,548,12,12,1.0,0.021897810218978103,0.5,0.9890510948905109
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,task_init,0.1,1200,78,1122,78,90,1.0,0.08021390374331551,0.4642857142857143,0.9598930481283422
libero_goal_20260907,libero_goal,20260907,euclidean,seen,task_init,0.15,560,12,548,12,30,1.0,0.05474452554744526,0.2857142857142857,0.9726277372262774
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,task_init,0.15,1200,78,1122,78,163,1.0,0.14527629233511585,0.3236514522821577,0.9273618538324421
libero_goal_20260907,libero_goal,20260907,euclidean,seen,task_init,0.2,560,12,548,12,42,1.0,0.07664233576642336,0.2222222222222222,0.9616788321167883
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,task_init,0.2,1200,78,1122,78,206,1.0,0.1836007130124777,0.2746478873239437,0.9081996434937611
libero_goal_20260907,libero_goal,20260907,cosine,seen,episode,0.01,560,12,548,0,16,0.0,0.029197080291970802,0.0,0.4854014598540146
libero_goal_20260907,libero_goal,20260907,cosine,unseen,episode,0.01,1200,78,1122,20,125,0.2564102564102564,0.11140819964349376,0.13793103448275862,0.5725010283833813
libero_goal_20260907,libero_goal,20260907,cosine,seen,episode,0.03,560,12,548,0,31,0.0,0.05656934306569343,0.0,0.4717153284671533
libero_goal_20260907,libero_goal,20260907,cosine,unseen,episode,0.03,1200,78,1122,37,240,0.47435897435897434,0.21390374331550802,0.13357400722021662,0.6302276155217332
libero_goal_20260907,libero_goal,20260907,cosine,seen,episode,0.05,560,12,548,1,36,0.08333333333333333,0.06569343065693431,0.02702702702702703,0.5088199513381995
libero_goal_20260907,libero_goal,20260907,cosine,unseen,episode,0.05,1200,78,1122,46,305,0.5897435897435898,0.2718360071301248,0.13105413105413105,0.6589537913067325
