method,scope,cutoff_query,detected,failures,recall
cosine,seen,7,0,251,0.0
cosine,seen,10,2,251,0.00796812749003984
cosine,seen,14,2,251,0.00796812749003984
cosine,seen,19,3,251,0.01195219123505976
cosine,seen,29,3,251,0.01195219123505976
cosine,seen,39,3,251,0.01195219123505976
cosine,seen,51,3,251,0.01195219123505976
cosine,unseen,7,2,491,0.004073319755600814
cosine,unseen,10,6,491,0.012219959266802444
cosine,unseen,14,14,491,0.028513238289205704
cosine,unseen,19,14,491,0.028513238289205704
cosine,unseen,29,14,491,0.028513238289205704
cosine,unseen,39,15,491,0.03054989816700611
cosine,unseen,51,15,491,0.03054989816700611
euclidean,seen,7,0,251,0.0
euclidean,seen,10,0,251,0.0
euclidean,seen,14,79,251,0.3147410358565737
euclidean,seen,19,114,251,0.4541832669322709
euclidean,seen,29,144,251,0.5737051792828686
euclidean,seen,39,187,251,0.7450199203187251
euclidean,seen,51,194,251,0.7729083665338645
euclidean,unseen,7,0,491,0.0
euclidean,unseen,10,28,491,0.05702647657841141
euclidean,unseen,14,160,491,0.3258655804480652
euclidean,unseen,19,238,491,0.4847250509164969
euclidean,unseen,29,287,491,0.5845213849287169
euclidean,unseen,39,398,491,0.8105906313645621
euclidean,unseen,51,441,491,0.8981670061099797
