method,scope,calibration,alpha,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision
cosine,seen,episode,0.01,6720,251,6469,5,87,246,6382,0.0199203187250996,0.013448755603648168,0.05434782608695652
cosine,seen,episode,0.03,6720,251,6469,17,251,234,6218,0.06772908366533864,0.03880043283351368,0.06343283582089553
cosine,seen,episode,0.05,6720,251,6469,28,362,223,6107,0.11155378486055777,0.05595918998299582,0.07179487179487179
cosine,seen,episode,0.1,6720,251,6469,69,653,182,5816,0.2749003984063745,0.10094295872623281,0.09556786703601108
cosine,seen,episode,0.15,6720,251,6469,82,951,169,5518,0.32669322709163345,0.14700881125367135,0.07938044530493708
cosine,seen,episode,0.2,6720,251,6469,100,1253,151,5216,0.398406374501992,0.19369299737208223,0.07390983000739099
cosine,seen,task_init,0.01,6720,251,6469,0,0,251,6469,0.0,0.0,
cosine,seen,task_init,0.03,6720,251,6469,3,55,248,6414,0.01195219123505976,0.008502086875869532,0.05172413793103448
cosine,seen,task_init,0.05,6720,251,6469,3,60,248,6409,0.01195219123505976,0.009275003864584944,0.047619047619047616
cosine,seen,task_init,0.1,6720,251,6469,9,199,242,6270,0.035856573705179286,0.030762096150873396,0.04326923076923077
cosine,seen,task_init,0.15,6720,251,6469,24,281,227,6188,0.09561752988047809,0.04343793476580615,0.07868852459016394
cosine,seen,task_init,0.2,6720,251,6469,44,381,207,6088,0.1752988047808765,0.05889627454011439,0.10352941176470588
cosine,unseen,episode,0.01,14400,491,13909,27,313,464,13596,0.054989816700611,0.02250341505500036,0.07941176470588235
cosine,unseen,episode,0.03,14400,491,13909,56,809,435,13100,0.11405295315682282,0.058163778848227765,0.06473988439306358
cosine,unseen,episode,0.05,14400,491,13909,75,1121,416,12788,0.15274949083503056,0.08059529800848371,0.06270903010033445
cosine,unseen,episode,0.1,14400,491,13909,113,1999,378,11910,0.23014256619144602,0.14371989359407578,0.05350378787878788
cosine,unseen,episode,0.15,14400,491,13909,171,2970,320,10939,0.34826883910386963,0.21353080739089797,0.054441260744985676
cosine,unseen,episode,0.2,14400,491,13909,208,3892,283,10017,0.42362525458248473,0.2798188223452441,0.050731707317073174
cosine,unseen,task_init,0.01,14400,491,13909,0,0,491,13909,0.0,0.0,
cosine,unseen,task_init,0.03,14400,491,13909,14,197,477,13712,0.028513238289205704,0.01416349126464879,0.06635071090047394
cosine,unseen,task_init,0.05,14400,491,13909,15,221,476,13688,0.03054989816700611,0.015888992738514632,0.0635593220338983
cosine,unseen,task_init,0.1,14400,491,13909,58,653,433,13256,0.11812627291242363,0.04694801926809979,0.08157524613220815
cosine,unseen,task_init,0.15,14400,491,13909,71,974,420,12935,0.1446028513238289,0.07002660148105543,0.06794258373205742
cosine,unseen,task_init,0.2,14400,491,13909,83,1350,408,12559,0.1690427698574338,0.09705945790495363,0.05792044661549198
euclidean,seen,episode,0.01,6720,251,6469,208,97,43,6372,0.8286852589641435,0.014994589581078991,0.6819672131147541
euclidean,seen,episode,0.03,6720,251,6469,236,219,15,6250,0.9402390438247012,0.03385376410573505,0.5186813186813187
euclidean,seen,episode,0.05,6720,251,6469,243,362,8,6107,0.9681274900398407,0.05595918998299582,0.40165289256198344
euclidean,seen,episode,0.1,6720,251,6469,250,727,1,5742,0.9960159362549801,0.1123821301592209,0.25588536335721596
euclidean,seen,episode,0.15,6720,251,6469,251,1034,0,5435,1.0,0.1598392332663472,0.1953307392996109
euclidean,seen,episode,0.2,6720,251,6469,251,1432,0,5037,1.0,0.221363425568094,0.14913844325609033
euclidean,seen,task_init,0.01,6720,251,6469,0,0,251,6469,0.0,0.0,
euclidean,seen,task_init,0.03,6720,251,6469,184,38,67,6431,0.7330677290836654,0.005874169114237131,0.8288288288288288
euclidean,seen,task_init,0.05,6720,251,6469,194,69,57,6400,0.7729083665338645,0.010666254444272685,0.7376425855513308
euclidean,seen,task_init,0.1,6720,251,6469,225,178,26,6291,0.896414342629482,0.027515844798268668,0.5583126550868487
euclidean,seen,task_init,0.15,6720,251,6469,232,261,19,6208,0.9243027888446215,0.040346266810944505,0.47058823529411764
euclidean,seen,task_init,0.2,6720,251,6469,244,374,7,6095,0.9721115537848606,0.05781419075591281,0.3948220064724919
euclidean,unseen,episode,0.01,14400,491,13909,451,941,40,12968,0.9185336048879837,0.0676540369544899,0.3239942528735632
euclidean,unseen,episode,0.03,14400,491,13909,487,1861,4,12048,0.9918533604887984,0.13379826011934717,0.2074105621805792
euclidean,unseen,episode,0.05,14400,491,13909,490,2511,1,11398,0.9979633401221996,0.18053059170321376,0.16327890703098968
euclidean,unseen,episode,0.1,14400,491,13909,491,3769,0,10140,1.0,0.2709756272916816,0.11525821596244132
euclidean,unseen,episode,0.15,14400,491,13909,491,4652,0,9257,1.0,0.33445970235099576,0.09546957028971417
euclidean,unseen,episode,0.2,14400,491,13909,491,5529,0,8380,1.0,0.3975124020418434,0.08156146179401993
euclidean,unseen,task_init,0.01,14400,491,13909,0,0,491,13909,0.0,0.0,
euclidean,unseen,task_init,0.03,14400,491,13909,419,694,72,13215,0.8533604887983707,0.0498957509526206,0.37646001796945194
euclidean,unseen,task_init,0.05,14400,491,13909,441,847,50,13062,0.8981670061099797,0.06089582284851535,0.3423913043478261
euclidean,unseen,task_init,0.1,14400,491,13909,484,1523,7,12386,0.9857433808553971,0.10949744769573658,0.24115595416043847
euclidean,unseen,task_init,0.15,14400,491,13909,488,1937,3,11972,0.9938900203665988,0.13926234811992236,0.20123711340206185
euclidean,unseen,task_init,0.2,14400,491,13909,489,2502,2,11407,0.9959266802443992,0.17988352865051405,0.16349047141424272
