method,scope,failure,progress_bin,count,alarms,fraction_of_alarms
cosine,seen,False,"[0,25%)",0,60,0.0
cosine,seen,False,"[25,50%)",7,60,0.11666666666666667
cosine,seen,False,"[50,75%)",24,60,0.4
cosine,seen,False,"[75,100%)",29,60,0.48333333333333334
cosine,seen,True,"[0,25%)",0,3,0.0
cosine,seen,True,"[25,50%)",2,3,0.6666666666666666
cosine,seen,True,"[50,75%)",1,3,0.3333333333333333
cosine,seen,True,"[75,100%)",0,3,0.0
cosine,unseen,False,"[0,25%)",0,221,0.0
cosine,unseen,False,"[25,50%)",34,221,0.15384615384615385
cosine,unseen,False,"[50,75%)",109,221,0.49321266968325794
cosine,unseen,False,"[75,100%)",78,221,0.35294117647058826
cosine,unseen,True,"[0,25%)",1,15,0.06666666666666667
cosine,unseen,True,"[25,50%)",13,15,0.8666666666666667
cosine,unseen,True,"[50,75%)",1,15,0.06666666666666667
cosine,unseen,True,"[75,100%)",0,15,0.0
euclidean,seen,False,"[0,25%)",0,69,0.0
euclidean,seen,False,"[25,50%)",6,69,0.08695652173913043
euclidean,seen,False,"[50,75%)",25,69,0.36231884057971014
euclidean,seen,False,"[75,100%)",38,69,0.5507246376811594
euclidean,seen,True,"[0,25%)",0,194,0.0
euclidean,seen,True,"[25,50%)",28,194,0.14432989690721648
euclidean,seen,True,"[50,75%)",145,194,0.7474226804123711
euclidean,seen,True,"[75,100%)",21,194,0.10824742268041238
euclidean,unseen,False,"[0,25%)",1,847,0.0011806375442739079
euclidean,unseen,False,"[25,50%)",30,847,0.03541912632821724
euclidean,unseen,False,"[50,75%)",385,847,0.45454545454545453
euclidean,unseen,False,"[75,100%)",431,847,0.5088547815820543
euclidean,unseen,True,"[0,25%)",12,441,0.027210884353741496
euclidean,unseen,True,"[25,50%)",59,441,0.13378684807256236
euclidean,unseen,True,"[50,75%)",304,441,0.6893424036281179
euclidean,unseen,True,"[75,100%)",66,441,0.14965986394557823
