method,scope,event_episodes,before,at,after,missed,before_fraction
cosine,seen,96,0,0,1,95,0.0
cosine,unseen,175,9,0,0,166,0.05142857142857143
euclidean,seen,96,3,3,73,17,0.03125
euclidean,unseen,175,12,11,133,19,0.06857142857142857
