query,executed_actions_before_query,standardized_vector_norm,euclidean_score,euclidean_threshold,euclidean_ratio,euclidean_current_exceeds,euclidean_alarm_latched,cosine_score,cosine_threshold,cosine_ratio,cosine_current_exceeds,cosine_alarm_latched
0,0,,,4.067817211151123,,False,False,,0.4215928316116333,,False,False
1,10,,,4.067817211151123,,False,False,,0.4215928316116333,,False,False
2,20,,,4.067817211151123,,False,False,,0.4215928316116333,,False,False
3,30,,,4.067817211151123,,False,False,,0.4215928316116333,,False,False
4,40,,,4.067817211151123,,False,False,,0.4215928316116333,,False,False
5,50,,,4.067817211151123,,False,False,,0.4215928316116333,,False,False
6,60,,,4.067817211151123,,False,False,,0.4215928316116333,,False,False
7,70,2.354458961325429,0.8208331,4.067817211151123,0.20178711,False,False,0.027603488,0.4215928316116333,0.06547429,False,False
8,80,3.1497625155362003,0.9749716,4.067817211151123,0.2396793,False,False,0.03446181,0.4215928316116333,0.08174193,False,False
9,90,3.928694779944599,1.3011856,4.067817211151123,0.31987318,False,False,0.0406593,0.4215928316116333,0.0964421,False,False
10,100,5.361819620857352,1.5793493,4.067817211151123,0.38825473,False,False,0.032136533,0.4215928316116333,0.07622647,False,False
11,110,6.612844102540611,1.9024504,4.067817211151123,0.46768337,False,False,0.02250334,0.4215928316116333,0.053376954,False,False
12,120,6.532218782623826,1.8128834,4.067817211151123,0.4456649,False,False,0.025039915,0.4215928316116333,0.059393596,False,False
13,130,5.936304116002153,1.7054201,4.067817211151123,0.419247,False,False,0.03281674,0.4215928316116333,0.077839896,False,False
14,140,4.740493691107286,1.7811931,4.067817211151123,0.43787444,False,False,0.060860008,0.4215928316116333,0.14435731,False,False
15,150,2.897803469790336,1.3803885,4.067817211151123,0.3393438,False,False,0.10032705,0.4215928316116333,0.23797144,False,False
16,160,2.136234402711269,1.2403682,4.067817211151123,0.3049223,False,False,0.14604612,0.4215928316116333,0.34641507,False,False
17,170,2.6507394732745153,1.20579,4.067817211151123,0.2964219,False,False,0.08425101,0.4215928316116333,0.19983976,False,False
18,180,2.8843590681923947,1.254376,4.067817211151123,0.30836588,False,False,0.08216881,0.4215928316116333,0.19490087,False,False
19,190,3.0139835995736286,1.2868931,4.067817211151123,0.31635964,False,False,0.077523485,0.4215928316116333,0.18388236,False,False
20,200,2.3126662740110744,1.014936,4.067817211151123,0.24950384,False,False,0.0730231,0.4215928316116333,0.17320766,False,False
21,210,1.9192046762683868,1.1576965,4.067817211151123,0.28459895,False,False,0.12822546,0.4215928316116333,0.30414525,False,False
