fold,suite,seed,score_queries,bank_points,bank_norm_min,query_norm_min,query_norm_p01,query_norm_p50,query_norm_p99,zero_vectors,seconds
libero_goal_20260907,libero_goal,20260907,11742,4096,0.3191898931571596,0.33137301871106656,0.6225657439679355,1.8849170497190406,10.631156553288534,0,18.228117922320962
libero_goal_20260908,libero_goal,20260908,9391,4096,0.46644389191626084,0.2657801606305688,0.6327984829560998,2.177988644283794,16.122830624601654,0,0.4230079557746649
libero_goal_20260909,libero_goal,20260909,10794,4096,0.7332638868901606,0.6585671781805583,1.055270870960951,3.9817685018387845,24.092142322135942,0,0.47039792127907276
libero_long_20260907,libero_long,20260907,44398,4096,0.5936796737454352,0.4825862393681631,1.0200035287054603,2.7822587853310887,15.87539799820568,0,1.4212070349603891
libero_long_20260908,libero_long,20260908,49100,4096,0.5062491739642548,0.4600576766293667,1.0987119808184354,3.101832447629975,19.465539144577562,0,15.016310259699821
libero_long_20260909,libero_long,20260909,44241,4096,0.6406186608362131,0.4807407696582199,1.0356002765888093,2.644167064644068,13.722474078693208,0,25.326417760923505
libero_object_20260907,libero_object,20260907,16830,4096,0.5095242624217181,0.44936621093515,0.8223063755487279,2.857773218409187,7.58575201170504,0,0.6851273756474257
libero_object_20260908,libero_object,20260908,16853,4096,0.5087271324641058,0.5027278834020897,0.8187984883215659,2.6365422787301918,7.930484148117979,0,0.6350269075483084
libero_object_20260909,libero_object,20260909,16828,4096,0.49697921268776596,0.44073819935959335,0.8652952325718849,2.5256028295522155,8.046006252517335,0,0.7596084214746952
libero_spatial_20260907,libero_spatial,20260907,8572,4096,0.343938303424242,0.4128655759376286,0.8313584613170497,3.030703192644861,14.765594811912182,0,0.5122496839612722
libero_spatial_20260908,libero_spatial,20260908,9785,4096,0.4251005113209358,0.4322823783934956,0.8182727502240298,2.694036238759178,13.7850000947283,0,0.5013313125818968
libero_spatial_20260909,libero_spatial,20260909,9872,4096,0.4415464112380612,0.41868813671983585,0.88783723375257,2.5008042872112526,12.033929608189911,0,0.4359806701540947
