fold,suite,seed,method,scope,view,episodes,failures,auc,ap,task_macro_auc,within_init_macro_auc,scorable_fraction,mixed_tasks
libero_goal_20260907,libero_goal,20260907,euclidean,seen,full,560,12,1.0,1.0,1.0,1.0,0.9482142857142857,3
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,full,1200,78,0.9980917775035422,0.9671235270651236,0.9977977369358261,0.9920634920634921,0.9908333333333333,3
libero_goal_20260907,libero_goal,20260907,euclidean,seen,q14,560,12,0.9960462287104623,0.882013888888889,0.9746835443037974,0.8095238095238096,0.9482142857142857,3
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,q14,1200,78,0.8357443210384387,0.3682367939408906,0.8044637047156415,0.8507142857142859,0.9908333333333333,3
libero_goal_20260907,libero_goal,20260907,euclidean,seen,common_horizon,560,12,0.4400851581508516,0.019177864051017735,0.38106892082366767,0.2507936507936508,0.8571428571428571,3
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,common_horizon,1200,78,0.6837492572786691,0.17963955466684203,0.6146186088183317,0.6482936507936508,0.6666666666666666,3
libero_goal_20260907,libero_goal,20260907,cosine,seen,full,560,12,0.7439172749391727,0.043502278479221196,0.8980641443062329,0.9047619047619048,0.9482142857142857,3
libero_goal_20260907,libero_goal,20260907,cosine,unseen,full,1200,78,0.7463778052013346,0.13330739914099857,0.6959681881603369,0.8118650793650795,0.9908333333333333,3
libero_goal_20260907,libero_goal,20260907,cosine,seen,q14,560,12,0.43613138686131386,0.027344263061569618,0.7226216923606165,0.7142857142857143,0.9482142857142857,3
libero_goal_20260907,libero_goal,20260907,cosine,unseen,q14,1200,78,0.7047854106677636,0.13090183967340613,0.6437769527923106,0.7497373393801965,0.9908333333333333,3
libero_goal_20260907,libero_goal,20260907,cosine,seen,common_horizon,560,12,0.3280109489051095,0.01641679220833523,0.5257453224225376,0.38730158730158726,0.8571428571428571,3
libero_goal_20260907,libero_goal,20260907,cosine,unseen,common_horizon,1200,78,0.6599593217240276,0.12234470033240724,0.5289358382778384,0.5577777777777778,0.6666666666666666,3
libero_goal_20260908,libero_goal,20260908,euclidean,seen,full,560,22,0.9995775599864819,0.9905928853754941,0.9997549019607843,1.0,1.0,5
libero_goal_20260908,libero_goal,20260908,euclidean,unseen,full,1200,9,1.0,1.0,1.0,1.0,0.9066666666666666,1
libero_goal_20260908,libero_goal,20260908,euclidean,seen,q14,560,22,0.8446265630280501,0.403312988318934,0.8885827748821047,0.7771428571428571,1.0,5
libero_goal_20260908,libero_goal,20260908,euclidean,unseen,q14,1200,9,0.9659483160742607,0.3389148823257012,0.9997158283603297,1.0,0.9066666666666666,1
libero_goal_20260908,libero_goal,20260908,euclidean,seen,common_horizon,560,22,0.6368283203785062,0.098787895948891,0.49603776485451123,0.5312698412698412,0.8571428571428571,5
libero_goal_20260908,libero_goal,20260908,euclidean,unseen,common_horizon,1200,9,0.5364306371863047,0.008536597792572584,0.5905086672350099,0.6349206349206349,0.6666666666666666,1
libero_goal_20260908,libero_goal,20260908,cosine,seen,full,560,22,0.8561169313957419,0.1307468926350695,0.8160857268171705,0.7901587301587302,1.0,5
libero_goal_20260908,libero_goal,20260908,cosine,unseen,full,1200,9,0.5823304412725068,0.009254842078183985,0.5956237567490764,0.9523809523809524,0.9066666666666666,1
libero_goal_20260908,libero_goal,20260908,cosine,seen,q14,560,22,0.8439506590064211,0.12846368501827973,0.7724737883709059,0.6866666666666666,1.0,5
libero_goal_20260908,libero_goal,20260908,cosine,unseen,q14,1200,9,0.537083683179401,0.008384150433762413,0.5336743393009378,0.9523809523809524,0.9066666666666666,1
libero_goal_20260908,libero_goal,20260908,cosine,seen,common_horizon,560,22,0.6935197701926327,0.09751493135827602,0.5393445465580025,0.36253968253968255,0.8571428571428571,5
libero_goal_20260908,libero_goal,20260908,cosine,unseen,common_horizon,1200,9,0.4811083123425693,0.007640449056083593,0.42625745950554134,0.6793650793650793,0.6666666666666666,1
libero_goal_20260909,libero_goal,20260909,euclidean,seen,full,560,23,0.9998380697919197,0.9965217391304347,1.0,1.0,1.0,5
libero_goal_20260909,libero_goal,20260909,euclidean,unseen,full,1200,2,1.0,1.0,1.0,1.0,0.9066666666666666,2
libero_goal_20260909,libero_goal,20260909,euclidean,seen,q14,560,23,0.8017164602056513,0.47076979395481217,0.852437417654809,0.9199999999999999,1.0,5
libero_goal_20260909,libero_goal,20260909,euclidean,unseen,q14,1200,2,0.7141068447412354,0.00551202196771817,0.6290726817042607,0.5,0.9066666666666666,2
libero_goal_20260909,libero_goal,20260909,euclidean,seen,common_horizon,560,23,0.5965104040158692,0.06885454307311546,0.6613524524274111,0.7847619047619048,0.8571428571428571,5
libero_goal_20260909,libero_goal,20260909,euclidean,unseen,common_horizon,1200,2,0.7237061769616027,0.004765847000648871,0.6553884711779449,0.5714285714285714,0.6666666666666666,2
libero_goal_20260909,libero_goal,20260909,cosine,seen,full,560,23,0.8640595903165735,0.1599597729767504,0.8877665415853638,0.9033333333333333,1.0,5
libero_goal_20260909,libero_goal,20260909,cosine,unseen,full,1200,2,0.6965776293823038,0.0040177999743885254,0.6190476190476191,0.6428571428571428,0.9066666666666666,2
libero_goal_20260909,libero_goal,20260909,cosine,seen,q14,560,23,0.7962917982349608,0.10443841796040781,0.7933570687613616,0.839047619047619,1.0,5
libero_goal_20260909,libero_goal,20260909,cosine,unseen,q14,1200,2,0.5692821368948247,0.002818173503452691,0.5964912280701754,0.5,0.9066666666666666,2
libero_goal_20260909,libero_goal,20260909,cosine,seen,common_horizon,560,23,0.6098696461824954,0.07152722056383691,0.6507101482630377,0.5669047619047618,0.8571428571428571,5
libero_goal_20260909,libero_goal,20260909,cosine,unseen,common_horizon,1200,2,0.5859766277128547,0.003127213795646647,0.2694235588972431,0.42857142857142855,0.6666666666666666,2
libero_long_20260907,libero_long,20260907,euclidean,seen,full,560,42,0.9908071336642765,0.893606689086717,0.9838312728937729,0.9444444444444444,1.0,4
libero_long_20260907,libero_long,20260907,euclidean,unseen,full,1200,49,0.9826238053866203,0.6611742379566075,0.9934152178710897,0.9913580246913579,1.0,3
libero_long_20260907,libero_long,20260907,euclidean,seen,q14,560,42,0.8231752160323589,0.3942272343211784,0.7467488171550671,0.7513492063492064,1.0,4
libero_long_20260907,libero_long,20260907,euclidean,unseen,q14,1200,49,0.49472508377808116,0.04276013229026637,0.4552920383855989,0.4086860670194003,1.0,3
libero_long_20260907,libero_long,20260907,euclidean,seen,common_horizon,560,42,0.8993840779555066,0.5827361049402376,0.8504669296069614,0.7432936507936508,1.0,4
libero_long_20260907,libero_long,20260907,euclidean,unseen,common_horizon,1200,49,0.4033404847603681,0.03383344366931311,0.5921423614085141,0.6783068783068783,1.0,3
libero_long_20260907,libero_long,20260907,cosine,seen,full,560,42,0.47444383158668874,0.07282487023393407,0.5418986622115578,0.43726190476190474,1.0,4
libero_long_20260907,libero_long,20260907,cosine,unseen,full,1200,49,0.32628238089327827,0.02900990783503469,0.7582199123872003,0.825407848324515,1.0,3
libero_long_20260907,libero_long,20260907,cosine,seen,q14,560,42,0.1596341239198382,0.043163232757490885,0.2627326818750869,0.3133333333333333,1.0,4
libero_long_20260907,libero_long,20260907,cosine,unseen,q14,1200,49,0.1619709569318605,0.02331899799879017,0.5674480436922978,0.5792107583774251,1.0,3
libero_long_20260907,libero_long,20260907,cosine,seen,common_horizon,560,42,0.3304375804375804,0.052633948221533354,0.291216171311108,0.26178571428571423,1.0,4
libero_long_20260907,libero_long,20260907,cosine,unseen,common_horizon,1200,49,0.20424120995053105,0.024752392114227417,0.5467839530314746,0.5378086419753086,1.0,3
libero_long_20260908,libero_long,20260908,euclidean,seen,full,560,18,0.9866748667486674,0.6641238462474233,0.9893082466627187,0.911468253968254,1.0,6
libero_long_20260908,libero_long,20260908,euclidean,unseen,full,1200,182,0.9806936678252984,0.9193338043277137,0.978072423336925,0.9025651927437642,1.0,3
libero_long_20260908,libero_long,20260908,euclidean,seen,q14,560,18,0.5306478064780648,0.08479761872720629,0.5102521338988694,0.5994444444444444,1.0,6
libero_long_20260908,libero_long,20260908,euclidean,unseen,q14,1200,182,0.8818573371618559,0.5046583581889192,0.7657902883142776,0.572713529856387,1.0,3
libero_long_20260908,libero_long,20260908,euclidean,seen,common_horizon,560,18,0.5440754407544075,0.060653927017373335,0.6603167683385038,0.6528571428571428,1.0,6
libero_long_20260908,libero_long,20260908,euclidean,unseen,common_horizon,1200,182,0.944790474751182,0.781470408834723,0.9363928358263314,0.8537722033257747,1.0,3
libero_long_20260908,libero_long,20260908,cosine,seen,full,560,18,0.5216277162771628,0.036776378015958476,0.6274912544274636,0.6830952380952381,1.0,6
libero_long_20260908,libero_long,20260908,cosine,unseen,full,1200,182,0.3837464107601632,0.11728155973384491,0.5487410764449068,0.587729119425548,1.0,3
libero_long_20260908,libero_long,20260908,cosine,seen,q14,560,18,0.3658261582615826,0.024468535150231903,0.4458739492935446,0.5587301587301587,1.0,6
libero_long_20260908,libero_long,20260908,cosine,unseen,q14,1200,182,0.15167102053153134,0.08749412021130977,0.4635090757811826,0.5728694255479969,1.0,3
libero_long_20260908,libero_long,20260908,cosine,seen,common_horizon,560,18,0.3761787617876179,0.02713496819664503,0.5058149239892661,0.5057936507936508,1.0,6
libero_long_20260908,libero_long,20260908,cosine,unseen,common_horizon,1200,182,0.3248181091992487,0.10530577320186324,0.4596612817075427,0.4767195767195767,1.0,3
libero_long_20260909,libero_long,20260909,euclidean,seen,full,560,49,0.9716841726906027,0.6905594679538977,0.9747712483925814,0.8043888888888888,1.0,5
libero_long_20260909,libero_long,20260909,euclidean,unseen,full,1200,9,0.9978542774512548,0.8930686172065483,0.9976851851851851,0.9761904761904763,1.0,3
