global_row,run_id,suite,task,episode,init_state_id,noise_seed,length,failure,scope,fold,method,first_alarm_query,alarm,threshold,peak_score,actual_action_steps,executed_actions_before_alarm,control_progress_at_alarm,drop_goal_release,failed_goal_release,release_lead_queries
1241,right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,41,5,1009,30,True,unseen,libero_goal_20260907,euclidean,17,True,1.8795933723449707,6.862667,300,170,0.5666666666666667,16.0,16.0,-1.0
1243,right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,43,5,1011,30,True,unseen,libero_goal_20260907,euclidean,17,True,1.8795933723449707,4.8942385,300,170,0.5666666666666667,16.0,16.0,-1.0
1245,right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,45,5,1013,30,True,unseen,libero_goal_20260907,euclidean,18,True,1.8795933723449707,2.0057015,300,180,0.6,17.0,17.0,-1.0
1246,right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,46,5,1014,30,True,unseen,libero_goal_20260907,euclidean,18,True,1.8795933723449707,8.211107,300,180,0.6,17.0,17.0,-1.0
1247,right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,47,5,1015,30,True,unseen,libero_goal_20260907,euclidean,19,True,1.8795933723449707,2.2477233,300,190,0.6333333333333333,17.0,17.0,-2.0
1259,right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,59,7,1011,30,True,unseen,libero_goal_20260907,euclidean,22,True,1.8795933723449707,4.612288,300,220,0.7333333333333333,14.0,14.0,-8.0
1328,right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,128,16,1008,30,True,unseen,libero_goal_20260907,euclidean,19,True,1.8795933723449707,8.877252,300,190,0.6333333333333333,19.0,19.0,0.0
1331,right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,131,16,1011,30,True,unseen,libero_goal_20260907,euclidean,17,True,1.8795933723449707,5.035858,300,170,0.5666666666666667,18.0,18.0,1.0
1332,right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,132,16,1012,30,True,unseen,libero_goal_20260907,euclidean,13,True,1.8795933723449707,5.222511,300,130,0.43333333333333335,28.0,28.0,15.0
1335,right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,135,16,1015,30,True,unseen,libero_goal_20260907,euclidean,18,True,1.8795933723449707,5.0998425,300,180,0.6,17.0,17.0,-1.0
