method,scope,failure,query_bin,count,episodes,fraction
cosine,seen,False,no_alarm,6409,6469,0.9907249961354151
cosine,seen,False,q0-6,0,6469,0.0
cosine,seen,False,q7,9,6469,0.0013912505796877415
cosine,seen,False,q8-10,25,6469,0.0038645849435770597
cosine,seen,False,q11-14,13,6469,0.002009584170660071
cosine,seen,False,q15-19,11,6469,0.0017004173751739063
cosine,seen,False,q20-29,2,6469,0.0003091667954861648
cosine,seen,False,q30-39,0,6469,0.0
cosine,seen,False,q40-51,0,6469,0.0
cosine,seen,True,no_alarm,248,251,0.9880478087649402
cosine,seen,True,q0-6,0,251,0.0
cosine,seen,True,q7,0,251,0.0
cosine,seen,True,q8-10,2,251,0.00796812749003984
cosine,seen,True,q11-14,0,251,0.0
cosine,seen,True,q15-19,1,251,0.00398406374501992
cosine,seen,True,q20-29,0,251,0.0
cosine,seen,True,q30-39,0,251,0.0
cosine,seen,True,q40-51,0,251,0.0
cosine,unseen,False,no_alarm,13688,13909,0.9841110072614854
cosine,unseen,False,q0-6,0,13909,0.0
cosine,unseen,False,q7,25,13909,0.0017973973686102524
cosine,unseen,False,q8-10,70,13909,0.0050327126321087065
cosine,unseen,False,q11-14,84,13909,0.006039255158530448
cosine,unseen,False,q15-19,32,13909,0.002300668631821123
cosine,unseen,False,q20-29,10,13909,0.0007189589474441009
cosine,unseen,False,q30-39,0,13909,0.0
cosine,unseen,False,q40-51,0,13909,0.0
cosine,unseen,True,no_alarm,476,491,0.9694501018329938
cosine,unseen,True,q0-6,0,491,0.0
cosine,unseen,True,q7,2,491,0.004073319755600814
cosine,unseen,True,q8-10,4,491,0.008146639511201629
cosine,unseen,True,q11-14,8,491,0.016293279022403257
cosine,unseen,True,q15-19,0,491,0.0
cosine,unseen,True,q20-29,0,491,0.0
cosine,unseen,True,q30-39,1,491,0.002036659877800407
cosine,unseen,True,q40-51,0,491,0.0
euclidean,seen,False,no_alarm,6400,6469,0.9893337455557273
euclidean,seen,False,q0-6,0,6469,0.0
euclidean,seen,False,q7,0,6469,0.0
euclidean,seen,False,q8-10,14,6469,0.0021641675684031534
euclidean,seen,False,q11-14,27,6469,0.0041737517390632245
euclidean,seen,False,q15-19,6,6469,0.0009275003864584944
euclidean,seen,False,q20-29,14,6469,0.0021641675684031534
euclidean,seen,False,q30-39,8,6469,0.001236667181944659
euclidean,seen,False,q40-51,0,6469,0.0
euclidean,seen,True,no_alarm,57,251,0.22709163346613545
euclidean,seen,True,q0-6,0,251,0.0
euclidean,seen,True,q7,0,251,0.0
euclidean,seen,True,q8-10,0,251,0.0
euclidean,seen,True,q11-14,79,251,0.3147410358565737
euclidean,seen,True,q15-19,35,251,0.1394422310756972
euclidean,seen,True,q20-29,30,251,0.11952191235059761
euclidean,seen,True,q30-39,43,251,0.17131474103585656
euclidean,seen,True,q40-51,7,251,0.027888446215139442
euclidean,unseen,False,no_alarm,13062,13909,0.9391041771514846
euclidean,unseen,False,q0-6,0,13909,0.0
euclidean,unseen,False,q7,0,13909,0.0
euclidean,unseen,False,q8-10,535,13909,0.0384643036882594
euclidean,unseen,False,q11-14,244,13909,0.017542598317636063
euclidean,unseen,False,q15-19,30,13909,0.0021568768423323027
euclidean,unseen,False,q20-29,25,13909,0.0017973973686102524
euclidean,unseen,False,q30-39,13,13909,0.0009346466316773312
euclidean,unseen,False,q40-51,0,13909,0.0
euclidean,unseen,True,no_alarm,50,491,0.10183299389002037
euclidean,unseen,True,q0-6,0,491,0.0
euclidean,unseen,True,q7,0,491,0.0
euclidean,unseen,True,q8-10,28,491,0.05702647657841141
euclidean,unseen,True,q11-14,132,491,0.26883910386965376
euclidean,unseen,True,q15-19,78,491,0.15885947046843177
euclidean,unseen,True,q20-29,49,491,0.09979633401221996
euclidean,unseen,True,q30-39,111,491,0.22606924643584522
euclidean,unseen,True,q40-51,43,491,0.08757637474541752
