suite,method,scope,calibration,alpha,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision
libero_goal,cosine,seen,episode,0.01,1680,57,1623,1,38,56,1585,0.017543859649122806,0.02341343191620456,0.02564102564102564
libero_goal,cosine,seen,episode,0.03,1680,57,1623,4,74,53,1549,0.07017543859649122,0.04559457794208256,0.05128205128205128
libero_goal,cosine,seen,episode,0.05,1680,57,1623,8,97,49,1526,0.14035087719298245,0.05976586568083796,0.0761904761904762
libero_goal,cosine,seen,episode,0.1,1680,57,1623,28,167,29,1456,0.49122807017543857,0.10289587184226741,0.14358974358974358
libero_goal,cosine,seen,episode,0.15,1680,57,1623,32,242,25,1381,0.5614035087719298,0.14910659272951324,0.11678832116788321
libero_goal,cosine,seen,episode,0.2,1680,57,1623,38,314,19,1309,0.6666666666666666,0.19346888478126925,0.10795454545454546
libero_goal,cosine,seen,task_init,0.01,1680,57,1623,0,0,57,1623,0.0,0.0,
libero_goal,cosine,seen,task_init,0.03,1680,57,1623,1,26,56,1597,0.017543859649122806,0.016019716574245224,0.037037037037037035
libero_goal,cosine,seen,task_init,0.05,1680,57,1623,1,30,56,1593,0.017543859649122806,0.018484288354898338,0.03225806451612903
libero_goal,cosine,seen,task_init,0.1,1680,57,1623,3,74,54,1549,0.05263157894736842,0.04559457794208256,0.03896103896103896
libero_goal,cosine,seen,task_init,0.15,1680,57,1623,9,103,48,1520,0.15789473684210525,0.06346272335181762,0.08035714285714286
libero_goal,cosine,seen,task_init,0.2,1680,57,1623,24,148,33,1475,0.42105263157894735,0.09118915588416512,0.13953488372093023
libero_goal,cosine,unseen,episode,0.01,3600,89,3511,20,166,69,3345,0.2247191011235955,0.04727997721446881,0.10752688172043011
libero_goal,cosine,unseen,episode,0.03,3600,89,3511,37,366,52,3145,0.4157303370786517,0.10424380518370835,0.09181141439205956
libero_goal,cosine,unseen,episode,0.05,3600,89,3511,46,484,43,3027,0.5168539325842697,0.13785246368555967,0.08679245283018867
libero_goal,cosine,unseen,episode,0.1,3600,89,3511,60,834,29,2677,0.6741573033707865,0.23753916263172886,0.06711409395973154
libero_goal,cosine,unseen,episode,0.15,3600,89,3511,72,1195,17,2316,0.8089887640449438,0.3403588721162062,0.056827150749802685
libero_goal,cosine,unseen,episode,0.2,3600,89,3511,79,1469,10,2042,0.8876404494382022,0.41839931643406436,0.05103359173126615
libero_goal,cosine,unseen,task_init,0.01,3600,89,3511,0,0,89,3511,0.0,0.0,
libero_goal,cosine,unseen,task_init,0.03,3600,89,3511,12,121,77,3390,0.1348314606741573,0.03446311592138992,0.09022556390977443
libero_goal,cosine,unseen,task_init,0.05,3600,89,3511,12,127,77,3384,0.1348314606741573,0.03617203076046711,0.08633093525179857
libero_goal,cosine,unseen,task_init,0.1,3600,89,3511,44,368,45,3143,0.4943820224719101,0.10481344346340074,0.10679611650485436
libero_goal,cosine,unseen,task_init,0.15,3600,89,3511,48,512,41,2999,0.5393258426966292,0.1458273996012532,0.08571428571428572
libero_goal,cosine,unseen,task_init,0.2,3600,89,3511,55,771,34,2740,0.6179775280898876,0.2195955568214184,0.06658595641646489
libero_goal,euclidean,seen,episode,0.01,1680,57,1623,56,16,1,1607,0.9824561403508771,0.009858287122612447,0.7777777777777778
libero_goal,euclidean,seen,episode,0.03,1680,57,1623,57,39,0,1584,1.0,0.024029574861367836,0.59375
libero_goal,euclidean,seen,episode,0.05,1680,57,1623,57,78,0,1545,1.0,0.04805914972273567,0.4222222222222222
libero_goal,euclidean,seen,episode,0.1,1680,57,1623,57,190,0,1433,1.0,0.1170671595810228,0.23076923076923078
libero_goal,euclidean,seen,episode,0.15,1680,57,1623,57,291,0,1332,1.0,0.17929759704251386,0.16379310344827586
