calibration,method,use_control_threshold,tp,fp,gained_tp,lost_tp,removed_fp
episode,absolute_acc,True,490,155,0,5,41
episode,absolute_both,True,481,113,0,14,83
task_init,absolute_acc,True,476,103,0,0,5
task_init,absolute_both,True,476,101,0,0,7
