method,task,query,successes,failures,success_zero_fraction,failure_zero_fraction,zero_cross_class_tie_fraction
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,13,167,1,0.9940119760479041,1.0,0.9940119760479041
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,14,68,1,0.9411764705882353,1.0,0.9411764705882353
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,15,15,1,0.8666666666666667,1.0,0.8666666666666667
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,16,2,1,1.0,1.0,1.0
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,17,2,1,1.0,1.0,1.0
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,18,1,1,1.0,1.0,1.0
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,19,1,1,1.0,1.0,1.0
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,20,1,1,1.0,1.0,1.0
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,21,1,1,0.0,1.0,0.0
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,22,1,1,0.0,1.0,0.0
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,23,1,1,0.0,1.0,0.0
leaky_ac,libero_goal/put_the_wine_bottle_on_the_rack,24,1,1,0.0,1.0,0.0
leaky_ac,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,8,399,1,1.0,1.0,1.0
leaky_ac,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,9,151,1,1.0,1.0,1.0
leaky_ac,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,10,10,1,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,8,396,4,0.6363636363636364,0.25,0.1590909090909091
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,9,396,4,0.47474747474747475,0.25,0.11868686868686869
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,10,396,4,0.20202020202020202,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,11,396,4,0.23484848484848486,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,12,396,4,0.494949494949495,0.75,0.3712121212121212
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,13,396,4,0.8131313131313131,0.75,0.6098484848484849
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,14,396,4,0.9444444444444444,1.0,0.9444444444444444
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,15,396,4,0.9797979797979798,1.0,0.9797979797979798
